"파워링크보고서(2025.06.01.~2025.06.30.),dongseokclub:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",A_스토어 파워링크,01_꽃송이 부부_모바일,경신바이오,모바일,406,8,509,"4,070",2.7,2,67.62,1,"449,100"
"파워링크",A_스토어 파워링크,01_꽃송이 부부_모바일,경신바이오꽃송이버섯,모바일,291,41,952,"39,039",1.9,1.64,11.61,3,"663,000"
"파워링크",A_스토어 파워링크,01_꽃송이 부부_모바일,꽃송이버섯효소,모바일,"1,429",28,"1,162","32,549",3.2,1.46,12.95,5,"1,214,000"
"파워링크",A_스토어 파워링크,01_꽃송이 부부_모바일,꽃송이부부,모바일,42,3,77,231,1.1,1.5,4.17,0,0
"파워링크",A_스토어 파워링크,01_꽃송이 부부_모바일,꽃송이효소,모바일,6,0,0,0,2,0,0,0,0
"파워링크",A_스토어 파워링크,01_꽃송이 부부_모바일,발효꽃송이버섯,모바일,"1,056",49,"1,509","73,920",2.1,1.56,11.83,4,"696,000"
"파워링크",A_스토어 파워링크,01_꽃송이 부부_모바일,발효꽃송이현미,모바일,5,0,0,0,1.2,0,0,0,0
"파워링크",A_스토어 파워링크,01_꽃송이 부부_모바일,한가인버섯,모바일,8,0,0,0,2.6,0,0,0,0
"파워링크",A_스토어 파워링크,01_꽃송이 부부_pc,꽃송이부부,PC,20,5,77,385,1,3.5,339.75,1,"180,000"
"파워링크",A_스토어 파워링크,01_꽃송이 부부_pc,꽃송이효소,PC,1,0,0,0,2,0,0,0,0
"파워링크",A_스토어 파워링크,01_꽃송이 부부_pc,발효꽃송이현미,PC,2,0,0,0,1,0,0,0,0
"파워링크",A_스토어 파워링크,01_꽃송이 부부_pc,한가인효소,PC,1,0,0,0,7,0,0,0,0
"파워링크",A_스토어 파워링크,03_꽃송이 현미_(확장검색/적은검색),꽃송이현미,PC,97,16,761,"12,177",1.6,1.56,17.61,0,0
"파워링크",A_스토어 파워링크,03_꽃송이 현미_(확장검색/적은검색),꽃송이현미,모바일,"1,258",77,935,"71,973",1.7,1.43,25.21,4,"708,000"
"파워링크",A_스토어 파워링크,04_발효꽃송이 현미_(확장검색/적은검색),발효꽃송이현미,PC,43,1,990,990,3.3,2,64,0,0
"파워링크",A_스토어 파워링크,04_발효꽃송이 현미_(확장검색/적은검색),발효꽃송이현미,모바일,218,8,837,"6,699",2.7,1.1,0.4,0,0
"파워링크",A_스토어 파워링크,05_꽃송이 버섯 효소(확장검색),경신바이오꽃송이버섯효소,PC,1,0,0,0,5,0,0,0,0
"파워링크",A_스토어 파워링크,05_꽃송이 버섯 효소(확장검색),경신바이오꽃송이버섯효소,모바일,804,3,587,"1,760",1.5,1.33,4.67,0,0
"파워링크",A_스토어 파워링크,08_한가인 효소(확장검색)(삭제),한가인효소,PC,4,0,0,0,2,0,0,0,0
"파워링크",A_스토어 파워링크,08_한가인 효소(확장검색)(삭제),한가인효소,모바일,109,4,"1,573","6,292",2.4,1.33,4.5,0,0
"파워링크",A_스토어 파워링크,07_한가인버섯(확장검색/적은검색)(삭제),한가인버섯,PC,1,0,0,0,3,0,0,0,0
"파워링크",A_스토어 파워링크,07_한가인버섯(확장검색/적은검색)(삭제),한가인버섯,모바일,7,0,0,0,2.3,0,0,0,0
"파워링크",A_스토어 파워링크,06_꽃송이효소,꽃송이효소,PC,8,0,0,0,2.8,0,0,0,0
"파워링크",A_스토어 파워링크,06_꽃송이효소,꽃송이효소,모바일,126,7,569,"3,982",3,2.11,19.67,1,"177,000"
"파워링크",A_스토어 파워링크,07_꽃송이발효(확장검색/적은검색),꽃송이발효,모바일,15,0,0,0,2.9,0,0,0,0
"파워링크",A_스토어 파워링크,10_한가인 관련 키워드(삭제),한가인꽃송이버섯,PC,1,0,0,0,2,0,0,0,0
"파워링크",B_스토어_한가인 관련 키워드,02_한가인 효소(확장검색),한가인효소,PC,42,4,820,"3,278",1.2,1,0,0,0
"파워링크",B_스토어_한가인 관련 키워드,02_한가인 효소(확장검색),한가인효소,모바일,690,26,"1,009","26,235",2.2,2,46.66,1,"180,000"
"파워링크",B_스토어_한가인 관련 키워드,03_한가인버섯(확장검색/적은검색량),한가인버섯,PC,11,0,0,0,2.1,0,0,0,0
"파워링크",B_스토어_한가인 관련 키워드,03_한가인버섯(확장검색/적은검색량),한가인버섯,모바일,60,2,638,"1,276",2.3,2,12,0,0
"파워링크",B_스토어_한가인 관련 키워드,01_한가인 관련 키워드,꽃송이버섯한가인,PC,13,1,242,242,1.8,2,6,0,0
"파워링크",B_스토어_한가인 관련 키워드,01_한가인 관련 키워드,꽃송이버섯한가인,모바일,148,13,421,"5,478",1.7,1.58,11.16,1,"177,000"
"파워링크",B_스토어_한가인 관련 키워드,01_한가인 관련 키워드,꽃송이버섯효소한가인,모바일,5,0,0,0,2,0,0,0,0
"파워링크",B_스토어_한가인 관련 키워드,01_한가인 관련 키워드,꽃송이현미한가인,모바일,5,0,0,0,1,1,0,0,0
"파워링크",B_스토어_한가인 관련 키워드,01_한가인 관련 키워드,꽃송이현미효소한가인,모바일,1,0,0,0,3,0,0,0,0
"파워링크",B_스토어_한가인 관련 키워드,01_한가인 관련 키워드,꽃송이효소한가인,모바일,3,0,0,0,2,0,0,0,0
"파워링크",B_스토어_한가인 관련 키워드,01_한가인 관련 키워드,영양제효소한가인,모바일,3,0,0,0,1.3,0,0,0,0
"파워링크",B_스토어_한가인 관련 키워드,01_한가인 관련 키워드,한가인꽃송이버섯,PC,3,0,0,0,1.7,0,0,0,0
"파워링크",B_스토어_한가인 관련 키워드,01_한가인 관련 키워드,한가인꽃송이버섯,모바일,17,1,99,99,1.9,5.5,67.5,0,0
"파워링크",B_스토어_한가인 관련 키워드,01_한가인 관련 키워드,한가인꽃송이버섯효소,PC,12,1,627,627,2,2,17,0,0
"파워링크",B_스토어_한가인 관련 키워드,01_한가인 관련 키워드,한가인꽃송이버섯효소,모바일,131,22,565,"12,419",1.7,1.47,8.72,0,0
"파워링크",B_스토어_한가인 관련 키워드,01_한가인 관련 키워드,한가인꽃송이현미,모바일,8,0,0,0,1,0,0,0,0
"파워링크",B_스토어_한가인 관련 키워드,01_한가인 관련 키워드,한가인꽃송이현미효소,PC,2,0,0,0,1,0,0,0,0
"파워링크",B_스토어_한가인 관련 키워드,01_한가인 관련 키워드,한가인꽃송이현미효소,모바일,6,0,0,0,1,0,0,0,0
