"파워링크보고서(2025.06.01.~2025.06.30.),ehguskim:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",[RD] 지역설정 KW,"웨딩,메이크업 KW",결혼메이크업,PC,2,0,0,0,2,0,0,0,0
"파워링크",[RD] 지역설정 KW,"웨딩,메이크업 KW",결혼메이크업,모바일,7,0,0,0,2.4,0,0,0,0
"파워링크",[RD] 지역설정 KW,"웨딩,메이크업 KW",결혼식메이크업,PC,2,0,0,0,1,0,0,0,0
"파워링크",[RD] 지역설정 KW,"웨딩,메이크업 KW",결혼식메이크업,모바일,18,1,"2,332","2,332",1.2,0,0,0,0
"파워링크",[RD] 지역설정 KW,"웨딩,메이크업 KW",결혼식하객메이크업,PC,3,0,0,0,1.7,0,0,0,0
"파워링크",[RD] 지역설정 KW,"웨딩,메이크업 KW",결혼식하객메이크업,모바일,25,2,"2,811","5,621",1.7,0,0,0,0
"파워링크",[RD] 지역설정 KW,"웨딩,메이크업 KW",결혼식헤어메이크업,PC,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 지역설정 KW,"웨딩,메이크업 KW",결혼식헤어메이크업,모바일,5,1,"1,826","1,826",1.8,0,0,0,0
"파워링크",[RD] 지역설정 KW,"웨딩,메이크업 KW",결혼식혼주머리,PC,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 지역설정 KW,"웨딩,메이크업 KW",결혼식혼주머리,모바일,7,0,0,0,3.1,0,0,0,0
"파워링크",[RD] 지역설정 KW,"웨딩,메이크업 KW",데일리메이크업,PC,5,0,0,0,2,0,0,0,0
"파워링크",[RD] 지역설정 KW,"웨딩,메이크업 KW",데일리메이크업,모바일,36,0,0,0,2,0,0,0,0
"파워링크",[RD] 지역설정 KW,"웨딩,메이크업 KW",돌잔치메이크업,PC,11,0,0,0,2.5,0,0,0,0
"파워링크",[RD] 지역설정 KW,"웨딩,메이크업 KW",돌잔치메이크업,모바일,46,1,"1,705","1,705",2,0,0,0,0
"파워링크",[RD] 지역설정 KW,"웨딩,메이크업 KW",돌잔치헤어메이크업,PC,3,0,0,0,2.3,0,0,0,0
"파워링크",[RD] 지역설정 KW,"웨딩,메이크업 KW",돌잔치헤어메이크업,모바일,32,0,0,0,2,0,0,0,0
"파워링크",[RD] 지역설정 KW,"웨딩,메이크업 KW",러블리메이크업,모바일,2,0,0,0,1,0,0,0,0
"파워링크",[RD] 지역설정 KW,"웨딩,메이크업 KW",메이크업,PC,890,42,"2,589","108,735",1.1,0,0,0,0
"파워링크",[RD] 지역설정 KW,"웨딩,메이크업 KW",메이크업,모바일,"1,586",31,"2,762","85,635",1.1,0,0,0,0
"파워링크",[RD] 지역설정 KW,"웨딩,메이크업 KW",본식메이크업,PC,58,0,0,0,1.3,0,0,0,0
"파워링크",[RD] 지역설정 KW,"웨딩,메이크업 KW",본식메이크업,모바일,121,0,0,0,1.2,0,0,0,0
"파워링크",[RD] 지역설정 KW,"웨딩,메이크업 KW",본식헤어변형,PC,5,0,0,0,2.4,0,0,0,0
"파워링크",[RD] 지역설정 KW,"웨딩,메이크업 KW",본식헤어변형,모바일,7,0,0,0,2.3,0,0,0,0
