"파워링크보고서(2025.06.01.~2025.06.30.),free5580:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",▶ (스스) 자판기연구소 ◀,00. 브랜드+자판기 M,-,모바일,7,0,0,0,2.3,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,00. 브랜드+자판기 M,로벤멀티자판기,모바일,9,2,605,"1,210",3.4,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,00. 브랜드+자판기 M,로벤자동판매기,모바일,11,0,0,0,3,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,00. 브랜드+자판기 M,로벤자판기,모바일,7,0,0,0,4.1,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,00. 브랜드+자판기 M,롯데기공자판기,모바일,3,0,0,0,4.7,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,00. 브랜드+자판기 M,롯데멀티자판기,모바일,1,0,0,0,6,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,00. 브랜드+자판기 M,롯데음료자판기,모바일,1,0,0,0,3,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,00. 브랜드+자판기 M,롯데커피자판기,모바일,6,0,0,0,3.7,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,00. 브랜드+자판기 M,삼성자판기,모바일,3,0,0,0,3.3,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,00. 브랜드+자판기 M,삼성커피자판기,모바일,1,0,0,0,3,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,00. 브랜드+자판기 P,-,PC,11,0,0,0,3.8,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,00. 브랜드+자판기 P,로벤멀티자판기,PC,2,0,0,0,1.5,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,00. 브랜드+자판기 P,로벤자판기,PC,26,2,699,"1,397",2,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,00. 브랜드+자판기 P,롯데기공자판기,PC,16,2,748,"1,496",4.8,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,00. 브랜드+자판기 P,롯데멀티자판기,PC,16,2,765,"1,529",2.6,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,00. 브랜드+자판기 P,롯데무인자판기,PC,1,0,0,0,2,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,00. 브랜드+자판기 P,롯데칠성음료자판기,PC,4,0,0,0,1,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,00. 브랜드+자판기 P,롯데커피자판기,PC,2,0,0,0,2,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,00. 브랜드+자판기 P,삼성자판기,PC,7,1,649,649,3.1,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,00. 브랜드+자판기 P,삼성커피자판기,PC,2,0,0,0,4,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,01. 자판기 M,-,모바일,30,1,770,770,4.6,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,01. 자판기 M,멀티자판기,모바일,1,1,77,77,65,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,01. 자판기 M,무료자판기,모바일,3,0,0,0,1,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,01. 자판기 M,무인자동판매기,모바일,1,0,0,0,2,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,01. 자판기 M,미니멀티자판기,모바일,1,0,0,0,3,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,01. 자판기 M,미니자판기,모바일,3,0,0,0,9,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,01. 자판기 M,셀프자판기,모바일,2,0,0,0,4,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,01. 자판기 M,소형자판기,모바일,8,1,627,627,4.3,0,0,0,0
"파워링크",▶ (스스) 자판기연구소 ◀,01. 자판기 M,쇼케이스자판기,모바일,2,0,0,0,2,0,0,0,0
