"파워링크보고서(2025.06.01.~2025.06.30.),gorilla0003:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",파워링크#1,파워링크#1_광고그룹#1,-,PC,881,15,319,"4,785",1.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,-,모바일,"7,251",60,194,"11,649",1.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,금자안경,PC,2,0,0,0,35.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,금자안경,모바일,2,0,0,0,30,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,금테,PC,218,0,0,0,2.4,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,금테,모바일,875,0,0,0,2.9,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,까르띠에선글라스,PC,8,0,0,0,9.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,까르띠에선글라스,모바일,13,0,0,0,4.6,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,대전까르띠에,PC,118,0,0,0,1.3,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,대전까르띠에,모바일,853,1,77,77,1.1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,대전미우미우,PC,5,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,대전미우미우,모바일,32,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,대전톰브라운,PC,12,0,0,0,2.9,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,대전톰브라운,모바일,58,0,0,0,2.6,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,린다페로우,PC,162,1,77,77,8.2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,린다페로우,모바일,91,0,0,0,4.5,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,린다페로우선글라스,PC,85,1,77,77,5.9,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,린다페로우선글라스,모바일,46,1,77,77,8,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,린다페로우안경,PC,46,1,77,77,7.2,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,린다페로우안경,모바일,11,0,0,0,4.7,0,0,0,0
"파워링크",파워링크#1,파워링크#1_광고그룹#1,린드버그,PC,1,0,0,0,25,0,0,0,0
