"파워링크보고서(2025.06.01.~2025.06.30.),granada85:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",파워링크#1,PC광고,-,PC,622,3,84,253,2.1,0,0,0,0
"파워링크",파워링크#1,PC광고,군산남자머리,PC,12,0,0,0,2.3,0,0,0,0
"파워링크",파워링크#1,PC광고,군산남자커트,PC,3,0,0,0,3.3,0,0,0,0
"파워링크",파워링크#1,PC광고,군산남자컷,PC,3,0,0,0,3,0,0,0,0
"파워링크",파워링크#1,PC광고,군산다운펌,PC,19,0,0,0,2.7,0,0,0,0
"파워링크",파워링크#1,PC광고,군산레이어드컷,PC,44,0,0,0,2.1,0,0,0,0
"파워링크",파워링크#1,PC광고,군산롯데몰미용실,PC,4,0,0,0,1.5,0,0,0,0
"파워링크",파워링크#1,PC광고,군산머리잘하는곳,PC,17,0,0,0,2,0,0,0,0
"파워링크",파워링크#1,PC광고,군산머리잘하는미용실,PC,3,0,0,0,1.7,0,0,0,0
"파워링크",파워링크#1,PC광고,군산미용실,PC,"1,331",7,182,"1,276",3.6,0,0,0,0
"파워링크",파워링크#1,PC광고,군산미용실추천,PC,79,0,0,0,2.6,0,0,0,0
"파워링크",파워링크#1,PC광고,군산볼륨매직,PC,10,0,0,0,1.3,0,0,0,0
"파워링크",파워링크#1,PC광고,군산붙임머리,PC,31,0,0,0,2.6,0,0,0,0
"파워링크",파워링크#1,PC광고,군산수송동미용실,PC,64,0,0,0,2.6,0,0,0,0
"파워링크",파워링크#1,PC광고,군산여자커트,PC,2,0,0,0,2,0,0,0,0
"파워링크",파워링크#1,PC광고,군산염색,PC,5,0,0,0,4.8,0,0,0,0
"파워링크",파워링크#1,PC광고,군산탈색,PC,2,0,0,0,3,0,0,0,0
"파워링크",파워링크#1,PC광고,군산파마,PC,5,0,0,0,2.2,0,0,0,0
"파워링크",파워링크#1,PC광고,군산펌,PC,1,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,PC광고,군산헤신헤어,PC,17,0,0,0,2,0,0,0,0
"파워링크",파워링크#1,PC광고,군산헤어샵,PC,38,0,0,0,1.5,0,0,0,0
"파워링크",파워링크#1,PC광고,나운동미용실,PC,18,0,0,0,1.2,0,0,0,0
"파워링크",파워링크#1,PC광고,미룡동미용실,PC,12,0,0,0,2.8,0,0,0,0
"파워링크",파워링크#1,PC광고,서천미용실,PC,23,1,88,88,2.3,0,0,0,0
"파워링크",파워링크#1,PC광고,소룡동미용실,PC,10,0,0,0,3,0,0,0,0
"파워링크",파워링크#1,PC광고,일요일문여는미용실,PC,1,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,PC광고,장항미용실,PC,1,0,0,0,2,0,0,0,0
"파워링크",파워링크#1,PC광고,지곡동미용실,PC,25,0,0,0,2,0,0,0,0
"파워링크",파워링크#1,모바일광고,-,모바일,"6,169",23,271,"6,226",1.6,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산나운동미용실,모바일,480,0,0,0,1.4,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산남자머리,모바일,51,0,0,0,2,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산남자커트,모바일,17,0,0,0,4,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산남자컷,모바일,31,0,0,0,3.2,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산남자탈색,모바일,1,0,0,0,3,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산다운펌,모바일,41,0,0,0,2.3,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산레이어드컷,모바일,193,0,0,0,2.2,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산롯데몰미용실,모바일,106,0,0,0,1.5,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산머리,모바일,8,0,0,0,1.9,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산머리잘하는곳,모바일,35,0,0,0,2,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산머리잘하는미용실,모바일,32,0,0,0,1.4,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산미용실,모바일,"3,627",9,237,"2,134",3.6,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산미용실추천,모바일,742,6,365,"2,189",2.5,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산볼륨매직,모바일,97,0,0,0,1.3,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산붙임머리,모바일,36,1,165,165,4.3,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산수송동미용실,모바일,17,0,0,0,5.1,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산여자커트,모바일,15,1,77,77,2.5,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산염색,모바일,1,0,0,0,3,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산염색잘하는미용실,모바일,2,0,0,0,1,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산커트,모바일,11,0,0,0,2.2,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산탈색,모바일,27,0,0,0,3.7,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산파마,모바일,31,0,0,0,2.5,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산펌,모바일,4,0,0,0,3.3,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산헤신헤어,모바일,272,0,0,0,1.9,0,0,0,0
"파워링크",파워링크#1,모바일광고,군산헤어샵,모바일,302,1,165,165,1.9,0,0,0,0
"파워링크",파워링크#1,모바일광고,나운동미용실,모바일,226,0,0,0,1.2,0,0,0,0
"파워링크",파워링크#1,모바일광고,미룡동미용실,모바일,161,0,0,0,2.9,0,0,0,0
"파워링크",파워링크#1,모바일광고,서천미용실,모바일,315,2,88,176,2.4,0,0,0,0
"파워링크",파워링크#1,모바일광고,소룡동미용실,모바일,102,0,0,0,2.7,0,0,0,0
"파워링크",파워링크#1,모바일광고,수송동미용실,모바일,431,0,0,0,2.7,0,0,0,0
"파워링크",파워링크#1,모바일광고,일요일문여는미용실,모바일,33,1,77,77,1.1,0,0,0,0
"파워링크",파워링크#1,모바일광고,장항미용실,모바일,3,0,0,0,2,0,0,0,0
"파워링크",파워링크#1,모바일광고,조촌동미용실,모바일,"1,414",2,198,396,1.8,0,0,0,0
"파워링크",파워링크#1,모바일광고,지곡동미용실,모바일,214,0,0,0,2.1,0,0,0,0
"플레이스",플레이스#1,02_06시~24시,-,PC,"1,580",53,80,"4,235",3.2,0,0,0,0
"플레이스",플레이스#1,02_06시~24시,-,모바일,"25,283",292,92,"26,785",4.2,0,0,0,0
"플레이스",플레이스#1,01_00시~06시,-,PC,65,6,94,561,2.9,0,0,0,0
"플레이스",플레이스#1,01_00시~06시,-,모바일,"2,502",34,84,"2,871",5,0,0,0,0
