"파워링크보고서(2025.06.01.~2025.06.30.),hawaiishellfish:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",부평점 파워링크,01_파워링크(SA)_하와이조개 부평점_핵심키워드,-,PC,265,1,297,297,3.7,0,0,0,0
"파워링크",부평점 파워링크,01_파워링크(SA)_하와이조개 부평점_핵심키워드,-,모바일,"1,451",18,135,"2,431",2,0,0,0,0
"파워링크",부평점 파워링크,01_파워링크(SA)_하와이조개 부평점_핵심키워드,부평역맛집,PC,"1,692",18,359,"6,457",4.2,0,0,0,0
"파워링크",부평점 파워링크,01_파워링크(SA)_하와이조개 부평점_핵심키워드,부평역맛집,모바일,"8,170",106,642,"68,002",2.6,0,0,0,0
"파워링크",부평점 파워링크,01_파워링크(SA)_하와이조개 부평점_핵심키워드,부평조개구이,PC,34,1,88,88,2.8,0,0,0,0
"파워링크",부평점 파워링크,01_파워링크(SA)_하와이조개 부평점_핵심키워드,부평조개구이,모바일,642,10,198,"1,980",1.7,0,0,0,0
"플레이스",부평점 플레이스 광고3,01_플레이스광고_하와이조개 부평_피크타임_피크타임,-,PC,454,18,158,"2,849",3.8,0,0,0,0
"플레이스",부평점 플레이스 광고3,01_플레이스광고_하와이조개 부평_피크타임_피크타임,-,모바일,"3,058",75,123,"9,262",4,0,0,0,0
"플레이스",부평점 플레이스광고 1 [14시~23시],02_플레이스광고_하와이조개 부평점_전체시간대,-,모바일,"69,027",551,558,"307,186",3.7,0,0,0,0
"플레이스",부평점 지역소상공인광고,소상공인_광고그룹#1,-,PC,"2,144",3,392,"1,174.8",1,0,0,0,0
"플레이스",부평점 지역소상공인광고,소상공인_광고그룹#1,-,모바일,"7,948",71,60,"4,279.55",1.1,0,0,0,0
"플레이스",부평점 플레이스광고2,1만원 그룹#3,-,PC,475,29,232,"6,721",3.6,0,0,0,0
"플레이스",부평점 플레이스광고2,1만원 그룹#3,-,모바일,"1,007",50,147,"7,326",4.1,0,0,0,0
"플레이스",지역소상공인광고2,지역소상공인광고2_광고그룹#1,-,PC,7,0,0,3.85,1,0,0,0,0
"플레이스",지역소상공인광고2,지역소상공인광고2_광고그룹#1,-,모바일,2,0,0,1.1,1,0,0,0,0
