"파워링크보고서(2025.06.01.~2025.06.30.),idhairdj01:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",[RD] 지역설정 KW,메인 KW,관저동미용실,PC,56,1,473,473,2.4,0,0,0,0
"파워링크",[RD] 지역설정 KW,메인 KW,관저동미용실,모바일,518,7,462,"3,234",2,0,0,0,0
"파워링크",[RD] 지역설정 KW,메인 KW,근처미용실,PC,2,0,0,0,7,0,0,0,0
"파워링크",[RD] 지역설정 KW,메인 KW,대전미용실,PC,342,4,"1,279","5,115",3.9,0,0,0,0
"파워링크",[RD] 지역설정 KW,메인 KW,대전미용실,모바일,851,9,"1,199","10,791",4.3,0,0,0,0
"파워링크",[RD] 지역설정 KW,메인 KW,머리잘하는곳,모바일,189,3,180,539,2.5,0,0,0,0
"파워링크",[RD] 지역설정 KW,메인 KW,미용실,PC,455,0,0,0,7.5,0,0,0,0
"파워링크",[RD] 지역설정 KW,메인 KW,미용실,모바일,"8,149",31,288,"8,932",3.7,0,0,0,0
"파워링크",[RD] 지역설정 KW,메인 KW,미용실추천,PC,5,0,0,0,3.4,0,0,0,0
"파워링크",[RD] 지역설정 KW,메인 KW,미용실추천,모바일,30,0,0,0,4,0,0,0,0
"파워링크",[RD] 지역설정 KW,메인 KW,어려보이는헤어스타일,PC,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 지역설정 KW,메인 KW,어려보이는헤어스타일,모바일,1,0,0,0,3,0,0,0,0
"파워링크",[RD] 지역설정 KW,메인 KW,유성미용실,PC,100,1,627,627,6.1,0,0,0,0
"파워링크",[RD] 지역설정 KW,메인 KW,유성미용실,모바일,39,1,748,748,5.7,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,곱슬머리,PC,8,0,0,0,7.4,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,곱슬머리,모바일,1,0,0,0,3,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,곱슬머리파마,PC,1,0,0,0,4,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,곱슬머리파마,모바일,8,0,0,0,3.8,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,구름펌,PC,14,0,0,0,4.1,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,구름펌,모바일,131,0,0,0,3.4,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,굵은웨이브펌,모바일,9,0,0,0,3.1,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,굵은히피펌,PC,6,0,0,0,6.7,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,굵은히피펌,모바일,1,0,0,0,12,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,그레이스펌,PC,7,0,0,0,5.9,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,그레이스펌,모바일,23,0,0,0,3.9,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,그레이염색,모바일,2,0,0,0,3,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,긴머리,모바일,14,0,0,0,2.8,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,긴머리C컬펌,PC,2,0,0,0,10,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,긴머리볼륨매직,PC,1,0,0,0,3,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,긴머리볼륨매직,모바일,15,0,0,0,2.7,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,긴머리셋팅펌,모바일,1,0,0,0,3,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,긴머리스타일,모바일,16,0,0,0,2.3,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,긴머리웨이브펌,PC,1,0,0,0,9,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,긴머리컷,PC,1,0,0,0,2,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,긴머리컷,모바일,29,0,0,0,2.9,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,긴머리히피펌,PC,3,0,0,0,8,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,남성헤어컷,PC,1,0,0,0,2,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,남성헤어컷,모바일,37,0,0,0,2.6,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,단발,PC,1,0,0,0,10,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,단발레이어드컷,PC,1,0,0,0,10,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,단발머리,PC,37,0,0,0,4.8,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,단발머리,모바일,326,1,275,275,2.8,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,단발머리스타일,PC,2,0,0,0,10,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,단발머리펌,PC,2,0,0,0,9,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,단발모즈펌,모바일,4,0,0,0,2,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,단발볼륨매직,PC,3,0,0,0,9,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,단발스타일,PC,1,0,0,0,3,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,단발스타일,모바일,14,0,0,0,2.6,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,단발스타일링,모바일,4,0,0,0,3,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,단발웨이브펌,모바일,26,0,0,0,2.1,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,단발컷,PC,5,0,0,0,9,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,단발컷,모바일,1,0,0,0,15,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,단발펌,PC,2,0,0,0,9,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,단발헤어스타일,PC,17,0,0,0,7.6,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,단발헤어스타일,모바일,4,0,0,0,7,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,댄디펌,PC,1,0,0,0,3,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,댄디펌,모바일,28,0,0,0,2.4,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,레이어드,PC,12,0,0,0,4.9,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,레이어드,모바일,36,0,0,0,3.9,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,리젠트컷,PC,9,0,0,0,2.4,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,리젠트컷,모바일,156,0,0,0,2.2,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,매직,PC,9,0,0,0,7.6,0,0,0,0
"파워링크",[RD] 지역설정 KW,서브 KW,매직,모바일,93,0,0,0,3.2,0,0,0,0
