"파워링크보고서(2025.06.01.~2025.06.30.),jkkim8206:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,-,PC,932,4,509,"2,035",1.8,0,0,0,0
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,-,모바일,"2,156",10,420,"4,202",1.9,0,0,0,0
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,관악구1.5룸,PC,11,0,0,0,1.8,0,0,0,0
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,관악구1.5룸,모바일,11,0,0,0,1.8,0,0,0,0
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,관악구부동산,PC,168,1,143,143,3.9,0,0,0,0
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,관악구부동산,모바일,43,0,0,0,7.7,0,0,0,0
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,관악구원룸,PC,101,0,0,0,4.4,0,0,0,0
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,관악구원룸,모바일,1,0,0,0,17,0,0,0,0
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,관악구원룸전세,PC,137,0,0,0,2,0,0,0,0
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,관악구원룸전세,모바일,34,0,0,0,1.7,0,0,0,0
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,관악구투룸전세,PC,181,0,0,0,1.8,0,0,0,0
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,관악구투룸전세,모바일,49,0,0,0,1.6,0,0,0,0
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,관악원룸,PC,124,0,0,0,3.3,0,0,0,0
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,관악원룸,모바일,24,0,0,0,2,0,0,0,0
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,낙성대역원룸,PC,3,0,0,0,8.3,0,0,0,0
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,대학동부동산,PC,1,0,0,0,7,0,0,0,0
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,대학동원룸텔,PC,20,0,0,0,3.6,0,0,0,0
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,봉천동부동산,PC,32,0,0,0,4.5,0,0,0,0
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,봉천동오피스텔,PC,22,0,0,0,6.2,0,0,0,0
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,봉천동오피스텔,모바일,38,0,0,0,3.1,0,0,0,0
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,봉천동원룸,PC,72,0,0,0,4.4,0,0,0,0
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,봉천동투룸월세,PC,11,0,0,0,2.7,0,0,0,0
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,봉천동투룸월세,모바일,49,0,0,0,1.6,0,0,0,0
