"파워링크보고서(2025.06.01.~2025.06.30.),kcw9090:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",상가,상가매매,거제도상가매매,PC,29,0,0,0,3.7,0,0,0,0
"파워링크",상가,상가매매,거제도상가매매,모바일,14,0,0,0,2.5,0,0,0,0
"파워링크",상가,상가매매,거제상가매매,PC,2,0,0,0,1.5,0,0,0,0
"파워링크",상가,상가매매,거제상가매매,모바일,18,0,0,0,2.5,0,0,0,0
"파워링크",상가,상가매매,거제시상가매매,모바일,1,0,0,0,4,0,0,0,0
"파워링크",상가,상가임대,-,PC,93,0,0,0,2.7,0,0,0,0
"파워링크",상가,상가임대,-,모바일,396,12,163,"1,958",1.9,0,0,0,0
"파워링크",상가,상가임대,거제도상가,PC,30,0,0,0,3.6,0,0,0,0
"파워링크",상가,상가임대,거제도상가,모바일,66,0,0,0,2.4,0,0,0,0
"파워링크",상가,상가임대,거제도상가임대,PC,27,0,0,0,2.8,0,0,0,0
"파워링크",상가,상가임대,거제도상가임대,모바일,10,0,0,0,2.7,0,0,0,0
"파워링크",상가,상가임대,거제상가,PC,10,0,0,0,2.8,0,0,0,0
"파워링크",상가,상가임대,거제상가임대,PC,6,0,0,0,2.5,0,0,0,0
"파워링크",상가,상가임대,거제시상가,모바일,22,0,0,0,2.5,0,0,0,0
"파워링크",상가,상가임대,거제시상가임대,PC,2,0,0,0,1,0,0,0,0
"파워링크",상가,상가임대,거제중곡동상가,PC,1,0,0,0,1,0,0,0,0
"파워링크",상가,상가임대,거제중곡동상가,모바일,6,0,0,0,1.2,0,0,0,0
"파워링크",상가,상가임대,고현동상가임대,모바일,2,0,0,0,1,0,0,0,0
"파워링크",상가,상가임대,중곡동상가임대,PC,3,0,0,0,1.7,0,0,0,0
"파워링크",상가,상가임대,중곡동상가임대,모바일,9,0,0,0,1.1,0,0,0,0
"파워링크",거제도토지,거제도토지,-,PC,"1,290",15,122,"1,837",2.3,0,0,0,0
"파워링크",거제도토지,거제도토지,-,모바일,"4,436",54,133,"7,161",1.9,0,0,0,0
"파워링크",거제도토지,거제도토지,KTX거제역,PC,32,0,0,0,1.3,0,0,0,0
"파워링크",거제도토지,거제도토지,KTX거제역,모바일,125,2,77,154,1.5,0,0,0,0
"파워링크",거제도토지,거제도토지,가덕도신공항,PC,"1,469",0,0,0,9.5,0,0,0,0
"파워링크",거제도토지,거제도토지,가덕도신공항,모바일,"3,110",12,85,"1,023",5.3,0,0,0,0
"파워링크",거제도토지,거제도토지,가조도토지,PC,16,1,77,77,1.7,0,0,0,0
"파워링크",거제도토지,거제도토지,가조도토지,모바일,16,0,0,0,1.4,0,0,0,0
"파워링크",거제도토지,거제도토지,거제KTX역,PC,73,0,0,0,1.4,0,0,0,0
"파워링크",거제도토지,거제도토지,거제KTX역,모바일,205,0,0,0,2.1,0,0,0,0
"파워링크",거제도토지,거제도토지,거제KTX역사,PC,27,0,0,0,1.2,0,0,0,0
"파워링크",거제도토지,거제도토지,거제KTX역사,모바일,41,0,0,0,1.8,0,0,0,0
"파워링크",거제도토지,거제도토지,거제경매,모바일,8,0,0,0,3,0,0,0,0
"파워링크",거제도토지,거제도토지,거제경매토지,PC,1,0,0,0,1,0,0,0,0
"파워링크",거제도토지,거제도토지,거제경매토지,모바일,1,0,0,0,2,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도KTX,PC,376,0,0,0,1.7,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도KTX,모바일,860,4,80,319,2.4,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도경매,PC,29,0,0,0,2.7,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도경매,모바일,8,0,0,0,2.9,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도땅,PC,41,1,154,154,2.1,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도땅,모바일,50,1,121,121,1.6,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도땅값,PC,26,0,0,0,1.8,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도땅값,모바일,65,5,81,407,2.8,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도땅매매,PC,5,0,0,0,4.4,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도땅매매,모바일,17,1,77,77,4.6,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도땅임대,PC,1,0,0,0,3,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도땅임대,모바일,2,0,0,0,3.5,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도부동산매매,PC,14,1,77,77,2.9,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도부동산매매,모바일,27,1,77,77,1.9,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도부동산매물,PC,9,1,77,77,1.9,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도부동산매물,모바일,25,1,77,77,1.7,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도사등면,PC,8,0,0,0,2.6,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도사등면,모바일,41,1,77,77,2.5,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도싼땅,모바일,2,0,0,0,1,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도임야,PC,2,0,0,0,1.5,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도임야,모바일,30,0,0,0,2.2,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도임야매매,PC,14,1,77,77,1.4,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도임야매매,모바일,9,0,0,0,2.4,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도토지,PC,135,1,187,187,2,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도토지,모바일,331,7,225,"1,573",2,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도토지매매,PC,74,1,110,110,2.4,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도토지매매,모바일,80,2,110,220,1.2,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도투자,PC,7,0,0,0,2.1,0,0,0,0
"파워링크",거제도토지,거제도토지,거제도투자,모바일,24,0,0,0,2.2,0,0,0,0
"파워링크",거제도토지,거제도토지,거제땅,PC,24,2,242,484,2.1,0,0,0,0
"파워링크",거제도토지,거제도토지,거제땅,모바일,82,5,266,"1,331",1.7,0,0,0,0
"파워링크",거제도토지,거제도토지,거제땅값,PC,6,0,0,0,1.3,0,0,0,0
"파워링크",거제도토지,거제도토지,거제땅값,모바일,21,1,77,77,1.9,0,0,0,0
"파워링크",거제도토지,거제도토지,거제땅매매,PC,28,1,77,77,4.3,0,0,0,0
"파워링크",거제도토지,거제도토지,거제땅매매,모바일,34,1,77,77,2.8,0,0,0,0
"파워링크",거제도토지,거제도토지,거제땅임대,PC,1,0,0,0,1,0,0,0,0
"파워링크",거제도토지,거제도토지,거제땅임대,모바일,1,0,0,0,1,0,0,0,0
"파워링크",거제도토지,거제도토지,거제면토지,PC,2,0,0,0,2,0,0,0,0
