"파워링크보고서(2025.06.01.~2025.06.30.),kimgr7:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,-,PC,88,1,66,66,1.5,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,-,모바일,"1,212",8,77,616,1.4,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,남동구논현동안경,모바일,1,0,0,0,3,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,남동구논현동안경점,모바일,3,0,0,0,1.3,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,블루라이트차단안경,PC,2,0,0,0,49,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,뿔테안경,PC,3,0,0,0,38.7,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,선글라스,PC,61,0,0,0,17.1,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,선글라스,모바일,"8,327",0,0,0,7.8,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,썬그라스,PC,74,0,0,0,5.5,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,썬그라스,모바일,369,0,0,0,4.7,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,안경,PC,21,0,0,0,46.3,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,안경,모바일,8,0,0,0,39.4,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,안경브랜드,PC,2,0,0,0,30,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,안경브랜드,모바일,3,0,0,0,45.3,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,안경점,PC,2,0,0,0,36.5,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,안경테,PC,19,0,0,0,24.9,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,안경테,모바일,4,0,0,0,45.8,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,인천남동구논현동안경점,PC,2,0,0,0,2,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,인천남동구논현동안경점,모바일,1,0,0,0,2,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,인천논현동안경,PC,25,0,0,0,2.5,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,인천논현동안경,모바일,79,1,88,88,2.9,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,인천논현동안경점,PC,18,0,0,0,1.9,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,인천논현동안경점,모바일,71,0,0,0,1.9,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,인천논현렌즈,PC,1,0,0,0,3,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,인천논현렌즈,모바일,26,1,88,88,1.9,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,인천논현안경,PC,42,0,0,0,1.9,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,인천논현안경,모바일,135,0,0,0,2,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,인천논현안경점,PC,20,0,0,0,1.1,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,인천논현안경점,모바일,83,0,0,0,1.1,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,티타늄안경테,PC,3,0,0,0,37,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,티타늄안경테,모바일,2,0,0,0,52,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,호구포안경,PC,1,0,0,0,2,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,호구포안경,모바일,4,0,0,0,1.3,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,호구포안경점,PC,1,0,0,0,1,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,호구포안경점,모바일,8,0,0,0,1.1,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,호구포역안경,PC,1,0,0,0,1,0,0,0,0
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,호구포역안경,모바일,19,1,77,77,1.1,0,0,0,0
"플레이스",밝은눈안경,밝은눈안경원 논현호구포역점,-,PC,251,10,318,"3,179",1.9,0,0,0,0
"플레이스",밝은눈안경,밝은눈안경원 논현호구포역점,-,모바일,"1,589",53,335,"17,765",2,0,0,0,0
