"파워링크보고서(2025.06.01.~2025.06.30.),kongddran:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),-,PC,562,7,314,"2,200",1.8,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),명지아침,PC,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),명지아침밥집,PC,3,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),명지아침식사,PC,3,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),명지저녁,PC,4,0,0,0,1.3,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),명지점심,PC,48,0,0,0,1.9,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),명지점심밥집,PC,1,0,0,0,3,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),명지점심식사,PC,2,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),용원CC순두부,PC,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),용원CC아침,PC,2,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),용원CC아침식사,PC,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),용원CC점심,PC,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),진해가볼만한곳,PC,172,1,209,209,5.6,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),진해구점심,PC,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),진해김치찌개,PC,8,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),진해데이트,PC,7,0,0,0,1.1,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),진해두부,PC,4,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),진해맛집,PC,805,10,634,"6,336",2.8,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),진해순두부,PC,4,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),진해아침식사,PC,5,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),진해저녁,PC,3,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),진해점심,PC,27,0,0,0,1.1,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),진해점심밥집,PC,1,0,0,0,3,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),진해제육볶음,PC,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),진해콩국수,PC,14,0,0,0,1.4,0,0,0,0
"파워링크",[RD] 파워링크_PC,01. 지역키워드(메인),진해해물파전,PC,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 파워링크_PC,02. 일반키워드(지역설정),-,PC,6,0,0,0,1,0,0,0,0
