"파워링크보고서(2025.06.01.~2025.06.30.),leehwane:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",[RD] 이화간호학원,메인(설정) PC,-,PC,37,0,0,0,1.6,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,2024간호사국가고시,PC,2,0,0,0,2,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호국가고시,PC,1,0,0,0,6,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호국시,PC,2,0,0,0,3,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호사국가고시,PC,15,0,0,0,9.2,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호사국가고시문제,PC,7,0,0,0,3.3,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호사국가고시준비,PC,1,0,0,0,3,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호사국시,PC,3,0,0,0,9,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호사시험,PC,4,0,0,0,6,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호사자격시험,PC,1,0,0,0,2,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호사자격증,PC,2,0,0,0,7,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호사학원,PC,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호조무사,PC,15,0,0,0,9.3,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호조무사교육,PC,8,0,0,0,3.1,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호조무사교육과정,PC,3,0,0,0,10,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호조무사구인구직,PC,19,0,0,0,4.7,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호조무사국가고시,PC,3,0,0,0,2.3,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호조무사국비,PC,1,0,0,0,5,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호조무사국비지원,PC,1,0,0,0,8,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호조무사보수교육,PC,372,0,0,0,3.2,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호조무사시험,PC,21,0,0,0,9,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호조무사시험일정,PC,11,0,0,0,1.3,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호조무사야간반,PC,3,0,0,0,7,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호조무사일자리,PC,10,0,0,0,7,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호조무사자격증,PC,19,0,0,0,9.1,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호조무사자격증시험,PC,6,0,0,0,5.3,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호조무사학원,PC,21,0,0,0,8.3,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호조무사학원비용,PC,3,0,0,0,4.7,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호학원,PC,9,0,0,0,8,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,간호학원주말반,PC,1,0,0,0,4,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,국비간호조무사,PC,6,0,0,0,8,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,국비간호조무사학원,PC,1,0,0,0,9,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,국비지원간호조무사학원,PC,1,0,0,0,9,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,방문간호조무사,PC,12,0,0,0,1.7,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,조무사,PC,8,0,0,0,1,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) PC,주사실무학원,PC,5,1,297,297,2,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) MO,-,모바일,218,2,77,154,1.3,0,0,0,0
"파워링크",[RD] 이화간호학원,메인(설정) MO,간호국시,모바일,5,0,0,0,3,0,0,0,0
