"파워링크보고서(2025.06.01.~2025.06.30.),light1805:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",도원파워링크MO,도원파워링크_작명,-,모바일,6,0,0,0,1.7,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_작명,군산작명,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_작명,군산작명소,모바일,7,0,0,0,1.6,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_작명,김제작명,모바일,3,0,0,0,1.7,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_작명,김제작명소,모바일,2,1,"1,166","1,166",3.5,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_작명,대전작명소,모바일,3,0,0,0,2,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_작명,도원사주작명원,모바일,6,0,0,0,2.2,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_작명,동탄산후조리원,모바일,67,0,0,0,2,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_작명,작명소,모바일,103,0,0,0,4,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_작명,작명소유명한곳,모바일,35,0,0,0,2.7,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_작명,전주작명,모바일,5,0,0,0,2.4,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_작명,전주작명소,모바일,490,4,"2,016","8,063",2.9,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_작명,정읍작명소,모바일,3,0,0,0,3,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_사주,-,모바일,397,6,204,"1,221",2.4,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_사주,군산사주,모바일,400,1,264,264,1.5,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_사주,군산철학관,모바일,137,1,143,143,1.7,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_사주,군산철학원,모바일,1,0,0,0,1,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_사주,사주잘보는곳,모바일,202,0,0,0,2.8,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_사주,익산사주,모바일,374,2,308,616,1.8,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_사주,익산철학관,모바일,128,3,293,880,2.3,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_사주,익산철학원,모바일,"1,223",1,440,440,1.9,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_사주,전주사주,모바일,"2,219",2,534,"1,067",3.4,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_사주,전주철학관,모바일,"2,981",16,698,"11,165",1.9,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_사주,전주철학원,모바일,5,0,0,0,3.4,0,0,0,0
"파워링크",도원파워링크MO,도원파워링크_사주,철학관,모바일,26,0,0,0,14.2,0,0,0,0
"파워링크",도원파워링크PC,도원파워링크_사주,-,PC,85,1,429,429,4.1,0,0,0,0
"파워링크",도원파워링크PC,도원파워링크_사주,군산사주,PC,81,0,0,0,1.6,0,0,0,0
"파워링크",도원파워링크PC,도원파워링크_사주,군산철학관,PC,4,0,0,0,3.5,0,0,0,0
"파워링크",도원파워링크PC,도원파워링크_사주,사주잘보는곳,PC,11,1,539,539,13.2,0,0,0,0
"파워링크",도원파워링크PC,도원파워링크_사주,익산사주,PC,73,0,0,0,1.2,0,0,0,0
"파워링크",도원파워링크PC,도원파워링크_사주,익산철학관,PC,12,0,0,0,2.6,0,0,0,0
"파워링크",도원파워링크PC,도원파워링크_사주,익산철학원,PC,2,0,0,0,4,0,0,0,0
"파워링크",도원파워링크PC,도원파워링크_사주,전주사주,PC,719,0,0,0,3.9,0,0,0,0
"파워링크",도원파워링크PC,도원파워링크_사주,전주철학관,PC,319,1,"1,738","1,738",3.7,0,0,0,0
"파워링크",도원파워링크PC,도원파워링크_사주,전주철학원,PC,3,0,0,0,6,0,0,0,0
"파워링크",도원파워링크PC,도원파워링크_사주,철학관,PC,68,0,0,0,14.4,0,0,0,0
"파워링크",도원파워링크PC,도원파워링크_작명,-,PC,4,0,0,0,5.8,0,0,0,0
"파워링크",도원파워링크PC,도원파워링크_작명,군산작명,PC,2,0,0,0,5.5,0,0,0,0
"파워링크",도원파워링크PC,도원파워링크_작명,군산작명소,PC,3,0,0,0,7,0,0,0,0
"파워링크",도원파워링크PC,도원파워링크_작명,대전작명소,PC,1,0,0,0,3,0,0,0,0
"파워링크",도원파워링크PC,도원파워링크_작명,작명소,PC,4,0,0,0,8.5,0,0,0,0
"파워링크",도원파워링크PC,도원파워링크_작명,작명소유명한곳,PC,4,0,0,0,8.3,0,0,0,0
"파워링크",도원파워링크PC,도원파워링크_작명,전주작명,PC,5,0,0,0,4.6,0,0,0,0
"파워링크",도원파워링크PC,도원파워링크_작명,전주작명소,PC,68,0,0,0,5.4,0,0,0,0
"플레이스",플레이스#도원,플레이스#도원_광고그룹#1,-,PC,644,6,"1,230","7,381",4.8,0,0,0,0
"플레이스",플레이스#도원,플레이스#도원_광고그룹#1,-,모바일,"1,809",33,678,"22,385",3.5,0,0,0,0
