"파워링크보고서(2025.06.01.~2025.06.30.),litonpartners:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,-,PC,521,3,227,682,2.6,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,-,모바일,"3,420",21,293,"6,149",1.9,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역2차,PC,27,0,0,0,1.1,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역2차,모바일,178,0,0,0,1.3,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역가성비술집,PC,16,1,242,242,1.5,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역가성비술집,모바일,123,0,0,0,2.4,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역근처술집,PC,6,0,0,0,4.3,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역근처술집,모바일,109,0,0,0,2.2,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역단체모임,PC,78,1,825,825,2,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역단체모임,모바일,150,3,678,"2,035",1.7,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역단체술집,PC,94,0,0,0,3.8,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역단체술집,모바일,105,3,227,682,2.6,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역데이트,모바일,2,0,0,0,40,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역루프탑,PC,34,0,0,0,1.4,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역루프탑,모바일,51,0,0,0,1.1,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역분위기술집,PC,3,0,0,0,2,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역분위기술집,모바일,13,1,77,77,2.1,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역술집,PC,"22,305",10,853,"8,525",2.2,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역술집,모바일,"185,643",106,682,"72,325",1.9,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역술집거리,PC,2,0,0,0,2,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역술집거리,모바일,85,0,0,0,2.7,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역술집맛집,PC,1,0,0,0,3,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역술집맛집,모바일,23,0,0,0,2.5,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역술집예약,PC,1,0,0,0,1,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역술집예약,모바일,4,0,0,0,2,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역술집추천,PC,209,0,0,0,2.2,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역술집추천,모바일,560,4,374,"1,496",2.2,0,0,0,0
"파워링크",파워링크#1 밤별 강남역 술집,파워링크#1 밤별 강남역 술집_광고그룹#1,강남역안주맛집,PC,13,0,0,0,2.5,0,0,0,0
