"파워링크보고서(2025.06.01.~2025.06.30.),lswhsy:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",파워링크#2,파워링크#2_광고그룹#1,강아지목욕,PC,153,0,0,0,8.5,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,강아지목욕,모바일,57,0,0,0,3.6,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,강아지미용,PC,"1,376",0,0,0,3.9,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,강아지미용,모바일,"2,597",7,"1,028","7,194",3,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,강아지미용가격,PC,203,1,847,847,2.6,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,강아지미용가격,모바일,"1,415",17,"1,043","17,732",2.8,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,고양이목욕,PC,95,0,0,0,5.1,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,고양이목욕,모바일,97,1,"1,100","1,100",4.2,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,고양이미용,PC,303,1,990,990,8.1,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,고양이미용,모바일,107,1,"1,089","1,089",7.6,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,대형견미용,PC,175,0,0,0,4.4,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,대형견미용,모바일,256,2,"1,045","2,090",2.8,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,동탄애견미용,PC,242,3,939,"2,816",1.9,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,동탄애견미용,모바일,"1,117",18,929,"16,720",2.1,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,동탄애견미용실,모바일,3,0,0,0,1,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,말티푸미용,PC,"1,855",1,"1,089","1,089",1.7,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,말티푸미용,모바일,"6,098",27,785,"21,197",2.7,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,반려견마사지,PC,11,0,0,0,1.7,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,반려견마사지,모바일,22,1,902,902,1.5,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,반려견스파,PC,13,0,0,0,1.8,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,반려견스파,모바일,666,0,0,0,1.4,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,비숑미용,PC,449,0,0,0,4.2,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,비숑미용,모바일,"2,023",5,990,"4,950",3.5,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,수원강아지미용,PC,5,0,0,0,1.4,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,수원강아지미용,모바일,37,0,0,0,1,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,수원애견미용,PC,218,0,0,0,7.3,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,수원애견미용,모바일,46,0,0,0,3.3,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,애견마사지,PC,2,0,0,0,2,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,애견마사지,모바일,30,0,0,0,2.4,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,애견목욕,PC,103,0,0,0,6,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,애견목욕,모바일,66,1,"1,089","1,089",2.9,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,애견미용샵,PC,218,2,897,"1,793",3.6,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,애견미용샵,모바일,866,4,908,"3,630",3,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,애견미용실,PC,817,1,"1,100","1,100",3.9,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,애견미용실,모바일,"7,642",24,"1,030","24,717",2.7,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,푸들미용,PC,454,1,891,891,3.2,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,푸들미용,모바일,"4,169",25,"1,000","24,992",2.5,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,훈육미용,PC,65,0,0,0,1.4,0,0,0,0
"파워링크",파워링크#2,파워링크#2_광고그룹#1,훈육미용,모바일,64,0,0,0,1.5,0,0,0,0
"파워링크",[RD] 퍼피앤캣,지역조합 KW,능동강아지목욕,PC,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 퍼피앤캣,지역조합 KW,능동강아지미용,PC,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 퍼피앤캣,지역조합 KW,능동비숑미용,모바일,1,0,0,0,2,0,0,0,0
"파워링크",[RD] 퍼피앤캣,지역조합 KW,능동애견미용예약,모바일,5,0,0,0,2.8,0,0,0,0
"파워링크",[RD] 퍼피앤캣,지역조합 KW,동탄강아지목욕,모바일,2,0,0,0,1,0,0,0,0
"파워링크",[RD] 퍼피앤캣,지역조합 KW,동탄강아지미용,PC,16,1,"1,089","1,089",1.7,0,0,0,0
"파워링크",[RD] 퍼피앤캣,지역조합 KW,동탄강아지미용,모바일,30,1,"1,089","1,089",3.6,0,0,0,0
"파워링크",[RD] 퍼피앤캣,지역조합 KW,동탄강아지부분미용,모바일,3,0,0,0,2.3,0,0,0,0
"파워링크",[RD] 퍼피앤캣,지역조합 KW,동탄노견미용,PC,1,0,0,0,1,0,0,0,0
"파워링크",[RD] 퍼피앤캣,지역조합 KW,동탄노견미용,모바일,6,0,0,0,1,0,0,0,0
