"파워링크보고서(2025.06.01.~2025.06.30.),momiyays:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",MO,메인지역KW,-,모바일,47,4,74,297,1.5,0,0,0,0
"파워링크",MO,메인지역KW,본촌동필라테스,모바일,47,0,0,0,2.4,0,0,0,0
"파워링크",MO,메인지역KW,신용동필라테스,모바일,90,4,"1,009","4,037",1,0,0,0,0
"파워링크",MO,메인지역KW,양산동1대1필라테스,모바일,1,0,0,0,1,0,0,0,0
"파워링크",MO,메인지역KW,양산동어린이필라테스,모바일,1,0,0,0,2,0,0,0,0
"파워링크",MO,메인지역KW,양산동필라테스,모바일,179,12,"1,312","15,741",1,0,0,0,0
"파워링크",MO,메인지역KW,양산동필라테스가격,모바일,1,0,0,0,1,0,0,0,0
"파워링크",MO,메인지역KW,양산필라테스가격,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",MO,메인지역KW,연제동필라테스,모바일,68,3,572,"1,716",1,0,0,0,0
"파워링크",MO,메인지역KW,용두동필라테스,모바일,15,0,0,0,1,0,0,0,0
"파워링크",MO,메인지역KW,일곡동필라테스,모바일,333,1,968,968,2,0,0,0,0
"파워링크",MO,서브지역KW,-,모바일,54,1,77,77,2.6,0,0,0,0
"파워링크",MO,서브지역KW,광주그룹필라테스,모바일,3,1,341,341,1,0,0,0,0
"파워링크",MO,서브지역KW,광주기구필라테스,모바일,4,0,0,0,2,0,0,0,0
"파워링크",MO,서브지역KW,광주대기구필라테스,모바일,1,0,0,0,2,0,0,0,0
"파워링크",MO,서브지역KW,광주매트필라테스,모바일,3,0,0,0,2,0,0,0,0
"파워링크",MO,서브지역KW,광주바렐필라테스,모바일,1,1,154,154,1,0,0,0,0
"파워링크",MO,서브지역KW,광주북구기구필라테스,모바일,2,0,0,0,4,0,0,0,0
"파워링크",MO,서브지역KW,광주북구필라테스,모바일,36,0,0,0,4.3,0,0,0,0
"파워링크",MO,서브지역KW,광주북구필라테스가격,모바일,5,0,0,0,2.6,0,0,0,0
"파워링크",MO,서브지역KW,광주북구필라테스지도자과정,모바일,1,0,0,0,2,0,0,0,0
"파워링크",MO,서브지역KW,광주북구허리강화운동,모바일,12,0,0,0,2.6,0,0,0,0
"파워링크",MO,서브지역KW,광주소도구필라테스,모바일,7,0,0,0,2.6,0,0,0,0
"파워링크",MO,서브지역KW,광주어린이필라테스,모바일,22,1,220,220,1.9,0,0,0,0
"파워링크",MO,서브지역KW,광주필라테스,모바일,7,0,0,0,15.3,0,0,0,0
"파워링크",MO,서브지역KW,광주필라테스가격,모바일,11,0,0,0,3,0,0,0,0
"파워링크",MO,서브지역KW,광주필라테스비용,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",MO,서브지역KW,광주필라테스지도자과정,모바일,4,1,451,451,4.3,0,0,0,0
"파워링크",MO,서브지역KW,광주필라테스학원,모바일,1,0,0,0,4,0,0,0,0
"파워링크",MO,서브지역KW,첨단그룹필라테스,모바일,3,0,0,0,1.3,0,0,0,0
"파워링크",MO,서브지역KW,첨단기구필라테스,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",MO,서브지역KW,첨단대기구필라테스,모바일,1,0,0,0,2,0,0,0,0
"파워링크",MO,서브지역KW,첨단소도구필라테스,모바일,2,0,0,0,1,0,0,0,0
"파워링크",MO,서브지역KW,첨단지구필라테스,모바일,6,0,0,0,3.3,0,0,0,0
"파워링크",MO,서브지역KW,첨단필라테스,모바일,247,2,242,484,4.4,0,0,0,0
"파워링크",MO,서브지역KW,첨단필라테스가격,모바일,6,1,77,77,1.7,0,0,0,0
"파워링크",MO,서브지역KW,첨단필라테스학원,모바일,3,0,0,0,2,0,0,0,0
"파워링크",MO,광주반경 지역X KW,-,모바일,3,0,0,0,3,0,0,0,0
"파워링크",MO,광주반경 지역X KW,1대1필라테스,모바일,1,0,0,0,3,0,0,0,0
"파워링크",MO,광주반경 지역X KW,대기구필라테스,모바일,151,1,550,550,2.5,0,0,0,0
"파워링크",MO,광주반경 지역X KW,리포머필라테스,모바일,93,2,501,"1,001",2.2,0,0,0,0
"파워링크",MO,광주반경 지역X KW,매트필라테스,모바일,13,0,0,0,1.7,0,0,0,0
"파워링크",MO,광주반경 지역X KW,몸이야필라테스,모바일,"1,261",25,491,"12,276",1.9,0,0,0,0
"파워링크",MO,광주반경 지역X KW,바렐필라테스,모바일,94,1,539,539,3.4,0,0,0,0
"파워링크",MO,광주반경 지역X KW,소도구필라테스,모바일,1,0,0,0,5,0,0,0,0
"파워링크",MO,광주반경 지역X KW,체어필라테스,모바일,66,0,0,0,2.8,0,0,0,0
"파워링크",MO,광주반경 지역X KW,캐딜락필라테스,모바일,118,0,0,0,3.2,0,0,0,0
"파워링크",MO,광주반경 지역X KW,필라테스,모바일,24,1,528,528,7.5,0,0,0,0
"파워링크",MO,광주반경 지역X KW,필라테스PT,모바일,2,0,0,0,2,0,0,0,0
"파워링크",MO,광주반경 지역X KW,필라테스가격,모바일,31,0,0,0,4.2,0,0,0,0
"파워링크",MO,광주반경 지역X KW,필라테스비용,모바일,1,0,0,0,4,0,0,0,0
"파워링크",MO,광주반경 지역X KW,필라테스샵,모바일,6,0,0,0,1.8,0,0,0,0
"파워링크",MO,광주반경 지역X KW,허리강화운동,모바일,1,0,0,0,2,0,0,0,0
"파워링크",PC,메인지역KW,-,PC,24,2,77,154,2.8,0,0,0,0
"파워링크",PC,메인지역KW,본촌동필라테스,PC,2,1,88,88,2,0,0,0,0
"파워링크",PC,메인지역KW,신용동필라테스,PC,14,0,0,0,1.2,0,0,0,0
"파워링크",PC,메인지역KW,양산동필라테스,PC,41,4,729,"2,915",1,0,0,0,0
"파워링크",PC,메인지역KW,양산동필라테스개인레슨,PC,1,0,0,0,1,0,0,0,0
"파워링크",PC,메인지역KW,연제동필라테스,PC,12,2,435,869,1.1,0,0,0,0
"파워링크",PC,메인지역KW,용두동필라테스,PC,1,0,0,0,1,0,0,0,0
"파워링크",PC,메인지역KW,일곡동필라테스,PC,61,0,0,0,2,0,0,0,0
"파워링크",PC,서브지역KW,-,PC,31,0,0,0,5.7,0,0,0,0
"파워링크",PC,서브지역KW,광주그룹필라테스,PC,1,0,0,0,1,0,0,0,0
"파워링크",PC,서브지역KW,광주북구필라테스,PC,43,0,0,0,4.9,0,0,0,0
"파워링크",PC,서브지역KW,광주소도구필라테스,PC,2,0,0,0,4.5,0,0,0,0
"파워링크",PC,서브지역KW,광주어린이필라테스,PC,1,0,0,0,2,0,0,0,0
"파워링크",PC,서브지역KW,광주필라테스,PC,15,0,0,0,9.8,0,0,0,0
"파워링크",PC,서브지역KW,광주필라테스가격,PC,8,0,0,0,3.5,0,0,0,0
"파워링크",PC,서브지역KW,광주필라테스지도자과정,PC,27,0,0,0,6.1,0,0,0,0
"파워링크",PC,서브지역KW,첨단기구필라테스,PC,1,0,0,0,2,0,0,0,0
"파워링크",PC,서브지역KW,첨단매트필라테스,PC,1,0,0,0,1,0,0,0,0
"파워링크",PC,서브지역KW,첨단지구필라테스,PC,4,0,0,0,4,0,0,0,0
"파워링크",PC,서브지역KW,첨단필라테스,PC,239,0,0,0,4.8,0,0,0,0
"파워링크",PC,서브지역KW,첨단필라테스가격,PC,6,0,0,0,1.2,0,0,0,0
"파워링크",PC,서브지역KW,첨단필라테스비용,PC,1,0,0,0,1,0,0,0,0
"파워링크",PC,광주반경 지역X KW,1대1필라테스,PC,1,0,0,0,3,0,0,0,0
"파워링크",PC,광주반경 지역X KW,그룹필라테스,PC,4,0,0,0,4,0,0,0,0
"파워링크",PC,광주반경 지역X KW,대기구필라테스,PC,9,0,0,0,1.1,0,0,0,0
"파워링크",PC,광주반경 지역X KW,리포머필라테스,PC,7,1,506,506,1.3,0,0,0,0
"파워링크",PC,광주반경 지역X KW,매트필라테스,PC,16,0,0,0,4.3,0,0,0,0
"파워링크",PC,광주반경 지역X KW,몸이야필라테스,PC,166,3,480,"1,441",1.2,0,0,0,0
"파워링크",PC,광주반경 지역X KW,바렐필라테스,PC,6,1,484,484,2,0,0,0,0
"파워링크",PC,광주반경 지역X KW,소도구필라테스,PC,14,0,0,0,5,0,0,0,0
"파워링크",PC,광주반경 지역X KW,어린이필라테스,PC,1,0,0,0,2,0,0,0,0
"파워링크",PC,광주반경 지역X KW,체어필라테스,PC,7,0,0,0,1.7,0,0,0,0
"파워링크",PC,광주반경 지역X KW,캐딜락필라테스,PC,15,0,0,0,1.9,0,0,0,0
"파워링크",PC,광주반경 지역X KW,필라테스,PC,401,1,550,550,7.3,0,0,0,0
"파워링크",PC,광주반경 지역X KW,필라테스PT,PC,4,0,0,0,2.3,0,0,0,0
"파워링크",PC,광주반경 지역X KW,필라테스가격,PC,35,0,0,0,4.3,0,0,0,0
"파워링크",PC,광주반경 지역X KW,필라테스개인레슨,PC,6,0,0,0,8.2,0,0,0,0
"파워링크",PC,광주반경 지역X KW,필라테스비용,PC,6,0,0,0,4.7,0,0,0,0
"파워링크",PC,광주반경 지역X KW,필라테스학원,PC,2,0,0,0,4.5,0,0,0,0
"파워링크",PC,광주반경 지역X KW,허리강화운동,PC,7,0,0,0,9.9,0,0,0,0
"플레이스",양산동필라테스,플레이스#1_광고그룹#1,-,PC,582,10,"1,354","13,541",2.2,0,0,0,0
"플레이스",양산동필라테스,플레이스#1_광고그룹#1,-,모바일,"1,778",73,"1,226","89,529",2.3,0,0,0,0
