"파워링크보고서(2025.06.01.~2025.06.30.),nser8330:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",🟠 파워링크 지역설정,01. 미용실,-,PC,5,0,0,0,2,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,-,모바일,2,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,근처미용실,PC,10,0,0,0,1.8,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,근처미용실,모바일,133,1,"1,551","1,551",1.1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,근처헤어샵,모바일,6,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,내근처미용실,PC,1,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,내근처미용실,모바일,42,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,내주변미용실,모바일,15,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,내주변헤어샵,모바일,4,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,네이버미용실,모바일,1,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,네이버미용실예약,PC,1,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,네이버미용실예약,모바일,8,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,머리잘하는곳,모바일,1,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,미용실,PC,48,1,"1,221","1,221",1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,미용실,모바일,"1,262",9,642,"5,775",1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,미용실가격,모바일,3,0,0,0,1.3,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,미용실예약,PC,8,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,미용실예약,모바일,73,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,미용실추천,PC,1,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,미용실추천,모바일,2,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,여성헤어스타일,PC,3,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,여성헤어스타일,모바일,11,0,0,0,1.5,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,주변미용실,PC,2,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,주변미용실,모바일,25,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,주변헤어샵,모바일,1,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,헤어살롱,모바일,5,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,헤어샵,PC,3,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,헤어샵,모바일,49,1,"1,881","1,881",1.1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,헤어스타일추천,모바일,14,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,01. 미용실,헤어컨설팅,모바일,4,1,"1,804","1,804",1.5,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,그레이염색,모바일,1,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,남자머리염색,모바일,1,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,남자염색추천,모바일,1,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,다크브라운염색,모바일,6,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,머리새치염색,모바일,1,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,머리염색,PC,2,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,머리염색,모바일,7,1,"1,507","1,507",1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,복구클리닉,PC,1,0,0,0,4,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,부분새치염색,모바일,1,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,블루블랙염색,모바일,7,0,0,0,1.7,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,뿌리염색,PC,1,0,0,0,2,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,뿌리염색,모바일,9,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,새치뿌리염색,PC,1,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,새치염색,PC,2,0,0,0,6,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,새치염색,모바일,2,0,0,0,4.5,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,새치염색미용실,모바일,1,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,새치커버염색,모바일,1,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,시크릿투톤,PC,1,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,시크릿투톤,모바일,4,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,애쉬그레이염색,PC,1,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,애쉬그레이염색,모바일,3,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,애쉬베이지염색,모바일,1,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,애쉬브라운염색,PC,2,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,애쉬브라운염색,모바일,11,0,0,0,1.2,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,애쉬염색,모바일,4,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,염색,PC,2,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,염색,모바일,22,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,염색가격,모바일,1,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,염색추천,PC,1,0,0,0,3,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,염색추천,모바일,6,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,초코브라운염색,모바일,5,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,클리닉,PC,1,0,0,0,3,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,클리닉,모바일,19,0,0,0,1.2,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,탈색,PC,3,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,탈색,모바일,8,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,탈색염색,모바일,1,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,톤다운염색,모바일,8,0,0,0,1.9,0,0,0,0
"파워링크",🟠 파워링크 지역설정,02. 염색클리닉,투톤염색,모바일,3,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,-,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,가일컷,모바일,14,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,긴머리레이어드컷,모바일,11,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,남성헤어컷,모바일,3,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,단발레이어드컷,모바일,60,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,단발컷,모바일,10,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,댄디컷,모바일,14,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,드랍컷,모바일,8,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,드롭컷,모바일,13,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,레이어드,모바일,4,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,레이어드컷,모바일,61,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,리젠트컷,모바일,10,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,리프컷,모바일,14,1,627,627,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,보브단발,모바일,5,0,0,0,2,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,보브컷,모바일,11,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,사이드뱅,모바일,8,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,숏단발,모바일,14,0,0,0,1.1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,숏컷,모바일,6,0,0,0,1.2,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,숏컷잘하는미용실,모바일,2,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,슬릭컷,모바일,5,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,아이비리그컷,모바일,32,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,여성컷트,모바일,1,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,여자숏컷스타일,모바일,1,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,울프컷,모바일,7,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,중단발,모바일,17,0,0,0,1.8,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,중단발레이어드컷,모바일,28,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,칼단발,모바일,5,0,0,0,1.8,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,커트,모바일,2,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,크롭컷,모바일,10,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,태슬컷,모바일,4,0,0,0,1.3,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,투블럭,모바일,2,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,투블럭컷,모바일,2,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,허쉬컷,모바일,15,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,헤어컷,모바일,1,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,03. 커트,히메컷,모바일,4,0,0,0,1.3,0,0,0,0
"파워링크",🟠 파워링크 지역설정,04. 펌매직,C컬펌,PC,4,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,04. 펌매직,C컬펌,모바일,13,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,04. 펌매직,가르마펌,PC,6,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,04. 펌매직,가르마펌,모바일,27,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,04. 펌매직,구름펌,PC,4,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,04. 펌매직,구름펌,모바일,11,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,04. 펌매직,굵은웨이브펌,모바일,8,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,04. 펌매직,굵은히피펌,모바일,18,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,04. 펌매직,그레이스펌,PC,3,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,04. 펌매직,그레이스펌,모바일,13,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,04. 펌매직,글램펌,PC,2,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,04. 펌매직,글램펌,모바일,6,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,04. 펌매직,긴머리C컬펌,모바일,7,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,04. 펌매직,긴머리S컬펌,모바일,2,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,04. 펌매직,긴머리볼륨매직,PC,5,0,0,0,1,0,0,0,0
"파워링크",🟠 파워링크 지역설정,04. 펌매직,긴머리볼륨매직,모바일,1,0,0,0,2,0,0,0,0
"파워링크",🟠 파워링크 지역설정,04. 펌매직,긴머리셋팅펌,모바일,6,0,0,0,1.3,0,0,0,0
"파워링크",🟠 파워링크 지역설정,04. 펌매직,긴머리웨이브,모바일,5,0,0,0,1,0,0,0,0
