"파워링크보고서(2025.06.01.~2025.06.30.),pinklake70:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",봄날 펜션MO,봄날펜션MO,-,모바일,975,33,232,"7,667",2.9,1.09,31.21,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,강아지수영장펜션,모바일,52,0,0,0,5.4,0,0,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,거제강아지동반펜션,모바일,26,4,259,"1,034",3.3,1,0,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,거제강아지펜션,모바일,112,10,262,"2,618",2.8,1,0,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,거제도가족펜션,모바일,9,0,0,0,34,0,0,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,거제도강아지펜션,모바일,149,15,243,"3,652",2.2,1,2.75,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,거제도수영장펜션,모바일,19,1,242,242,15.2,1,0,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,거제도숙소추천,모바일,2,1,330,330,16.5,0,0,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,거제도애견동반,모바일,249,1,275,275,2.8,1,0,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,거제도애견동반숙소,모바일,650,66,262,"17,303",3,1,1.08,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,거제도애견동반펜션,모바일,34,3,264,792,12.2,1,5.67,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,거제도애견펜션,모바일,77,7,251,"1,760",10.9,1,1.14,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,거제도팬션,모바일,28,2,308,616,30,1,0,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,거제도펜션,모바일,42,0,0,0,45.7,1,0,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,거제도펜션추천,모바일,10,0,0,0,28.5,0,0,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,거제바다뷰펜션,모바일,34,0,0,0,1.9,0,0,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,거제봄날,모바일,41,1,209,209,1.2,1,0,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,거제숙소추천,모바일,1,0,0,0,14,0,0,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,거제애견동반숙소,모바일,790,58,281,"16,313",3.5,1,2.44,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,거제애견동반펜션,모바일,43,3,253,759,13.6,1,0.58,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,거제애견펜션,모바일,54,3,242,726,10.7,1,0,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,거제오션뷰숙소,모바일,12,0,0,0,4.8,0,0,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,거제오션뷰펜션,모바일,1,0,0,0,18,0,0,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,거제팬션,모바일,7,2,319,638,24.7,1,0,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,거제펜션추천,모바일,7,1,330,330,28.7,1,0,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,경남애견동반펜션,모바일,51,4,330,"1,320",9.7,1,0,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,경남펜션,모바일,5,0,0,0,29.8,0,0,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,애견펜션수영장,모바일,12,1,286,286,6.6,1,0,0,0
"파워링크",봄날 펜션MO,봄날펜션MO,팬션,모바일,191,0,0,0,3,0,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,-,PC,311,5,295,"1,474",4.4,8,231.2,0,0
"파워링크",봄날펜션PC,봄날펜션PC,강아지수영장펜션,PC,144,3,286,858,7.5,2,24.5,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제강아지동반펜션,PC,13,0,0,0,2,0,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제강아지펜션,PC,27,0,0,0,2.5,0,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제도가족펜션,PC,1,0,0,0,32,1,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제도강아지펜션,PC,19,0,0,0,2,0,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제도수영장펜션,PC,44,0,0,0,9.3,0,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제도숙박,PC,2,0,0,0,27.5,0,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제도숙소추천,PC,4,0,0,0,9.5,0,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제도애견동반,PC,207,0,0,0,3.7,0,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제도애견동반숙소,PC,151,7,245,"1,716",3.2,1.5,11.5,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제도애견동반펜션,PC,35,2,325,649,9.5,1,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제도애견펜션,PC,51,1,308,308,9.5,0,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제도오션뷰펜션,PC,14,0,0,0,9.3,0,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제도팬션,PC,1,0,0,0,28,0,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제도펜션,PC,28,2,325,649,38.6,1,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제도펜션추천,PC,1,0,0,0,16,0,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제바다뷰펜션,PC,21,0,0,0,2.5,0,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제봄날,PC,6,0,0,0,1.2,0,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제숙소추천,PC,6,0,0,0,22.8,0,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제애견동반숙소,PC,139,8,220,"1,760",4.7,3.25,55.5,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제애견동반펜션,PC,48,0,0,0,9,0,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제애견펜션,PC,12,0,0,0,9,0,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제오션뷰숙소,PC,40,0,0,0,4.1,0,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제오션뷰펜션,PC,13,0,0,0,9.4,0,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제팬션,PC,2,0,0,0,19.5,0,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,거제펜션추천,PC,3,0,0,0,19,0,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,경남애견동반펜션,PC,186,5,319,"1,595",7.7,2,80.67,0,0
"파워링크",봄날펜션PC,봄날펜션PC,경남펜션,PC,8,0,0,0,19.3,0,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,애견펜션수영장,PC,83,1,319,319,8,1,0,0,0
"파워링크",봄날펜션PC,봄날펜션PC,팬션,PC,786,4,325,"1,298",8,1,0,0,0
"플레이스",거제봄날펜션,봄날펜션_광고그룹#1,-,PC,"3,135",148,266,"39,303",2.9,0,0,0,0
"플레이스",거제봄날펜션,봄날펜션_광고그룹#1,-,모바일,"14,313",181,249,"45,155",4.8,0,0,0,0
