"파워링크보고서(2025.06.01.~2025.06.30.),pmc_ceo2016:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,-,PC,742,2,149,297,2.1,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,-,모바일,"18,687",41,184,"7,557",1.6,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,가정동맛집,PC,16,0,0,0,10.5,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,가정동맛집,모바일,15,1,77,77,27.5,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,가정맛집,PC,13,0,0,0,2.5,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,가정맛집,모바일,218,0,0,0,2.4,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,검단고기집,PC,1,0,0,0,5,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,검단고기집,모바일,3,0,0,0,6,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,검단맛집,PC,18,0,0,0,11.2,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,검단맛집,모바일,61,1,77,77,25.4,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,검단사거리맛집,PC,26,0,0,0,9.1,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,검단사거리맛집,모바일,89,0,0,0,13,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,검단삼계탕,PC,2,0,0,0,2,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,검단삼계탕,모바일,7,0,0,0,2,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,검단소고기맛집,PC,1,0,0,0,3,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,검단소고기맛집,모바일,14,0,0,0,2.1,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,검단한우맛집,모바일,2,0,0,0,2,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,검암동맛집,PC,106,0,0,0,8,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,검암동맛집,모바일,10,0,0,0,6.8,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,계양구맛집,PC,15,0,0,0,13.9,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,계양구맛집,모바일,102,0,0,0,26.2,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,계양구청맛집,PC,145,0,0,0,7.6,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,계양구청맛집,모바일,128,0,0,0,13,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,계양맛집,PC,9,0,0,0,10.4,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,계양맛집,모바일,20,1,77,77,20.7,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,고촌맛집,PC,12,0,0,0,11.7,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,고촌맛집,모바일,92,1,77,77,15.1,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,곱창쌀국수,PC,235,0,0,0,2.4,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,곱창쌀국수,모바일,"1,643",1,66,66,2.4,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,구래동맛집,PC,69,0,0,0,10,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,구래동맛집,모바일,161,6,77,462,19.7,0,0,0,0
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,구래역맛집,PC,58,1,77,77,9.1,0,0,0,0
