"파워링크보고서(2025.06.01.~2025.06.30.),soojunghou:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",☘︎ 스카이공인(메인),토지,-,PC,10,0,0,0,2.6,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,-,모바일,59,0,0,0,1.6,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,공장토지,모바일,1,0,0,0,3,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,급매토지,PC,3,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,급매토지,모바일,13,1,220,220,1.7,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,대지가격,PC,1,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,대지가격,모바일,2,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,대지매매,PC,14,0,0,0,1.4,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,대지매매,모바일,56,1,374,374,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,대형토지매매,모바일,2,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅가격,PC,6,0,0,0,1.2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅가격,모바일,12,0,0,0,1.4,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅값,PC,14,0,0,0,1.1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅값,모바일,76,0,0,0,1.3,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅값시세,모바일,25,0,0,0,1.3,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅값조회,PC,28,0,0,0,1.2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅값조회,모바일,136,2,55,110,1.4,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅거래,PC,6,0,0,0,2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅거래,모바일,15,0,0,0,2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅거래사이트,모바일,4,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅구매,PC,1,0,0,0,2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅구매,모바일,12,0,0,0,2.8,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅구입,PC,1,0,0,0,2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅구입,모바일,11,0,0,0,2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅급매,PC,1,0,0,0,2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅급매,모바일,3,0,0,0,2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅매도,모바일,13,1,242,242,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅매매,PC,30,2,600,"1,199",2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅매매,모바일,109,4,569,"2,277",2.8,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅매매사이트,PC,3,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅매매사이트,모바일,13,2,605,"1,210",1.2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅매물,PC,8,0,0,0,2.4,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅매물,모바일,6,1,572,572,1.8,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅매수,PC,1,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅매수,모바일,2,0,0,0,2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅매입,PC,16,0,0,0,1.4,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅매입,모바일,13,0,0,0,1.7,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅분양,모바일,1,0,0,0,3,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅시세,PC,6,0,0,0,1.7,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅시세,모바일,49,1,594,594,1.2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅전문,모바일,4,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅전문부동산,모바일,4,0,0,0,1.5,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅투자,PC,4,0,0,0,3.3,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅투자,모바일,3,0,0,0,2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅판매,PC,1,0,0,0,2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,땅판매,모바일,3,1,572,572,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,부동산토지,PC,11,0,0,0,1.4,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,부동산토지,모바일,62,2,517,"1,034",1.2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,부동산토지매매,모바일,3,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,사업용토지,PC,15,0,0,0,1.1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,사업용토지,모바일,215,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,소규모토지매매,PC,2,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,소규모토지매매,모바일,7,0,0,0,1.4,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,소액땅투자,모바일,10,1,550,550,1.5,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,소액토지,모바일,16,0,0,0,1.1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,소액토지매매,PC,1,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,소액토지매매,모바일,7,0,0,0,1.6,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,소형땅,PC,5,0,0,0,1.8,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,소형땅,모바일,6,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,소형땅매매,PC,1,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,소형토지,PC,18,0,0,0,1.2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,소형토지,모바일,42,2,495,990,1.1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,소형토지매매,PC,6,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,소형토지매매,모바일,45,0,0,0,1.2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,시골토지매매,PC,2,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,시골토지매매,모바일,10,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,싼토지,PC,3,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,싼토지,모바일,20,0,0,0,1.2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,자투리땅,PC,3,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,자투리땅,모바일,39,0,0,0,1.4,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,작은땅,모바일,1,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,작은땅매매,PC,1,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,작은땅매매,모바일,4,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,작은토지,모바일,4,0,0,0,1.5,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,작은토지매매,PC,1,0,0,0,4,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,작은토지매매,모바일,6,0,0,0,2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,저렴한땅,PC,1,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,저렴한땅,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,저렴한토지,모바일,2,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,저수지토지,PC,1,1,550,550,2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,저수지토지,모바일,3,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,전원주택땅,PC,2,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,주말농장토지,모바일,14,0,0,0,1.2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,지방땅,모바일,3,0,0,0,1.3,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,지분토지매매,모바일,6,2,589,"1,177",3,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,창고토지,PC,2,0,0,0,3,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지가격,PC,11,0,0,0,1.6,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지가격,모바일,37,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지개발,PC,2,0,0,0,8,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지개발컨설팅,PC,5,0,0,0,1.6,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지개발컨설팅,모바일,1,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지거래,PC,224,1,572,572,1.6,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지거래,모바일,330,1,627,627,1.3,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지거래사이트,PC,3,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지구매,PC,6,0,0,0,2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지구매,모바일,22,1,506,506,2.6,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지구입,모바일,4,0,0,0,2.5,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지급매,PC,3,0,0,0,2.3,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지급매,모바일,21,0,0,0,2.6,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지매도,PC,3,0,0,0,3,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지매도,모바일,16,0,0,0,1.8,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지매매,PC,201,1,572,572,5.7,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지매매,모바일,165,0,0,0,7.2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지매매부동산,PC,1,0,0,0,2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지매매부동산,모바일,1,0,0,0,3,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지매매사이트,PC,11,2,473,946,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지매매사이트,모바일,12,4,473,"1,892",1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지매물,PC,16,0,0,0,2.6,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지매물,모바일,38,1,660,660,2.6,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지매물사이트,PC,1,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지매수,PC,2,0,0,0,6,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지매수,모바일,9,0,0,0,1.9,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지매입,PC,19,0,0,0,2.1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지매입,모바일,28,0,0,0,2.1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지분석,PC,3,0,0,0,2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지분석,모바일,1,0,0,0,2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지분양,PC,3,0,0,0,4.3,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지분양,모바일,1,0,0,0,4,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지사이트,PC,1,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지사이트,모바일,2,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지시세,PC,11,0,0,0,4.2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지시세,모바일,30,1,583,583,2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지용도변경,PC,12,0,0,0,2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지용도변경,모바일,32,1,572,572,2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지임야매매,PC,1,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지임야매매,모바일,2,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지전문가,PC,4,0,0,0,1.3,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지전문가,모바일,8,0,0,0,1.4,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지전문부동산,PC,2,0,0,0,4,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지전문부동산,모바일,4,0,0,0,2.8,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지정보,PC,7,0,0,0,1.4,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지정보,모바일,27,0,0,0,1.2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지중개,PC,4,0,0,0,3.8,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지중개,모바일,2,0,0,0,3,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지중개법인,모바일,1,1,605,605,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지컨설팅,PC,3,0,0,0,2.7,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지투자,PC,58,0,0,0,2.4,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),토지,토지투자,모바일,38,0,0,0,2.2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),"공장,창고",가구공장매매,PC,1,0,0,0,8,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),"공장,창고",공장건물,PC,2,0,0,0,4,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),"공장,창고",공장매매대출,PC,3,0,0,0,3.7,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),"공장,창고",공장매매대출,모바일,7,0,0,0,1.9,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),"공장,창고",공장매매사이트,모바일,1,0,0,0,1,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),"공장,창고",공장매매전문,모바일,2,0,0,0,2,0,0,0,0
"파워링크",☘︎ 스카이공인(메인),"공장,창고",공장매물,PC,3,1,616,616,5.3,0,0,0,0
