"파워링크보고서(2025.06.01.~2025.06.30.),thesicdang:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",새파워링크#1다양맛집,남산맛집 관련500,-,PC,261,0,0,0,1,0,0,0,0
"파워링크",새파워링크#1다양맛집,남산맛집 관련500,-,모바일,"1,617",4,110,440,1,0,0,0,0
"파워링크",새파워링크#1다양맛집,남산맛집 관련500,남산맛집,PC,"1,896",32,390,"12,485",1.2,0,0,0,0
"파워링크",새파워링크#1다양맛집,남산맛집 관련500,남산맛집,모바일,"8,605",167,553,"92,356",1.7,0,0,0,0
"파워링크",새파워링크#1다양맛집,남산맛집 관련500,남산주변맛집,PC,22,0,0,0,1.1,0,0,0,0
"파워링크",새파워링크#1다양맛집,남산맛집 관련500,남산주변맛집,모바일,172,4,314,"1,254",1.2,0,0,0,0
"파워링크",새파워링크#1다양맛집,남산맛집 관련500,남산타워맛집,PC,722,1,77,77,1.4,0,0,0,0
"파워링크",새파워링크#1다양맛집,남산맛집 관련500,남산타워맛집,모바일,"4,361",42,175,"7,348",1.3,0,0,0,0
"파워링크",새파워링크#1다양맛집,남산맛집 관련500,서울남산맛집,PC,107,1,77,77,1.3,0,0,0,0
"파워링크",새파워링크#1다양맛집,남산맛집 관련500,서울남산맛집,모바일,994,11,235,"2,585",1.6,0,0,0,0
"파워링크",새파워링크#1다양맛집,남산맛집 관련500,서울맛집TOP100,PC,4,0,0,0,4.3,0,0,0,0
"파워링크",새파워링크#1다양맛집,남산맛집 관련500,서울맛집TOP100,모바일,791,4,347,"1,386",1.6,0,0,0,0
"파워링크",새파워링크#1다양맛집,남대문맛집관련 400,-,PC,62,1,517,517,1.3,0,0,0,0
"파워링크",새파워링크#1다양맛집,남대문맛집관련 400,-,모바일,312,6,330,"1,980",1.3,0,0,0,0
