"플레이스보고서(2025.06.01.~2025.06.30.),1zari2204:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,근처인력,2,0,0,0,3
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,노가다인력,2,0,0,0,3
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,명장인력사무소,1,0,0,0,4
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,보조인력,1,0,0,0,2
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,상하차,14,0,0,0,3.6
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,아파트준공청소,1,0,0,0,1
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,야간노가다,1,0,0,0,1
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,여성인력,7,0,0,0,2.6
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,여성인력사무소,1,0,0,0,3
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,예초작업,10,0,0,0,3.2
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,온라인인력사무소,1,0,0,0,1
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,용역사무실,8,1,517,517,1.5
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,용접사일당,3,0,0,0,3
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,이삿짐인력,2,0,0,0,3
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,인력,144,2,"2,937","5,874",2.5
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,인력사무소,348,18,"2,537","45,672",1.8
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,인력사무실,13,0,0,0,2.7
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,인력센터,2,0,0,0,2
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,인력소,22,0,0,0,1.9
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,인력수급,1,0,0,0,2
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,인력알선,1,0,0,0,3
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,인력회사,3,0,0,0,2.3
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,장유인력,5,0,0,0,3.4
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,직업소개소,27,0,0,0,2.3
"파워링크",🔵 명장인력(지역설정),1. 메인 K_M,모바일,철거인력,1,1,"1,133","1,133",3
"파워링크",🔵 명장인력(지역설정),2. 서브 K_M,모바일,건설알바,2,0,0,0,2.5
"파워링크",🔵 명장인력(지역설정),2. 서브 K_M,모바일,건설인력구인,5,1,935,935,2
"파워링크",🔵 명장인력(지역설정),2. 서브 K_M,모바일,건설인부구하는법,1,0,0,0,2
"파워링크",🔵 명장인력(지역설정),2. 서브 K_M,모바일,건설일용직,1,1,"1,078","1,078",9
"파워링크",🔵 명장인력(지역설정),2. 서브 K_M,모바일,건설현장알바,4,1,770,770,1.8
"파워링크",🔵 명장인력(지역설정),2. 서브 K_M,모바일,건설현장일당,2,1,770,770,1
"파워링크",🔵 명장인력(지역설정),2. 서브 K_M,모바일,곰방구인,1,0,0,0,2
"파워링크",🔵 명장인력(지역설정),2. 서브 K_M,모바일,구인,8,0,0,0,1.1
"파워링크",🔵 명장인력(지역설정),2. 서브 K_M,모바일,구인구직,16,0,0,0,1.1
"파워링크",🔵 명장인력(지역설정),2. 서브 K_M,모바일,구인해,2,0,0,0,2
