"플레이스보고서(2025.06.01.~2025.06.30.),almodels_info:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,10대뷰티모델에이전시,1,0,0,0,2
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,10대뷰티모델전문에이전시,1,0,0,0,1
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,ALMODEL,43,14,64,891,2.1
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,ALMODELS,22,10,73,726,1.5
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,AL동영상,1,0,0,0,1
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,AL모델,118,0,0,0,1.4
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,CF모델,17,0,0,0,1.6
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,ELLEINSTAGRAM,1,0,0,0,1
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,F6비자인사람도모델에이전시에소속,1,0,0,0,3
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,FACAI모델에이전시,2,0,0,0,1
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,FASHIONMODEL,1,0,0,0,1
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,MODELAGENCY,3,0,0,0,2.3
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,MODELS.COM,2,0,0,0,1
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,MODEL에이전시,1,0,0,0,3
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,NOUS모델에이전시,1,0,0,0,1
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,YG모델에이전시,1,0,0,0,2
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,강아지모델에이전시,1,0,0,0,5
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,게임광고모델,2,0,0,0,3.5
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,골프모델,7,0,0,0,3.3
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,광고모델,433,2,"8,960","17,919",1.7
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,광고모델단가,1,0,0,0,3
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,광고모델로,1,0,0,0,1
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,광고모델료,15,0,0,0,3.5
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,광고모델비용,5,0,0,0,3
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,광고모델섭외,6,0,0,0,1.5
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,광고모델에이전시,114,1,"7,249","7,249",1.9
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,광고모델촬영,2,0,0,0,1.5
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,국내뷰티모델에이전시,1,0,0,0,9
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,국내의류모델에이전시,1,1,429,429,3
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,귀걸이모델,1,0,0,0,2
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,기업모델,1,0,0,0,2
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,남성모델,13,0,0,0,4.2
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,남성속옷모델,2,0,0,0,3
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,남자\모델,1,0,0,0,2
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,남자광고모델,1,0,0,0,3
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,남자라면모델,1,0,0,0,2
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,남자모델,249,3,"2,413","7,238",3.2
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,남자속옷모델,5,0,0,0,2.2
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,남자쇼핑몰모델,2,0,0,0,2.5
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,남자패션모델,12,0,0,0,3.6
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,남자피팅모델,571,0,0,0,1.3
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,드레스모델,2,0,0,0,4.5
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,런웨이모델,4,0,0,0,1
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,레로시작하는모델에이전시,1,0,0,0,2
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,레이싱모델,"1,300",1,308,308,2
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,메이크업모델,43,0,0,0,3.6
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델,"6,660",16,964,"15,422",2.5
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델구하기,5,0,0,0,3.6
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델구하는사이트,4,0,0,0,1.5
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델기획사,9,0,0,0,3.9
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델드레스,1,0,0,0,2
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델료,17,0,0,0,3.9
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델매니지먼트,24,1,"3,124","3,124",1.8
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델비용,26,0,0,0,1.6
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델사이트,24,0,0,0,4
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델사진,67,0,0,0,2.4
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델사진촬영,2,0,0,0,2.5
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델섭외,92,1,"12,661","12,661",3.6
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델섭외가격,1,0,0,0,3
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델섭외비용,2,0,0,0,2
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델섭외사이트,16,0,0,0,3.4
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델소속사,21,0,0,0,3.5
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델쇼,2,0,0,0,1
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델에이전시,"1,144",88,"6,545","575,971",3.2
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델에이전시소속,1,1,253,253,2
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델에이전시전속,1,0,0,0,1
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델에이전트,4,1,748,748,2.8
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델엔터테인먼트,3,0,0,0,3
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델워킹,20,0,0,0,3.7
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델유튜브,1,0,0,0,3
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델찾기,4,1,143,143,4.3
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델픽에이전시,1,0,0,0,2
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,모델회사,8,0,0,0,2
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,믿을만한모델에이전시,1,0,0,0,3
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,반려견모델에이전시,1,0,0,0,2
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,병원모델,1,0,0,0,1
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,뷰티모델,135,1,"4,719","4,719",3.3
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,뷰티모델섭외,3,0,0,0,4.3
"파워링크",AL MODELS(pc)_주요시간,기본kw_수도권+광역시,PC,뷰티모델에이전시,32,2,"1,507","3,014",5.4
