"플레이스보고서(2025.06.01.~2025.06.30.),am1209:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",문경흙집펜션,파워링크#1_광고그룹#1,PC,1달살이,1,0,0,0,4
"파워링크",문경흙집펜션,파워링크#1_광고그룹#1,PC,1달텐트,1,0,0,0,2
"파워링크",문경흙집펜션,파워링크#1_광고그룹#1,PC,4평황토방가격,1,0,0,0,3
"파워링크",문경흙집펜션,파워링크#1_광고그룹#1,PC,6명촌캉스숙소황토,1,0,0,0,1
"파워링크",문경흙집펜션,파워링크#1_광고그룹#1,PC,7월30일펜션,1,0,0,0,3
"파워링크",문경흙집펜션,파워링크#1_광고그룹#1,PC,8월30일펜션,1,0,0,0,2
"파워링크",문경흙집펜션,파워링크#1_광고그룹#1,PC,8월한달살기국내,1,0,0,0,3
"파워링크",문경흙집펜션,파워링크#1_광고그룹#1,PC,8월한달살기추천,1,0,0,0,1
"파워링크",문경흙집펜션,파워링크#1_광고그룹#1,PC,CAMPING,33,0,0,0,8.8
"파워링크",문경흙집펜션,파워링크#1_광고그룹#1,PC,경북문경시문경읍여우목로1611,2,0,0,0,1
"파워링크",문경흙집펜션,파워링크#1_광고그룹#1,PC,계곡한달살기,1,1,132,132,2
"파워링크",문경흙집펜션,파워링크#1_광고그룹#1,PC,국내1달살기,2,0,0,0,9
"파워링크",문경흙집펜션,파워링크#1_광고그룹#1,PC,국내시골민박,1,0,0,0,3
"파워링크",문경흙집펜션,파워링크#1_광고그룹#1,PC,국내시골여행,1,0,0,0,3
"파워링크",문경흙집펜션,파워링크#1_광고그룹#1,PC,국내여행,5,0,0,0,49.6
"파워링크",문경흙집펜션,파워링크#1_광고그룹#1,PC,국내여행지추천,1,0,0,0,30
"파워링크",문경흙집펜션,파워링크#1_광고그룹#1,PC,국내한달살기,9,0,0,0,10.6
"파워링크",문경흙집펜션,파워링크#1_광고그룹#1,PC,국내한달살기비용,2,1,121,121,6
"파워링크",문경흙집펜션,파워링크#1_광고그룹#1,PC,국내한달살기지역,4,0,0,0,2.3
"파워링크",문경흙집펜션,파워링크#1_광고그룹#1,PC,국내한달살기체험,1,0,0,0,3
"파워링크",문경흙집펜션,파워링크#1_광고그룹#1,PC,글램핑,309,0,0,0,10.2
"파워링크",문경흙집펜션,파워링크#1_광고그룹#1,PC,글램핑1달,1,0,0,0,3
