"플레이스보고서(2025.06.01.~2025.06.30.),chchul2002:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,강남윈터스쿨,7,0,0,0,3
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,겨울방학윈터스쿨,13,0,0,0,2.4
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,고1대치써버스쿨,1,0,0,0,2
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,고1윈터스쿨,24,0,0,0,3.3
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,고2겨울방학,2,0,0,0,7
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,고2윈터스쿨,24,0,0,0,4.3
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,고3겨울방학,8,0,0,0,4.9
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,고3윈터스쿨,6,0,0,0,2.8
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,고덕수학소수정예,2,0,0,0,3
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,기숙윈터스쿨,40,1,110,110,4.6
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,대치동공부공간,1,0,0,0,2
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,대치동윈터스쿨,30,0,0,0,4.2
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,대치동윈터스쿨비용,2,0,0,0,4
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,대치동윈터스쿨추천,2,0,0,0,1
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,대치동중3수학예비고1,1,0,0,0,3
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,대치새움학원,1,0,0,0,1
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,대치윈터스쿨,17,0,0,0,2.1
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,대치한자학원,2,0,0,0,1
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,목동윈터스쿨,29,0,0,0,4.1
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,분당윈터스쿨,7,0,0,0,2.3
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,서울윈터스쿨,6,0,0,0,5
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,수업중입니다.,1,0,0,0,2
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,예비고1윈터스쿨,33,0,0,0,7.5
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,예비고2겨울방학,4,0,0,0,3
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,예비고2윈터스쿨,2,0,0,0,2
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,예비고3겨울방학,2,0,0,0,3
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,예비고3윈터스쿨,36,0,0,0,4.7
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,오답클리닉,1,0,0,0,1
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,윈터스쿨,5,0,0,0,19.6
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,윈터스쿨가격,89,1,99,99,4.2
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,윈터스쿨기숙,17,1,77,77,5
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,윈터스쿨기숙사,1,0,0,0,8
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,윈터스쿨기숙학원,14,1,99,99,3.8
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,윈터스쿨추천,7,0,0,0,6.4
"파워링크",청출어람2019_PC,01. 윈터스쿨,PC,중3윈터스쿨,41,1,55,55,4.3
"파워링크",청출어람2019_PC,02. 청출어람,PC,28년재수,1,0,0,0,1
"파워링크",청출어람2019_PC,02. 청출어람,PC,3수재수학원,1,0,0,0,2
"파워링크",청출어람2019_PC,02. 청출어람,PC,강남기숙재수학원,4,0,0,0,5.5
"파워링크",청출어람2019_PC,02. 청출어람,PC,강남기숙학원,54,2,"1,694","3,388",5.5
"파워링크",청출어람2019_PC,02. 청출어람,PC,강남대치동학원,1,0,0,0,3
"파워링크",청출어람2019_PC,02. 청출어람,PC,강남반수,1,0,0,0,10
"파워링크",청출어람2019_PC,02. 청출어람,PC,강남반수반,2,0,0,0,8
"파워링크",청출어람2019_PC,02. 청출어람,PC,강남반수학원,1,0,0,0,8
"파워링크",청출어람2019_PC,02. 청출어람,PC,강남입시학원,1,0,0,0,15
"파워링크",청출어람2019_PC,02. 청출어람,PC,강남재수,2,0,0,0,11.5
"파워링크",청출어람2019_PC,02. 청출어람,PC,강남재수기숙학원,3,1,88,88,7.7
"파워링크",청출어람2019_PC,02. 청출어람,PC,강남재수선행반,2,0,0,0,5.5
