"플레이스보고서(2025.06.01.~2025.06.30.),cmengineering:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",[RD]서울 MO,메인 KW,모바일,A/S장비,1,0,0,0,2
"파워링크",[RD]서울 MO,메인 KW,모바일,강남구커피머신설치,1,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,강남구커피머신수리,1,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,강남커피머신,3,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,강남커피머신AS,1,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,강남커피머신기수리,1,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,강남커피머신설치,5,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,강남커피머신수리,7,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,강동구커피머신설치,1,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,강동구커피머신수리,1,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,강동커피머신,1,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,강동커피머신수리,2,1,"4,279","4,279",1
"파워링크",[RD]서울 MO,메인 KW,모바일,강북구커피머신수리,1,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,강북커피머신설치,3,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,강북커피머신수리,1,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,강서구커피머신,1,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,강서구커피머신AS,1,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,강서구커피머신설치,1,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,강서구커피머신수리,1,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,강서커피머신수리,1,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,관악구커피머신설치,1,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,관악제빙기설치,13,0,0,0,2
"파워링크",[RD]서울 MO,메인 KW,모바일,광진구커피머신,1,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,광진구커피머신수리,2,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,구로구커피머신설치,3,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,구로동제빙기설치,1,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,구로커피머신,1,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,그라인더A/S,1,0,0,0,4
"파워링크",[RD]서울 MO,메인 KW,모바일,금천구커피머신수리,2,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,노원구커피머신수리,1,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,노원커피머신AS,1,0,0,0,1
"파워링크",[RD]서울 MO,메인 KW,모바일,노원커피머신수리,3,0,0,0,1
