"플레이스보고서(2025.06.01.~2025.06.30.),cyprus1365:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",[메인]키워드,변기,모바일,변기부속품,4,0,0,0,4.3
"파워링크",[메인]키워드,하수구,모바일,맨홀,36,0,0,0,2
"파워링크",[메인]키워드,하수구,모바일,배수,12,0,0,0,1.6
"파워링크",[메인]키워드,하수구,모바일,배수관,1,0,0,0,5
"파워링크",[메인]키워드,하수구,모바일,배수관막힘비용,6,0,0,0,1.5
"파워링크",[메인]키워드,하수구,모바일,배수구,2,0,0,0,3.5
"파워링크",[메인]키워드,하수구,모바일,변기세면대,2,0,0,0,3
"파워링크",[메인]키워드,하수구,모바일,상가하수구,3,0,0,0,1
"파워링크",[메인]키워드,하수구,모바일,세면대,45,0,0,0,1.2
"파워링크",[메인]키워드,하수구,모바일,세면대냄새,2,0,0,0,4
"파워링크",[메인]키워드,하수구,모바일,세면대물이안내려가요,1,0,0,0,1
"파워링크",[메인]키워드,하수구,모바일,세면대배관청소,1,0,0,0,4
"파워링크",[메인]키워드,하수구,모바일,세면대배관클리너,1,0,0,0,3
"파워링크",[메인]키워드,하수구,모바일,세탁기배수구,1,0,0,0,4
"파워링크",[메인]키워드,하수구,모바일,싱크대배관막힘견적비교,1,0,0,0,2
"파워링크",[메인]키워드,하수구,모바일,역류,10,0,0,0,1.7
"파워링크",[메인]키워드,하수구,모바일,오수관역류,1,0,0,0,2
"파워링크",[메인]키워드,하수구,모바일,오수맨홀,2,0,0,0,3
"파워링크",[메인]키워드,하수구,모바일,우수관,1,0,0,0,2
"파워링크",[메인]키워드,하수구,모바일,정화조업체,2,0,0,0,4
"파워링크",[메인]키워드,하수구,모바일,정화조청소,9,0,0,0,1
"파워링크",[메인]키워드,하수구,모바일,정화조청소업체,2,0,0,0,1
"파워링크",[메인]키워드,하수구,모바일,집수정,8,0,0,0,3.5
