"플레이스보고서(2025.06.01.~2025.06.30.),danpopo2005:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",장가 파워링크,장가 파워링크,PC,1.카이센동,1,0,0,0,2
"파워링크",장가 파워링크,장가 파워링크,PC,가성비라멘집,1,0,0,0,1
"파워링크",장가 파워링크,장가 파워링크,PC,가성비분위기좋은맛집조용한,1,0,0,0,3
"파워링크",장가 파워링크,장가 파워링크,PC,가성비일식코스,1,0,0,0,3
"파워링크",장가 파워링크,장가 파워링크,PC,가성비좋은식당,1,0,0,0,1
"파워링크",장가 파워링크,장가 파워링크,PC,가성비좋은일식코스,1,0,0,0,1
"파워링크",장가 파워링크,장가 파워링크,PC,가족나들이,14,0,0,0,14.8
"파워링크",장가 파워링크,장가 파워링크,PC,가족식사,1,0,0,0,30
"파워링크",장가 파워링크,장가 파워링크,PC,가족외식,1,0,0,0,24
"파워링크",장가 파워링크,장가 파워링크,PC,가족외식추천,8,0,0,0,6.1
"파워링크",장가 파워링크,장가 파워링크,PC,가족회식,1,0,0,0,7
"파워링크",장가 파워링크,장가 파워링크,PC,결혼기념일갈만한곳,4,0,0,0,3.5
"파워링크",장가 파워링크,장가 파워링크,PC,결혼기념일레스토랑,5,0,0,0,6
"파워링크",장가 파워링크,장가 파워링크,PC,결혼기념일맛집,7,0,0,0,1.7
"파워링크",장가 파워링크,장가 파워링크,PC,결혼기념일식당,68,0,0,0,7.1
"파워링크",장가 파워링크,장가 파워링크,PC,결혼기념일식사,2,0,0,0,18.5
"파워링크",장가 파워링크,장가 파워링크,PC,구루메가맛있다고한라멘집,1,0,0,0,2
"파워링크",장가 파워링크,장가 파워링크,PC,구루메라멘,1,0,0,0,2
"파워링크",장가 파워링크,장가 파워링크,PC,구루메맛집,3,0,0,0,1
"파워링크",장가 파워링크,장가 파워링크,PC,구월동분위기좋은식당,2,0,0,0,6.5
"파워링크",장가 파워링크,장가 파워링크,PC,구월동일본라면,1,0,0,0,1
"파워링크",장가 파워링크,장가 파워링크,PC,국내돈코츠라멘맛집,1,0,0,0,2
"파워링크",장가 파워링크,장가 파워링크,PC,근교일본가정식맛집,1,0,0,0,1
"파워링크",장가 파워링크,장가 파워링크,PC,근처라멘,4,0,0,0,2
"파워링크",장가 파워링크,장가 파워링크,PC,근처라멘맛집,6,0,0,0,2.3
"파워링크",장가 파워링크,장가 파워링크,PC,근처라멘집,1,0,0,0,3
"파워링크",장가 파워링크,장가 파워링크,PC,근처맛집,4,0,0,0,26
