"플레이스보고서(2025.06.01.~2025.06.30.),ezcall97:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",01_릴리왁싱,01_파워링크_mob,모바일,겨드랑이왁싱샵옥정,1,0,0,0,1
"파워링크",01_릴리왁싱,01_파워링크_mob,모바일,겨드랑이제모옥정,1,0,0,0,2
"파워링크",01_릴리왁싱,01_파워링크_mob,모바일,경기도양주제모,1,0,0,0,2
"파워링크",01_릴리왁싱,01_파워링크_mob,모바일,경기양주수염제모,1,0,0,0,1
"파워링크",01_릴리왁싱,01_파워링크_mob,모바일,남자브라질리언왁싱양주,1,0,0,0,1
"파워링크",01_릴리왁싱,01_파워링크_mob,모바일,남자왁싱샵양주,1,0,0,0,1
"파워링크",01_릴리왁싱,01_파워링크_mob,모바일,남자왁싱양주,1,0,0,0,1
"파워링크",01_릴리왁싱,01_파워링크_mob,모바일,남자제모양주,2,0,0,0,1
"파워링크",01_릴리왁싱,01_파워링크_mob,모바일,노블제모,1,0,0,0,2
"파워링크",01_릴리왁싱,01_파워링크_mob,모바일,덕계동왁싱,10,0,0,0,2.8
"파워링크",01_릴리왁싱,01_파워링크_mob,모바일,덕계왁싱,94,0,0,0,2.7
"파워링크",01_릴리왁싱,01_파워링크_mob,모바일,덕계왁싱양주,1,0,0,0,1
"파워링크",01_릴리왁싱,01_파워링크_mob,모바일,덕계제모,10,0,0,0,2.3
"파워링크",01_릴리왁싱,01_파워링크_mob,모바일,덕정왁싱,34,0,0,0,2.4
"파워링크",01_릴리왁싱,01_파워링크_mob,모바일,덕정제모,3,0,0,0,2.7
"파워링크",01_릴리왁싱,01_파워링크_mob,모바일,동두천왁싱,213,1,77,77,2.7
"파워링크",01_릴리왁싱,01_파워링크_mob,모바일,동두천제모,10,0,0,0,3.7
"파워링크",01_릴리왁싱,01_파워링크_mob,모바일,릴리왁싱,386,0,0,0,1.3
"파워링크",01_릴리왁싱,01_파워링크_mob,모바일,릴리왁싱샵,6,2,77,154,1
