"플레이스보고서(2025.06.01.~2025.06.30.),flytothemoong:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,24시애견호텔,38,0,0,0,2.9
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,강아지까페,2,0,0,0,1.5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,강아지놀이,10,0,0,0,4.7
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,강아지놀이방,11,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,강아지돌봄,1,0,0,0,10
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,강아지맡기는곳,7,0,0,0,16
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,강아지미용,3,0,0,0,42.3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,강아지배변훈련,3,0,0,0,7
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,강아지산책아르바이트,5,0,0,0,5.4
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,강아지산책알바,144,0,0,0,5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,강아지용품,6,0,0,0,53.7
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,강아지용품점,88,0,0,0,7.4
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,강아지운동장,45,0,0,0,8.8
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,강아지유치원비용,238,1,165,165,6.7
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,강아지장난감,32,0,0,0,24.3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,강아지카페,842,0,0,0,7.4
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,강아지호텔가격,40,0,0,0,6.4
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,강아지호텔링,47,0,0,0,6.4
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,강아지호텔비용,18,0,0,0,7.9
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,강아지훈련,1,0,0,0,33
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,강아지훈련사,1,0,0,0,20
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,개미용,9,0,0,0,2.9
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,개유치원,50,0,0,0,6.4
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,개호텔,21,0,0,0,5.5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,김포강아지,1,0,0,0,9
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,김포강아지미용,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,김포강아지유치원,13,0,0,0,9.5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,김포강아지호텔,1,0,0,0,7
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,김포놀이방,2,0,0,0,1.5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,김포미용,3,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,김포애견,2,0,0,0,10
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,김포애견미용,17,0,0,0,9.6
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,김포애견유치원,41,0,0,0,8.8
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,김포애견호텔,21,0,0,0,8.4
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,김포애완견,2,0,0,0,6
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,김포유치원,53,0,0,0,2.5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,김포호텔,75,0,0,0,9.7
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,놀이방,29,0,0,0,8.3
