"플레이스보고서(2025.06.01.~2025.06.30.),gdrku1:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,모바일,GDR골프연습장가좌점레슨비용,1,1,77,77,1
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,모바일,가좌홈플러스PT비용,1,0,0,0,1
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,모바일,골프강습,3,0,0,0,2
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,모바일,골프강습비용,2,0,0,0,1
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,모바일,골프레슨,213,2,"3,119","6,237",1.7
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,모바일,골프레슨가격,1,0,0,0,2
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,모바일,골프레슨비,2,0,0,0,1.5
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,모바일,골프레슨비용,20,2,"2,162","4,323",1.1
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,모바일,골프레슨프로,1,0,0,0,1
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,모바일,골프배우기,5,0,0,0,1
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,모바일,골프스윙연습,1,0,0,0,2
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,모바일,골프아카데미,57,1,"3,531","3,531",3
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,모바일,골프아카데미가격,1,0,0,0,1
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,모바일,골프연습,21,0,0,0,2.7
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,모바일,골프원포인트레슨,1,0,0,0,4
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,모바일,골프초보레슨,1,0,0,0,3
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,모바일,골프초보자레슨,1,0,0,0,1
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,모바일,골프트레이닝,5,0,0,0,1
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,모바일,골프퍼터연습,2,0,0,0,4
"파워링크",[루다] 파워링크_MO,00. 레슨키워드,모바일,골프퍼팅레슨,1,0,0,0,2
