"플레이스보고서(2025.06.01.~2025.06.30.),ghkswnsluk7:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,19인치스노우타이어렌탈,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,19인치타이어교체비용,4,0,0,0,5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,19인치타이어하나교체비용,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,2155517,9,0,0,0,11.6
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,2255517,34,0,0,0,9.6
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,2355519,11,0,0,0,21.2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,2356018,5,0,0,0,12
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,2454518,9,0,0,0,9.3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,2454520타이어,2,0,0,0,10
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,CONTINENTAL타이어,14,0,0,0,7.1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,G80타이어20인치,4,0,0,0,6.5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,G80타이어교체가격,1,0,0,0,10
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,G80타이어타이어뱅크,1,1,66,66,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,GOODYEARTIRE,1,0,0,0,9
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,GOODYEAR타이어,4,0,0,0,7.5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,MICHELIN,39,0,0,0,1.7
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,MICHELINTIRE,1,0,0,0,5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,MICHELINTOURAS,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,MICHELIN타이어,2,0,0,0,3.5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,MXM4,50,0,0,0,7.3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,MXM4교체비용,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,PIRELLI,58,0,0,0,6.7
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,PIRELLI타이어,11,0,0,0,3.4
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,PRIMACY,86,0,0,0,7
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,TIREBANK,5,0,0,0,5.2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,TSTATION타이어가격,6,0,0,0,6.7
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,VENTUSS2AS,42,0,0,0,7.1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,가능동,28,0,0,0,1.1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,굿이어타이어,365,0,0,0,8.2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,근처타이어뱅크,5,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,금오동,10,0,0,0,1.5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,금오동타이어,2,0,0,0,2.5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,금호타이어가격표,858,16,262,"4,191",7.9
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,금호타이어마제스티9,311,2,154,308,7.3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,금호타이어의정부점,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,금호타이어타이어뱅크19인치가격표,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,남양주시타이어뱅크,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,남양주윈터타이어,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,남양주타이어,29,0,0,0,7.7
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,남양주타이어뱅크,3,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,남양주휠타이어,1,0,0,0,8
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,내근처타이어뱅크,2,0,0,0,2.5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,넥센의정부,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,넥센타이어가격표,139,1,264,264,9
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,넥센타이어타이어뱅크,2,0,0,0,1.5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,넥센타이어티스테이션타이어뱅크,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,넥슨타이어,23,1,275,275,8.6
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,노원구타이어,11,0,0,0,8.3
