"플레이스보고서(2025.06.01.~2025.06.30.),grimmart_official:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,(주)아트스튜디오,2,0,0,0,1
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,2025그림,2,0,0,0,1
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,4세그림현대미술,1,0,0,0,2
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,4학년미술그리기활동,1,0,0,0,1
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,5세그림도안,4,0,0,0,1.8
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,6세미술그리기,1,0,0,0,1
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,7살미술학원보내는,1,0,0,0,1
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,7세그림그리기,2,0,0,0,2.5
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,7세그림도안,1,0,0,0,2
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,7세미술그림,1,0,0,0,1
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,7세미술만들기,1,0,0,0,2
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,AI가그린그림은미술인가,1,0,0,0,1
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,AI아동미술지도사,1,0,0,0,3
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,ARTWORKSTUDIO,3,0,0,0,1
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,CONTEMPORARY아트,2,0,0,0,1
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,가상미술관만들기미술수업,1,0,0,0,1
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,강남그림그리기카페,1,0,0,0,1
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,강남미술학원,14,0,0,0,19.1
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,개인그림,2,0,0,0,2
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,공부방창업,3,0,0,0,33.3
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,교습소,"1,475",0,0,0,3
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,교습소창업,1,0,0,0,22
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,교육사업,9,0,0,0,2.4
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,교육프랜차이즈,5,0,0,0,3
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,그림(주),2,0,0,0,1
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,그림공부사이트,1,0,0,0,1
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,그림그리기도안사이트,1,0,0,0,1
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,그림그리기사이트,53,1,484,484,1
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,그림그리는사이트,57,1,759,759,1.5
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,그림그리는사이트\,1,0,0,0,1
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,그림그리다미술학원유아,2,0,0,0,1
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,그림그리다미술학원유치부,1,0,0,0,1
"파워링크",그림아트스튜디오 홈페이지,그림아트스튜디오 PC,PC,그림그림미술학원,7,0,0,0,2.1
