"플레이스보고서(2025.06.01.~2025.06.30.),hanfea:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",기업행사,기업행사,PC,(주)떡만,1,0,0,0,1
"파워링크",기업행사,기업행사,PC,(주)케이크,1,0,0,0,1
"파워링크",기업행사,기업행사,PC,031-403-2671,1,0,0,0,1
"파워링크",기업행사,기업행사,PC,100일기념일케이크,1,0,0,0,2
"파워링크",기업행사,기업행사,PC,100케이크초,1,0,0,0,3
"파워링크",기업행사,기업행사,PC,10주년기념떡,1,0,0,0,3
"파워링크",기업행사,기업행사,PC,10주년기념케이크,4,0,0,0,2
"파워링크",기업행사,기업행사,PC,10주년떡케이크,1,0,0,0,2
"파워링크",기업행사,기업행사,PC,10주년떡케이크주문,1,0,0,0,2
"파워링크",기업행사,기업행사,PC,10주년제작케이크,1,0,0,0,2
"파워링크",기업행사,기업행사,PC,10주년케이크,22,0,0,0,3.5
"파워링크",기업행사,기업행사,PC,10주년케이크제작,1,0,0,0,2
"파워링크",기업행사,기업행사,PC,10주년케이크주문,1,0,0,0,3
"파워링크",기업행사,기업행사,PC,10주년케익제작,1,0,0,0,2
"파워링크",기업행사,기업행사,PC,15주년기념이벤트,1,0,0,0,2
"파워링크",기업행사,기업행사,PC,15주년이벤트,1,0,0,0,1
"파워링크",기업행사,기업행사,PC,1주년2단떡케이크,1,0,0,0,2
"파워링크",기업행사,기업행사,PC,1주년떡,2,0,0,0,4.5
"파워링크",기업행사,기업행사,PC,1주년떡케이크,1,0,0,0,2
"파워링크",기업행사,기업행사,PC,1주년케이크만들기,1,0,0,0,1
"파워링크",기업행사,기업행사,PC,2000원떡,1,0,0,0,2
"파워링크",기업행사,기업행사,PC,2000일케이크,2,0,0,0,1
"파워링크",기업행사,기업행사,PC,200일기념케이크,4,0,0,0,5.5
"파워링크",기업행사,기업행사,PC,2025케이크,2,0,0,0,3
"파워링크",기업행사,기업행사,PC,25주년기념케이크,1,0,0,0,3
"파워링크",기업행사,기업행사,PC,25주년창립,1,0,0,0,3
"파워링크",기업행사,기업행사,PC,25주년창립기념,1,0,0,0,3
