"플레이스보고서(2025.06.01.~2025.06.30.),humake_nohyeong:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",스크린골프 MO,001. 지역설정,모바일,GOLF,10,0,0,0,1.9
"파워링크",스크린골프 MO,001. 지역설정,모바일,골프,"13,485",47,908,"42,658",1.1
"파워링크",스크린골프 MO,001. 지역설정,모바일,골프개인레슨,1,0,0,0,2
"파워링크",스크린골프 MO,001. 지역설정,모바일,골프기초,6,0,0,0,1.7
"파워링크",스크린골프 MO,001. 지역설정,모바일,골프레슨,119,1,"1,166","1,166",1.8
"파워링크",스크린골프 MO,001. 지역설정,모바일,골프레슨비용,14,0,0,0,2
"파워링크",스크린골프 MO,001. 지역설정,모바일,골프배우기,2,0,0,0,1
"파워링크",스크린골프 MO,001. 지역설정,모바일,골프스윙,39,0,0,0,1.4
"파워링크",스크린골프 MO,001. 지역설정,모바일,골프실내연습장,4,0,0,0,1
"파워링크",스크린골프 MO,001. 지역설정,모바일,골프아카데미,9,0,0,0,3
"파워링크",스크린골프 MO,001. 지역설정,모바일,골프연습,8,0,0,0,2.3
"파워링크",스크린골프 MO,001. 지역설정,모바일,골프연습장,139,0,0,0,3.1
"파워링크",스크린골프 MO,001. 지역설정,모바일,골프연습장가격,4,1,"1,705","1,705",2.3
"파워링크",스크린골프 MO,001. 지역설정,모바일,골프연습장시설,4,0,0,0,1.3
"파워링크",스크린골프 MO,001. 지역설정,모바일,골프예약,15,0,0,0,2
"파워링크",스크린골프 MO,001. 지역설정,모바일,골프잘치는법,1,0,0,0,2
"파워링크",스크린골프 MO,001. 지역설정,모바일,골프장,"1,185",5,"1,008","5,038",1.2
"파워링크",스크린골프 MO,001. 지역설정,모바일,골프장추천,3,0,0,0,1.7
"파워링크",스크린골프 MO,001. 지역설정,모바일,골프초보,7,0,0,0,1.4
"파워링크",스크린골프 MO,001. 지역설정,모바일,골프초보레슨,1,1,"2,156","2,156",2
"파워링크",스크린골프 MO,001. 지역설정,모바일,스크린골프,718,2,"5,671","11,341",1.7
"파워링크",스크린골프 MO,001. 지역설정,모바일,스크린골프가격,9,0,0,0,3.6
"파워링크",스크린골프 MO,001. 지역설정,모바일,스크린골프예약,1,0,0,0,1
"파워링크",스크린골프 MO,001. 지역설정,모바일,스크린골프장,3,0,0,0,3.7
"파워링크",스크린골프 MO,001. 지역설정,모바일,실내골프연습장,11,0,0,0,3.4
"파워링크",스크린골프 MO,001. 지역설정,모바일,실내골프장,1,0,0,0,2
"파워링크",스크린골프 MO,001. 지역설정,모바일,어린이골프,3,0,0,0,1
"파워링크",스크린골프 MO,001. 지역설정,모바일,여자골프,22,0,0,0,1.7
"파워링크",스크린골프 MO,001. 지역설정,모바일,주니어골프레슨,1,0,0,0,2
"파워링크",스크린골프 MO,001. 지역설정,모바일,주변골프장,1,0,0,0,1
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,노형골프,9,0,0,0,1
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,노형골프레슨,5,0,0,0,1.8
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,노형골프연습장,43,0,0,0,1.8
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,노형골프장,8,0,0,0,2.5
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,노형동골프,3,0,0,0,2.7
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,노형동골프레슨,5,0,0,0,1
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,노형동골프아카데미,1,0,0,0,2
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,노형동골프연습장,12,1,220,220,1.7
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,노형동골프장,1,0,0,0,3
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,노형동스크린골프,17,0,0,0,1.2
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,노형동스크린골프레슨,1,0,0,0,1
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,노형동실내골프연습장,3,0,0,0,2
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,노형스크린골프,33,0,0,0,1.1
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,노형스크린골프장,2,0,0,0,1
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,노형실내골프연습장,4,0,0,0,2
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,노형실내골프장,1,0,0,0,1
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,노형실내스크린골프,1,0,0,0,1
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,노형어린이골프,2,0,0,0,1
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,연동골프레슨,2,0,0,0,2
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,연동골프연습장,16,0,0,0,1.2
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,연동골프장,1,0,0,0,1
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,연동스크린골프,1,0,0,0,2
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,연동스크린골프장,1,0,0,0,1
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,연동실내골프연습장,1,0,0,0,1
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,제원골프,1,0,0,0,1
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,제주노형골프,1,0,0,0,2
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,제주노형골프레슨,2,0,0,0,2
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,제주노형골프연습장,12,0,0,0,1.7
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,제주노형스크린골프,4,0,0,0,1.5
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,제주시연동골프연습장,2,0,0,0,1.5
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,제주시연동스크린골프,4,0,0,0,1.5
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,제주시연동스크린골프장,1,0,0,0,2
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,제주연동골프,5,0,0,0,2.2
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,제주연동골프레슨,5,0,0,0,1.8
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,제주연동골프연습,1,0,0,0,2
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,제주연동골프연습장,2,0,0,0,2
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,제주연동스크린골프,3,0,0,0,1
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,해안동골프,1,0,0,0,1
"파워링크",스크린골프 MO,002. 지역+조합 메인01,모바일,해안동골프연습장,16,0,0,0,1
"파워링크",스크린골프 MO,003. 지역+조합 메인02,모바일,골프스크린제주,1,0,0,0,3
"파워링크",스크린골프 MO,003. 지역+조합 메인02,모바일,수목원골프,1,0,0,0,2
"파워링크",스크린골프 MO,003. 지역+조합 메인02,모바일,수목원골프레슨,1,0,0,0,1
"파워링크",스크린골프 MO,003. 지역+조합 메인02,모바일,수목원골프장,1,0,0,0,1
"파워링크",스크린골프 MO,003. 지역+조합 메인02,모바일,제주골프,"2,722",6,"2,286","13,717",2
"파워링크",스크린골프 MO,003. 지역+조합 메인02,모바일,제주골프.레슨,1,0,0,0,3
"파워링크",스크린골프 MO,003. 지역+조합 메인02,모바일,제주골프레슨,127,1,"1,309","1,309",2.5
"파워링크",스크린골프 MO,003. 지역+조합 메인02,모바일,제주골프레슨가격,1,0,0,0,4
"파워링크",스크린골프 MO,003. 지역+조합 메인02,모바일,제주골프레슨비,1,0,0,0,4
"파워링크",스크린골프 MO,003. 지역+조합 메인02,모바일,제주골프레슨비용,2,0,0,0,4
"파워링크",스크린골프 MO,003. 지역+조합 메인02,모바일,제주골프레슨잘하는곳,7,1,77,77,1.1
