"플레이스보고서(2025.06.01.~2025.06.30.),ikita777:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",🟠 파워링크 지역설정,01. 맛집,PC,근처맛집,92,0,0,0,1
"파워링크",🟠 파워링크 지역설정,01. 맛집,PC,기념일맛집,1,0,0,0,1
"파워링크",🟠 파워링크 지역설정,01. 맛집,PC,내근처맛집,8,0,0,0,1
"파워링크",🟠 파워링크 지역설정,01. 맛집,PC,내근처식당,3,0,0,0,1
"파워링크",🟠 파워링크 지역설정,01. 맛집,PC,내주변맛집,12,0,0,0,1
"파워링크",🟠 파워링크 지역설정,01. 맛집,PC,내주변음식점,2,0,0,0,2
"파워링크",🟠 파워링크 지역설정,01. 맛집,PC,데이트맛집,13,0,0,0,1.8
"파워링크",🟠 파워링크 지역설정,01. 맛집,PC,맛집,275,1,957,957,1.5
"파워링크",🟠 파워링크 지역설정,01. 맛집,PC,맛집추천,20,0,0,0,1.9
"파워링크",🟠 파워링크 지역설정,01. 맛집,PC,분위기좋은맛집,1,0,0,0,1
"파워링크",🟠 파워링크 지역설정,01. 맛집,PC,브런치맛집,7,0,0,0,1.1
"파워링크",🟠 파워링크 지역설정,01. 맛집,PC,숨은맛집,1,0,0,0,1
"파워링크",🟠 파워링크 지역설정,01. 맛집,PC,양식맛집,3,0,0,0,1
"파워링크",🟠 파워링크 지역설정,01. 맛집,PC,점심맛집,5,0,0,0,1.8
"파워링크",🟠 파워링크 지역설정,01. 맛집,PC,주변맛집,27,0,0,0,1
"파워링크",🟠 파워링크 지역설정,01. 맛집,PC,현지맛집,1,0,0,0,1
"파워링크",🟠 파워링크 지역설정,01. 맛집,PC,현지인맛집,1,0,0,0,2
"파워링크",🟠 파워링크 지역설정,01. 맛집,모바일,근교맛집,3,0,0,0,1.7
"파워링크",🟠 파워링크 지역설정,01. 맛집,모바일,근처맛집,"3,196",30,"1,114","33,429",1
"파워링크",🟠 파워링크 지역설정,01. 맛집,모바일,기념일맛집,4,0,0,0,1
"파워링크",🟠 파워링크 지역설정,01. 맛집,모바일,내근처맛집,360,2,"1,089","2,178",1
"파워링크",🟠 파워링크 지역설정,01. 맛집,모바일,내근처식당,105,0,0,0,1
"파워링크",🟠 파워링크 지역설정,01. 맛집,모바일,내근처음식점,12,0,0,0,1
"파워링크",🟠 파워링크 지역설정,01. 맛집,모바일,내주변맛집,225,1,"1,584","1,584",3.6
"파워링크",🟠 파워링크 지역설정,01. 맛집,모바일,내주변음식점,8,0,0,0,2.9
"파워링크",🟠 파워링크 지역설정,01. 맛집,모바일,데이트맛집,7,0,0,0,3.3
"파워링크",🟠 파워링크 지역설정,01. 맛집,모바일,데이트식당추천,1,0,0,0,1
"파워링크",🟠 파워링크 지역설정,01. 맛집,모바일,맛집,"4,433",28,"1,169","32,736",1.1
"파워링크",🟠 파워링크 지역설정,01. 맛집,모바일,맛집추천,104,2,"1,029","2,057",2
"파워링크",🟠 파워링크 지역설정,01. 맛집,모바일,분위기좋은맛집,2,0,0,0,3
"파워링크",🟠 파워링크 지역설정,01. 맛집,모바일,브런치맛집,128,4,468,"1,870",1.4
"파워링크",🟠 파워링크 지역설정,01. 맛집,모바일,생일맛집,6,0,0,0,1
"파워링크",🟠 파워링크 지역설정,01. 맛집,모바일,송리단길.맛집,3,0,0,0,2.3
"파워링크",🟠 파워링크 지역설정,01. 맛집,모바일,송파맛집까사피에스타,3,0,0,0,1
"파워링크",🟠 파워링크 지역설정,01. 맛집,모바일,숨은맛집,3,0,0,0,1
"파워링크",🟠 파워링크 지역설정,01. 맛집,모바일,양식맛집,24,0,0,0,1
