"플레이스보고서(2025.06.01.~2025.06.30.),jkkim8206:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,관악구1.5룸,11,0,0,0,1.8
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,관악구부동산,168,1,143,143,3.9
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,관악구신림동원룸,2,0,0,0,6
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,관악구원룸,101,0,0,0,4.4
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,관악구원룸전세,137,0,0,0,2
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,관악구투룸전세,181,0,0,0,1.8
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,관악원룸,124,0,0,0,3.3
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,낙성대근처원룸,1,0,0,0,9
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,낙성대역원룸,2,0,0,0,8
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,대학동부동산,1,0,0,0,7
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,대학동원룸텔,20,0,0,0,3.6
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,봉천동부동산,32,0,0,0,4.5
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,봉천동오피스텔,22,0,0,0,6.2
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,봉천동원룸,72,0,0,0,4.4
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,봉천동투룸월세,11,0,0,0,2.7
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,봉천역원룸,66,0,0,0,6.3
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,부동산매물유튜브,1,0,0,0,3
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,부동산반바지,1,0,0,0,2
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,부동산신림,1,0,0,0,1
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,부동산신림역,1,0,0,0,1
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,부동산유투브,2,0,0,0,6.5
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,부동산은타이밍,2,0,0,0,1
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,부동산폭락전세,1,0,0,0,1
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,서림동원룸,5,0,0,0,6.8
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,서울관악구부동산,4,0,0,0,8.3
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,서울대원룸,1,0,0,0,19
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,서울대원룸전세,3,0,0,0,2.3
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,서울대입구부동산,24,0,0,0,6.5
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,서울대입구신축원룸,1,0,0,0,4
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,서울대입구역복층오피스텔,3,0,0,0,1.3
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,서울대입구역오피스텔전세,11,0,0,0,2.3
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,서울대입구역원룸,1,0,0,0,8
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,서울대입구역원룸시세,2,0,0,0,2
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,서울대입구역원룸전세,6,0,0,0,2.7
"파워링크",신림원룸 타이밍부동산,타이밍 부동산 유튜브_광고그룹#1,PC,서울대입구역월세구하기,1,0,0,0,1
