"플레이스보고서(2025.06.01.~2025.06.30.),kej419900:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,1인게장,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,간장게장국수,4,0,0,0,2.5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,간장게장맛있는집,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,간장게장메밀,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,간장게장전문점,1,0,0,0,10
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,간장냉면맛집,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,간장돌게장,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,갓김치,1,0,0,0,52
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,게장거리카페,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,게장맛집,1,0,0,0,20
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,게장배달,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,게장식당,2,0,0,0,6.5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,게장포장,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,게장한상낭만별식,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,게장한상낭만별식갈치조림정식,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,게장한상낭만별식라테라스점,4,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,게장한상낭만별식라테라스점],1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,게장한상낭만별식본점,4,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,게장한상낭만엑스포,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,게장한상라테라스,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,게장한상라테라스점,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,경도맛집,3,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,관악구간장게장,2,0,0,0,2.5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,광양간장게장,5,0,0,0,2.2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,광양맛있는솥밥,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,광양읍한정식맛집,2,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,광양읍한정식집,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,군산간장게장,82,1,66,66,4.9
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,군산간장게장맛집,40,1,77,77,2.7
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,군산게장,5,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,근처간장게장맛집,2,0,0,0,9.5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,근처게장맛집,3,0,0,0,8
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,김치,4,0,0,0,70.5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,꽃게무침,14,0,0,0,8.9
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,꽃게장집본점,2,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,꽃게찜,1,0,0,0,9
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,꽃게탕국수,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,꽃게탕정식,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,남도게장정식,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,남도꽃게장정식,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,낭만별식여수,4,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,낭만포차맛집,4,0,0,0,6.5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,농게장,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,누룽지양념게장,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,당진게장맛집,25,0,0,0,1.7
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,돌게간장게장,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,돌게조림,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,돌산가볼만한곳,2,0,0,0,7.5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,돌산간장게장,3,0,0,0,6
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,돌산갈치조림,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,돌산게장명가관광버스주차,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,돌산게장명가버스주차,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,돌산근처식당,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,돌산꽃게탕맛집,2,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,돌산대교근처맛집,3,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,돌산대교맛집,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,돌산대교여수,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,돌산도맛집,7,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,돌산맛집,30,0,0,0,5.3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,돌산식당,28,0,0,0,2.6
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,돌산식당여수,5,0,0,0,2.2
