"플레이스보고서(2025.06.01.~2025.06.30.),kimgr7:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,고고안경인천논현점,1,0,0,0,2
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,남동구논현안경점,1,0,0,0,2
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,남동구안경,2,0,0,0,6
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,남동구안경점,1,0,0,0,8
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,밝은눈안경,58,0,0,0,1.2
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,밝은눈안경경서점,1,0,0,0,1
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,밝은눈안경원,6,0,0,0,2
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,밝은눈안경호구포,1,0,0,0,1
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,밝은안경원,1,0,0,0,1
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,블루라이트차단안경,2,0,0,0,49
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,뿔테안경,3,0,0,0,38.7
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,선글라스,61,0,0,0,17.1
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,썬그라스,74,0,0,0,5.5
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,안경,21,0,0,0,46.3
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,안경브랜드,2,0,0,0,30
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,안경쓰면눈화장,1,0,0,0,2
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,안경점,2,0,0,0,36.5
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,안경테,19,0,0,0,24.9
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,인천남동구논현동안경,1,0,0,0,2
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,인천남동구논현동안경원,1,0,0,0,2
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,인천남동구논현동안경점,2,0,0,0,2
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,인천남동구논현역안경,1,0,0,0,2
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,인천논현동안경,25,0,0,0,2.5
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,인천논현동안경원,2,0,0,0,2
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,인천논현동안경점,18,0,0,0,1.9
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,인천논현렌즈,1,0,0,0,3
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,인천논현안경,42,0,0,0,1.9
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,인천논현안경점,20,0,0,0,1.1
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,인천밝은눈안경,1,0,0,0,1
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,인천안경잘하는집,1,0,0,0,2
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,인천호구포역안경점,1,0,0,0,1
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,초롱눈망울밝은눈안경마트,1,0,0,0,1
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,티타늄안경테,3,0,0,0,37
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,호구포안경,1,0,0,0,2
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,호구포안경점,1,0,0,0,1
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,호구포역2번출구,1,0,0,0,1
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,호구포역사진,2,0,0,0,2
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,호구포역사진관,1,0,0,0,1
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,호구포역안경,1,0,0,0,1
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,PC,호구포역안경점,2,1,66,66,1
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,모바일,깨끗하게보이는안경렌즈,1,0,0,0,3
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,모바일,남동구논현동안경,1,0,0,0,3
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,모바일,남동구논현동안경점,3,0,0,0,1.3
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,모바일,남동구논현안경원,1,0,0,0,2
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,모바일,남동구다초점렌즈잘하는안경원,1,0,0,0,3
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,모바일,남동구안경점,1,0,0,0,4
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,모바일,남동안경점,1,0,0,0,4
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,모바일,논현동안경인천,1,0,0,0,3
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,모바일,맑은눈안경호구포역,1,0,0,0,1
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,모바일,밝고맑은안경원,2,0,0,0,2
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,모바일,밝은눈안경,"1,044",2,77,154,1.4
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,모바일,밝은눈안경구월점,1,0,0,0,2
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,모바일,밝은눈안경논현동인천,1,0,0,0,1
"파워링크",밝은눈안경 파워링크,밝은눈안경 파워링크_광고그룹#1,모바일,밝은눈안경영업,1,0,0,0,1
