"플레이스보고서(2025.06.01.~2025.06.30.),kontae_lee:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",파워링크#1,파워링크#1_광고그룹#2m,PC,경기가볼만한곳,1,0,0,0,57
"파워링크",파워링크#1,파워링크#1_광고그룹#2m,PC,경기고양시맛집,2,0,0,0,1.5
"파워링크",파워링크#1,파워링크#1_광고그룹#2m,PC,경기고양시일산서구탄중로101번길,2,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2m,PC,경기도가볼만한곳,1,0,0,0,112
"파워링크",파워링크#1,파워링크#1_광고그룹#2m,PC,경기도고양맛집,8,0,0,0,2.5
"파워링크",파워링크#1,파워링크#1_광고그룹#2m,PC,경기도고양시맛집,16,0,0,0,9.9
"파워링크",파워링크#1,파워링크#1_광고그룹#2m,PC,경기도고양시먹을만한데,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2m,PC,경기도고양시일산구식사동,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#2m,PC,경기도고양시일산서구탄중로101번길41(덕이동),1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2m,PC,경기도맛집,1,0,0,0,72
"파워링크",파워링크#1,파워링크#1_광고그룹#2m,PC,경기도일산맛있는맛집,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#2m,PC,경기도일산맛집,3,0,0,0,2.3
"파워링크",파워링크#1,파워링크#1_광고그룹#2m,PC,경기도일산서구맛있는맛집,2,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#2m,PC,고양가볼만한곳,45,0,0,0,9.3
"파워링크",파워링크#1,파워링크#1_광고그룹#2m,PC,고양관광지,1,0,0,0,7
"파워링크",파워링크#1,파워링크#1_광고그룹#2m,PC,고양근처맛집,1,0,0,0,4
"파워링크",파워링크#1,파워링크#1_광고그룹#2m,PC,고양동맛집,169,1,275,275,7.7
"파워링크",파워링크#1,파워링크#1_광고그룹#2m,PC,고양동맛집추천,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#2m,PC,고양레스토랑,3,0,0,0,1.3
