"플레이스보고서(2025.06.01.~2025.06.30.),leeruri0225:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",파워링크#2,파워링크#2_광고그룹#1,PC,군포셀프사진관,2,0,0,0,3
"파워링크",파워링크#2,파워링크#2_광고그룹#1,PC,군포시셀프사진관,1,0,0,0,2
"파워링크",파워링크#2,파워링크#2_광고그룹#1,PC,롯데마트의왕,9,0,0,0,1
"파워링크",파워링크#2,파워링크#2_광고그룹#1,PC,롯데마트의왕점,37,0,0,0,1
"파워링크",파워링크#2,파워링크#2_광고그룹#1,PC,롯데의왕마트,2,0,0,0,1
"파워링크",파워링크#2,파워링크#2_광고그룹#1,PC,만삭사진영업,2,0,0,0,2
"파워링크",파워링크#2,파워링크#2_광고그룹#1,PC,만삭사진원본,1,0,0,0,3
"파워링크",파워링크#2,파워링크#2_광고그룹#1,PC,백운호수,"1,988",1,110,110,5.2
"파워링크",파워링크#2,파워링크#2_광고그룹#1,PC,백운호수사진관,2,0,0,0,1
"파워링크",파워링크#2,파워링크#2_광고그룹#1,PC,백운호수프라이빗룸,1,0,0,0,1
"파워링크",파워링크#2,파워링크#2_광고그룹#1,PC,셀프스튜디오,3,0,0,0,74
"파워링크",파워링크#2,파워링크#2_광고그룹#1,PC,안양만삭사진,9,0,0,0,5.6
"파워링크",파워링크#2,파워링크#2_광고그룹#1,PC,안양셀프사진관,13,0,0,0,4.8
"파워링크",파워링크#2,파워링크#2_광고그룹#1,PC,에프오디스튜디오,1,0,0,0,1
"파워링크",파워링크#2,파워링크#2_광고그룹#1,PC,의왕롯데,10,0,0,0,1.3
"파워링크",파워링크#2,파워링크#2_광고그룹#1,PC,의왕롯데마트,185,0,0,0,1.4
"파워링크",파워링크#2,파워링크#2_광고그룹#1,PC,의왕롯데아울렛,"1,104",0,0,0,1
"파워링크",파워링크#2,파워링크#2_광고그룹#1,PC,의왕롯데프라자,1,0,0,0,1
"파워링크",파워링크#2,파워링크#2_광고그룹#1,PC,의왕시롯데마트,1,0,0,0,1
"파워링크",파워링크#2,파워링크#2_광고그룹#1,PC,의왕시롯데마트사진관,1,0,0,0,1
"파워링크",파워링크#2,파워링크#2_광고그룹#1,PC,의왕점롯데마트,2,0,0,0,1
