"플레이스보고서(2025.06.01.~2025.06.30.),leoniman:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,갈비명가화도읍,1,0,0,0,1
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,경기도남양주맛집,4,0,0,0,1
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,경기도맛집,3,0,0,0,2
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,남양주시화도읍갈비집,1,0,0,0,2
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,남양주시화도읍고기먹방,1,0,0,0,2
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,남양주시화도읍반찬가게?,2,0,0,0,1
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,남양주시화도읍육장갈비,1,1,77,77,1
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,남양주화도읍돼지갈비,3,0,0,0,1
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,남양주화도읍맛집,1,0,0,0,2
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,마석맛집,97,0,0,0,1.5
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,마석모임장소,1,0,0,0,3
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,마석역맛집,12,0,0,0,1.1
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,마석주변맛집,3,0,0,0,1.3
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,마석화도읍냉면집,1,0,0,0,1
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,마석화도읍한식,1,0,0,0,2
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,애견동반화도읍,1,0,0,0,1
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,지즐미육회관마석화도점,1,0,0,0,1
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,창현리맛집,5,0,0,0,1
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,한식화도읍,1,0,0,0,2
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,화도갈비,7,0,0,0,2.1
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,화도갈비맛집,1,0,0,0,3
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,화도갈비집,1,0,0,0,2
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,화도고기집,4,0,0,0,2.3
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,화도돼지갈비,4,0,0,0,2
"파워링크",평일캠페인(4시전까지),전체지역 메인키워드,모바일,화도돼지갈비맛집,1,0,0,0,1
