"플레이스보고서(2025.06.01.~2025.06.30.),medicinalfood:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",모두,여행 / 전국 시즌,PC,10월갈만한곳,2,0,0,0,8
"파워링크",모두,여행 / 전국 시즌,PC,10월에가볼만한곳,1,0,0,0,10
"파워링크",모두,여행 / 전국 시즌,PC,10월초국내여행지,2,0,0,0,1
"파워링크",모두,여행 / 전국 시즌,PC,10월축제,4,0,0,0,18.5
"파워링크",모두,여행 / 전국 시즌,PC,11월가을축제,1,0,0,0,2
"파워링크",모두,여행 / 전국 시즌,PC,11월기차여행,1,0,0,0,7
"파워링크",모두,여행 / 전국 시즌,PC,11월먹거리축제,2,0,0,0,2
"파워링크",모두,여행 / 전국 시즌,PC,11월지역축제,2,0,0,0,2.5
"파워링크",모두,여행 / 전국 시즌,PC,11월축제,1,0,0,0,16
"파워링크",모두,여행 / 전국 시즌,PC,11월행사,1,0,0,0,10
"파워링크",모두,여행 / 전국 시즌,PC,12월31일여행,1,0,0,0,1
"파워링크",모두,여행 / 전국 시즌,PC,12월추천여행지,3,0,0,0,2.7
"파워링크",모두,여행 / 전국 시즌,PC,12월축제,1,0,0,0,17
"파워링크",모두,여행 / 전국 시즌,PC,1박2일가볼만한곳,1,0,0,0,19
"파워링크",모두,여행 / 전국 시즌,PC,1월축제,1,0,0,0,8
"파워링크",모두,여행 / 전국 시즌,PC,1인국내여행,2,0,0,0,6
"파워링크",모두,여행 / 전국 시즌,PC,1일여행,2,0,0,0,10
"파워링크",모두,여행 / 전국 시즌,PC,2박3일여행코스,1,0,0,0,8
"파워링크",모두,여행 / 전국 시즌,PC,2월국내여행지추천,2,0,0,0,14
"파워링크",모두,여행 / 전국 시즌,PC,2월당일치기,1,0,0,0,5
"파워링크",모두,여행 / 전국 시즌,PC,3월국내여행지추천,5,0,0,0,18.4
"파워링크",모두,여행 / 전국 시즌,PC,4월가볼만한곳,12,0,0,0,24.8
"파워링크",모두,여행 / 전국 시즌,PC,4월갈만한곳,2,0,0,0,2
"파워링크",모두,여행 / 전국 시즌,PC,4월나들이,1,0,0,0,2
"파워링크",모두,여행 / 전국 시즌,PC,4월에가볼만한곳,1,0,0,0,13
"파워링크",모두,여행 / 전국 시즌,PC,4월여행하기좋은곳,1,0,0,0,2
"파워링크",모두,여행 / 전국 시즌,PC,4월추천여행지,1,0,0,0,2
"파워링크",모두,여행 / 전국 시즌,PC,5월가볼만한곳,3,0,0,0,34.3
"파워링크",모두,여행 / 전국 시즌,PC,5월갈만한곳,1,0,0,0,8
"파워링크",모두,여행 / 전국 시즌,PC,5월국내여행지추천,7,0,0,0,17.4
"파워링크",모두,여행 / 전국 시즌,PC,5월꽃축제,2,0,0,0,7
"파워링크",모두,여행 / 전국 시즌,PC,5월놀러갈만한곳,6,0,0,0,7.8
"파워링크",모두,여행 / 전국 시즌,PC,5월에가볼만한곳,9,0,0,0,30.3
"파워링크",모두,여행 / 전국 시즌,PC,5월에갈만한곳,8,0,0,0,7.3
"파워링크",모두,여행 / 전국 시즌,PC,5월여행,7,0,0,0,41.1
"파워링크",모두,여행 / 전국 시즌,PC,5월축제,5,0,0,0,11
"파워링크",모두,여행 / 전국 시즌,PC,6시내고향맛집,4,0,0,0,2.3
"파워링크",모두,여행 / 전국 시즌,PC,6월1박2일여행,1,0,0,0,3
"파워링크",모두,여행 / 전국 시즌,PC,6월가볼만한곳,4,0,0,0,38
"파워링크",모두,여행 / 전국 시즌,PC,6월갈만한곳,7,0,0,0,9.3
"파워링크",모두,여행 / 전국 시즌,PC,6월관광지,5,0,0,0,5.8
"파워링크",모두,여행 / 전국 시즌,PC,6월국내가족여행,1,0,0,0,10
"파워링크",모두,여행 / 전국 시즌,PC,6월나들이,12,0,0,0,3
"파워링크",모두,여행 / 전국 시즌,PC,6월달여행,1,0,0,0,3
"파워링크",모두,여행 / 전국 시즌,PC,6월말여행,1,0,0,0,2
"파워링크",모두,여행 / 전국 시즌,PC,6월여행,4,0,0,0,43.5
"파워링크",모두,여행 / 전국 시즌,PC,7월가볼만한곳,1,0,0,0,25
"파워링크",모두,여행 / 전국 시즌,PC,7월휴가,1,0,0,0,5
"파워링크",모두,여행 / 전국 시즌,PC,8월축제,5,0,0,0,9.8
"파워링크",모두,여행 / 전국 시즌,PC,9월수덕사,2,0,0,0,1
"파워링크",모두,여행 / 전국 시즌,PC,9월축제,1,0,0,0,23
"파워링크",모두,여행 / 전국 시즌,PC,가을1박2일여행,1,0,0,0,9
"파워링크",모두,여행 / 전국 시즌,PC,가을기차여행,1,0,0,0,7
"파워링크",모두,여행 / 전국 시즌,PC,가을단풍,1,0,0,0,7
"파워링크",모두,여행 / 전국 시즌,PC,가을축제,1,0,0,0,44
"파워링크",모두,여행 / 전국 시즌,PC,가을풍경,15,0,0,0,8
"파워링크",모두,여행 / 전국 시즌,PC,가족과갈만한곳,3,0,0,0,5.7
"파워링크",모두,여행 / 전국 시즌,PC,가족과여행,1,0,0,0,3
"파워링크",모두,여행 / 전국 시즌,PC,가족나들이,3,0,0,0,46
"파워링크",모두,여행 / 전국 시즌,PC,갈만한,3,0,0,0,2
"파워링크",모두,여행 / 전국 시즌,PC,겨울기차여행,2,0,0,0,5
"파워링크",모두,여행 / 전국 시즌,PC,겨울산,13,0,0,0,2.8
"파워링크",모두,여행 / 전국 시즌,PC,겨울스파여행,1,0,0,0,7
"파워링크",모두,여행 / 전국 시즌,PC,겨울온천,3,0,0,0,5.7
"파워링크",모두,여행 / 전국 시즌,PC,국내10월여행,2,0,0,0,3
"파워링크",모두,여행 / 전국 시즌,PC,국내가볼만한곳,21,0,0,0,5.5
"파워링크",모두,여행 / 전국 시즌,PC,국내가족여행,3,0,0,0,24.7
"파워링크",모두,여행 / 전국 시즌,PC,국내당일기차여행,10,0,0,0,9.2
"파워링크",모두,여행 / 전국 시즌,PC,국내당일여행,1,0,0,0,15
"파워링크",모두,여행 / 전국 시즌,PC,국내여행,3,0,0,0,50.3
"파워링크",모두,여행 / 전국 시즌,PC,국내여행가기좋은곳,4,0,0,0,4.8
"파워링크",모두,여행 / 전국 시즌,PC,국내여행가볼만한곳,3,0,0,0,9.7
"파워링크",모두,여행 / 전국 시즌,PC,국내여행상품,1,0,0,0,14
"파워링크",모두,여행 / 전국 시즌,PC,국내여행추천,3,0,0,0,22.3
"파워링크",모두,여행 / 전국 시즌,PC,국내온천리조트,28,0,0,0,7.4
"파워링크",모두,여행 / 전국 시즌,PC,국내온천여행,6,0,0,0,14.2
"파워링크",모두,여행 / 전국 시즌,PC,국내온천추천,51,0,0,0,5.9
"파워링크",모두,여행 / 전국 시즌,PC,국내혼자여행하기좋은곳,4,0,0,0,26.8
