"플레이스보고서(2025.06.01.~2025.06.30.),mentor0120:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1+1양도소득세면제,1,0,0,0,3
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,11월매매2월양도소득세종합소득세는,1,0,0,0,1
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,12년보유한부동산매매시양도소득세계산,1,0,0,0,1
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,12월부동산세금,1,0,0,0,1
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,17년이전매매아파트양도소득세신고서류,1,0,0,0,1
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1기부가가치세과세,1,0,0,0,2
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1년미만거주양도소득세,1,0,0,0,3
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1년보유양도소득세,1,0,0,0,2
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1년에2세대매매시양도소득세,1,0,0,0,2
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1년에2주택매매시양도소득세,2,0,0,0,3
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1년에주택매매2건이면세금이중과?,1,0,0,0,1
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1년이내단순양도소득세,1,0,0,0,3
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1년이내부동산양도소득세,1,0,0,0,3
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1년이내토지양도소득세,1,0,0,0,2
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1세대1주택비과세양도소득세신고,1,0,0,0,1
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1세대1주택양도소득세,1,0,0,0,3
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1세대1주택양도소득세면제한도,1,0,0,0,1
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1세대2주택양도소득세어떻게되나요,12,0,0,0,2.8
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1억매매양도소득세,1,0,0,0,2
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1억원매매양도소득세,1,0,0,0,3
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1인기업세무대리비용달마다얼마나들까,1,0,0,0,1
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1인기업세무사없이기장하는방법없나요?,1,0,0,0,3
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1인법인설립,1,0,0,0,37
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1인법인세무기장안쓰고,1,0,0,0,3
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1인법인세무사,1,0,0,0,10
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1인부동산소득부가가치세면제,1,0,0,0,1
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1인종부세비과세,1,0,0,0,2
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1일소득세기준,1,0,0,0,1
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1주택양도소득세면제신고의무,1,0,0,0,2
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1주택양도소득세면제조건,1,0,0,0,1
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1주택양도소득세보유기간,1,0,0,0,1
"파워링크",파워링크#윤성규세무사 파워링크,파워링크#윤성규세무사 파워링크_광고그룹#기장상담,PC,1주택양도소득세신고의무,1,0,0,0,2
