"플레이스보고서(2025.06.01.~2025.06.30.),mga20003:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",하나토탈클린New,메인키워드_PC,PC,곰팡이제거,17,0,0,0,2.9
"파워링크",하나토탈클린New,메인키워드_PC,PC,숙소청소,1,1,110,110,6
"파워링크",하나토탈클린New,메인키워드_PC,PC,외부유리창청소,1,0,0,0,4
"파워링크",하나토탈클린New,메인키워드_PC,PC,유리창청소,20,0,0,0,2.9
"파워링크",하나토탈클린New,메인키워드_PC,PC,유리폐기물,1,0,0,0,7
"파워링크",하나토탈클린New,메인키워드_PC,PC,입주청소제주,1,0,0,0,6
"파워링크",하나토탈클린New,메인키워드_PC,PC,정리,167,0,0,0,2.6
"파워링크",하나토탈클린New,메인키워드_PC,PC,주방청소,7,0,0,0,1.6
"파워링크",하나토탈클린New,메인키워드_PC,PC,주방후드청소,5,0,0,0,2
"파워링크",하나토탈클린New,메인키워드_PC,PC,준공청소,1,0,0,0,10
"파워링크",하나토탈클린New,메인키워드_PC,PC,집정리,1,0,0,0,19
"파워링크",하나토탈클린New,메인키워드_PC,PC,집정리업체비용,1,0,0,0,8
"파워링크",하나토탈클린New,메인키워드_PC,PC,청소,111,0,0,0,2.2
"파워링크",하나토탈클린New,메인키워드_PC,PC,펜션청소,1,0,0,0,7
"파워링크",하나토탈클린New,메인키워드_PC,PC,화장실청소,26,0,0,0,2.1
"파워링크",하나토탈클린New,메인키워드_PC,PC,후드청소,3,0,0,0,3
"파워링크",하나토탈클린New,메인키워드_모바일,모바일,거주청소,9,1,"3,201","3,201",3
"파워링크",하나토탈클린New,메인키워드_모바일,모바일,거주청소업체,2,0,0,0,2
"파워링크",하나토탈클린New,메인키워드_모바일,모바일,건물외벽청소,6,0,0,0,3.3
"파워링크",하나토탈클린New,메인키워드_모바일,모바일,곰팡이제거,77,0,0,0,2.2
"파워링크",하나토탈클린New,메인키워드_모바일,모바일,기름때제거,11,0,0,0,1.9
"파워링크",하나토탈클린New,메인키워드_모바일,모바일,식당청소업체,2,0,0,0,2.5
"파워링크",하나토탈클린New,메인키워드_모바일,모바일,신축입주청소,13,0,0,0,2.5
"파워링크",하나토탈클린New,메인키워드_모바일,모바일,원룸입주청소소요시간,1,0,0,0,3
"파워링크",하나토탈클린New,메인키워드_모바일,모바일,이사청소,21,0,0,0,3
"파워링크",하나토탈클린New,메인키워드_모바일,모바일,입주청소,373,2,990,"1,980",2.4
"파워링크",하나토탈클린New,메인키워드_모바일,모바일,정리,1,0,0,0,2
"파워링크",하나토탈클린New,메인키워드_모바일,모바일,제주가정집입주청소,1,0,0,0,3
"파워링크",하나토탈클린New,메인키워드_모바일,모바일,주방후드필터청소,1,0,0,0,2
"파워링크",하나토탈클린New,메인키워드_모바일,모바일,준공청소,2,0,0,0,4.5
"파워링크",하나토탈클린New,메인키워드_모바일,모바일,창문청소업체,9,1,792,792,3.7
"파워링크",하나토탈클린New,메인키워드_모바일,모바일,창틀청소,220,7,"1,482","10,373",1
"파워링크",하나토탈클린New,메인키워드_모바일,모바일,청소,210,1,484,484,2
"파워링크",하나토탈클린New,메인키워드_모바일,모바일,청소업체,96,2,"3,988","7,975",2.6
"파워링크",하나토탈클린New,메인키워드_모바일,모바일,풀빌라청소,1,0,0,0,3
"파워링크",하나토탈클린New,메인키워드_모바일,모바일,후드청소,44,0,0,0,2.7
"파워링크",하나토탈클린New,제주지역키워드,PC,제주거주청소,2,0,0,0,3.5
"파워링크",하나토탈클린New,제주지역키워드,PC,제주계단청소업체,1,0,0,0,7
"파워링크",하나토탈클린New,제주지역키워드,PC,제주곰팡이제거,2,0,0,0,1
"파워링크",하나토탈클린New,제주지역키워드,PC,제주대형폐기물,94,0,0,0,9.4
"파워링크",하나토탈클린New,제주지역키워드,PC,제주도곰팡이제거업체,1,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,PC,제주도냉장고청소,1,0,0,0,6
"파워링크",하나토탈클린New,제주지역키워드,PC,제주도대형폐기물,1,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,PC,제주도모두의청소,2,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,PC,제주도블로그,1,0,0,0,1
"파워링크",하나토탈클린New,제주지역키워드,PC,제주도생활폐기물,2,0,0,0,3.5
"파워링크",하나토탈클린New,제주지역키워드,PC,제주도쓰레기,8,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,PC,제주도쓰레기수거,1,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,PC,제주도쓰레기집청소,1,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,PC,제주도외벽청소,1,0,0,0,6
"파워링크",하나토탈클린New,제주지역키워드,PC,제주도이사청소,3,0,0,0,4.3
"파워링크",하나토탈클린New,제주지역키워드,PC,제주도입주청소,36,1,"5,060","5,060",4
"파워링크",하나토탈클린New,제주지역키워드,PC,제주도입주청소비용,1,0,0,0,10
"파워링크",하나토탈클린New,제주지역키워드,PC,제주도입주청소업체,1,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,PC,제주도주방청소,1,0,0,0,4
"파워링크",하나토탈클린New,제주지역키워드,PC,제주도준공청소,2,0,0,0,4
"파워링크",하나토탈클린New,제주지역키워드,PC,제주도청소,6,1,880,880,9.3
"파워링크",하나토탈클린New,제주지역키워드,PC,제주도청소업체,8,0,0,0,4.1
"파워링크",하나토탈클린New,제주지역키워드,PC,제주도폐가구수거,1,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,PC,제주병원청소,1,0,0,0,8
"파워링크",하나토탈클린New,제주지역키워드,PC,제주분해청소,1,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,PC,제주상가청소,3,0,0,0,1.7
"파워링크",하나토탈클린New,제주지역키워드,PC,제주생활폐기물,3,0,0,0,7.3
"파워링크",하나토탈클린New,제주지역키워드,PC,제주시건물청소,2,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,PC,제주시생활폐기물,5,0,0,0,2.4
"파워링크",하나토탈클린New,제주지역키워드,PC,제주시이사청소,1,0,0,0,5
"파워링크",하나토탈클린New,제주지역키워드,PC,제주시이사청소업체,2,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,PC,제주시입주청소,4,0,0,0,1.5
"파워링크",하나토탈클린New,제주지역키워드,PC,제주시청소,2,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,PC,제주시청소업체,8,1,"2,640","2,640",4.3
"파워링크",하나토탈클린New,제주지역키워드,PC,제주시폐기물업체,1,0,0,0,9
"파워링크",하나토탈클린New,제주지역키워드,PC,제주시폐기물처리업체,1,0,0,0,5
"파워링크",하나토탈클린New,제주지역키워드,PC,제주시화장실청소업체,11,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,PC,제주식당청소,1,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,PC,제주쓰레기수거,3,0,0,0,5.3
"파워링크",하나토탈클린New,제주지역키워드,PC,제주쓰레기수거업체,3,0,0,0,6
"파워링크",하나토탈클린New,제주지역키워드,PC,제주쓰레기집청소,30,0,0,0,4.6
"파워링크",하나토탈클린New,제주지역키워드,PC,제주쓰레기집청소업체,1,0,0,0,1
"파워링크",하나토탈클린New,제주지역키워드,PC,제주쓰레기청소,1,0,0,0,1
"파워링크",하나토탈클린New,제주지역키워드,PC,제주아파트청소,1,0,0,0,5
"파워링크",하나토탈클린New,제주지역키워드,PC,제주업소후드청소,1,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,PC,제주업체,1,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,PC,제주오피스텔청소,3,0,0,0,1.7
"파워링크",하나토탈클린New,제주지역키워드,PC,제주원룸청소,3,0,0,0,8.3
"파워링크",하나토탈클린New,제주지역키워드,PC,제주유리창청소,8,0,0,0,5.5
"파워링크",하나토탈클린New,제주지역키워드,PC,제주유리창청소업체,2,0,0,0,4.5
"파워링크",하나토탈클린New,제주지역키워드,PC,제주유품정리비용,1,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,PC,제주음식물쓰레기버리기,1,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,PC,제주이사청소,4,0,0,0,4
"파워링크",하나토탈클린New,제주지역키워드,PC,제주입주청소,91,2,"5,423","10,846",3.7
"파워링크",하나토탈클린New,제주지역키워드,PC,제주입주청소가격,2,0,0,0,4.5
"파워링크",하나토탈클린New,제주지역키워드,PC,제주입주청소업체,2,0,0,0,3.5
"파워링크",하나토탈클린New,제주지역키워드,PC,제주입주청소후기,2,0,0,0,4
"파워링크",하나토탈클린New,제주지역키워드,PC,제주주방청소,4,0,0,0,3.3
"파워링크",하나토탈클린New,제주지역키워드,PC,제주주방청소업체,1,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,PC,제주주방후드청소,1,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,PC,제주준공청소,6,0,0,0,2.8
"파워링크",하나토탈클린New,제주지역키워드,PC,제주집정리,1,0,0,0,5
"파워링크",하나토탈클린New,제주지역키워드,PC,제주집청소,2,0,0,0,4
"파워링크",하나토탈클린New,제주지역키워드,PC,제주집청소업체,3,0,0,0,6.7
"파워링크",하나토탈클린New,제주지역키워드,PC,제주창문청소,4,0,0,0,2.8
"파워링크",하나토탈클린New,제주지역키워드,PC,제주청소,32,0,0,0,3.7
"파워링크",하나토탈클린New,제주지역키워드,PC,제주청소건강,1,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,PC,제주청소대행업체,3,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,PC,제주청소도우미,4,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,PC,제주청소반장,1,0,0,0,1
"파워링크",하나토탈클린New,제주지역키워드,PC,제주청소소독,1,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,PC,제주청소업체,38,0,0,0,5.5
"파워링크",하나토탈클린New,제주지역키워드,PC,제주청소환경,1,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,PC,제주토탈클린,3,0,0,0,1
"파워링크",하나토탈클린New,제주지역키워드,PC,제주특수청소,6,1,495,495,5.5
"파워링크",하나토탈클린New,제주지역키워드,PC,제주폐가구수거,3,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,PC,제주폐기물비용,1,0,0,0,10
"파워링크",하나토탈클린New,제주지역키워드,PC,제주폐기물수거,5,0,0,0,9.2
"파워링크",하나토탈클린New,제주지역키워드,PC,제주폐기물수거업체,1,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,PC,제주하나로클린,1,0,0,0,1
"파워링크",하나토탈클린New,제주지역키워드,PC,제주호텔청소업체,1,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,PC,제주화장실청소,5,0,0,0,9
"파워링크",하나토탈클린New,제주지역키워드,PC,제주화재청소,1,0,0,0,5
"파워링크",하나토탈클린New,제주지역키워드,PC,진짜청소제주,1,0,0,0,1
"파워링크",하나토탈클린New,제주지역키워드,PC,집청소제주,1,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,PC,청소제주,1,0,0,0,7
"파워링크",하나토탈클린New,제주지역키워드,PC,청소집제주,1,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,모바일,곰팡이제거업체제주,3,1,781,781,1
"파워링크",하나토탈클린New,제주지역키워드,모바일,곰팡이청소업체제주,1,0,0,0,1
"파워링크",하나토탈클린New,제주지역키워드,모바일,당근청소제주,2,0,0,0,1
"파워링크",하나토탈클린New,제주지역키워드,모바일,이사청소제주,1,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,모바일,입주청소비용제주도,1,0,0,0,1
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주.입주청소,1,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주.주방냉장고청소업체,1,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주.주방청소업체,1,0,0,0,1
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주.청소건강,1,0,0,0,1
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주거주청소,15,1,"2,057","2,057",1.8
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주거주청소추천,1,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주계단청소업체,1,0,0,0,4
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주곰팡이제거,9,0,0,0,2.1
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주다청소,18,0,0,0,1.7
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도곰팡이제거,2,0,0,0,2.5
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도모두의청소,1,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도블로그,3,0,0,0,1
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도상가청소,1,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도생활폐기물,7,0,0,0,2.6
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도숙소청소,1,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도쓰레기,87,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도쓰레기수거,5,0,0,0,2.8
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도쓰레기수거업체,1,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도쓰레기집청소,1,0,0,0,4
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도업소청소업체,3,1,77,77,1.7
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도외창청소,1,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도원룸청소,1,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도유리창청소,1,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도이사청소,6,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도입주청소,63,1,"5,324","5,324",3.1
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도입주청소추천,1,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도정리,1,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도정리업체,4,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도지정폐기물,2,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도청소,3,0,0,0,4
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도청소업체,19,2,"4,318","8,635",3.7
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도청소전문업체,2,0,0,0,1
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도폐가구수거,2,0,0,0,3.5
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도폐기물비용,1,0,0,0,3
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도호텔청소,1,0,0,0,4
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주도후드청소,1,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주룸청소업체,1,1,88,88,3
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주모텔청소,1,0,0,0,4
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주바닥청소,1,0,0,0,4
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주바닥청소업체,1,0,0,0,4
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주방청소업체,1,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주상가청소,32,0,0,0,1.1
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주상가청소업체,1,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주세면대청소,1,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주숙소청소,3,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주시가정집청소,3,0,0,0,2.3
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주시건물청소,1,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주시상가청소업체,2,0,0,0,1
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주시생활폐기물,12,0,0,0,1.8
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주시신축입주청소,1,0,0,0,2
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주시쓰레기수거,2,0,0,0,4
"파워링크",하나토탈클린New,제주지역키워드,모바일,제주시오피스텔입주청소,1,0,0,0,1
