"플레이스보고서(2025.06.01.~2025.06.30.),nobless55:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,가성비좋은한우고기집,1,0,0,0,2
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,거두리고기집,19,0,0,0,1.8
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,거두리맛집,645,3,88,264,2
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,거두리먹자골목,10,0,0,0,1
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,거두리먹자골목맛집,1,0,0,0,1
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,거두리소고기집,1,0,0,0,1
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,거두리오늘도한우,1,0,0,0,1
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,거두리육회,1,0,0,0,1
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,거두리음식점,4,0,0,0,2.3
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,거두리점심,37,0,0,0,1
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,거두리한우,19,0,0,0,1
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,거두리한우집,4,1,77,77,1
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,거두리회식장소,1,0,0,0,1
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,구워주는고기집춘천,1,0,0,0,3
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,오늘도한우,164,0,0,0,2.9
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,오늘도한우춘천,3,0,0,0,1.7
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,오늘은한우춘천,1,0,0,0,1
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,춘천가성비소고기,1,0,0,0,2
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,춘천가성비한우,4,0,0,0,3
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,춘천갈비,49,0,0,0,4.2
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,춘천갈비살,7,0,0,0,2.7
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,춘천거두리,2,0,0,0,2
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,춘천거두리가성비맛집,1,0,0,0,1
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,춘천거두리갈비,3,0,0,0,2
"파워링크",파워링크#1,파워링크 오늘도한우 춘천거두리점,PC,춘천거두리고기,1,0,0,0,3
