"플레이스보고서(2025.06.01.~2025.06.30.),pmc_ceo2016:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,1982베트남음식,1,0,0,0,2
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,BIGPHO,2,0,0,0,1
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,BIGPHO1982,2,0,0,0,2
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,가양빅포1982쌀국수,1,0,0,0,1
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,가정동맛집,16,0,0,0,10.5
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,가정맛집,13,0,0,0,2.5
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,갈쌈인천청라점인천광역시서구청라동,1,0,0,0,2
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,검단고기집,1,0,0,0,5
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,검단맛집,18,0,0,0,11.2
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,검단사거리맛집,26,0,0,0,9.1
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,검단삼계탕,2,0,0,0,2
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,검단소고기맛집,1,0,0,0,3
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,검암동맛집,106,0,0,0,8
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,계양구맛집,15,0,0,0,13.9
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,계양구청맛집,145,0,0,0,7.6
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,계양맛집,9,0,0,0,10.4
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,고촌맛집,12,0,0,0,11.7
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,곱창쌀국수,235,0,0,0,2.4
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,구래동맛집,69,0,0,0,10
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,구래역맛집,58,1,77,77,9.1
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,구월동맛집,20,0,0,0,27.3
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,국수골목비빔쌀국수,1,0,0,0,1
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,국수요리,7,0,0,0,6.7
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,근처쌀국수맛집,7,0,0,0,2.9
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,근처쌀국수집,1,0,0,0,3
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,김포맛집,12,0,0,0,32.2
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,남동구맛집,4,0,0,0,16
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,남동구식당,1,0,0,0,10
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,당하동맛집,98,0,0,0,7.7
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,도가니쌀국수,4,0,0,0,1
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,동양솥밥청라,8,0,0,0,1.1
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,띤뜨청라,3,0,0,0,1.7
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,루원빅포,2,0,0,0,1
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,루원시티맛집,55,0,0,0,9.7
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,루원시티베트남음식,1,0,0,0,2
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,루원시티빅포1982,1,0,0,0,1
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,루원시티쌀국수,13,0,0,0,1.9
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,루원시티쌀국수맛집,6,0,0,0,1
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,루원시티음식점,4,0,0,0,2
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,루원시티찐맛집,1,0,0,0,3
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,막국수,1,0,0,0,50
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,망향비빔국수청라,19,0,0,0,1
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,모닝글로리볶음,"1,417",2,77,154,5.2
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,반쎄오맛있는베트남음식점,2,0,0,0,1
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,반쎄오맛집,101,0,0,0,2
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,반쎄오분짜,1,0,0,0,3
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,반쎄오파는곳,2,0,0,0,1
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,배곧맛집,48,0,0,0,11.4
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,배달쌀국수,3,0,0,0,4.3
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,베트남다낭가볼만한곳,139,0,0,0,7.9
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,베트남비빔쌀국수,3,0,0,0,1.7
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,베트남식당인천,1,0,0,0,1
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,베트남식쌀국수맛집,1,0,0,0,2
"파워링크",빅포1982 파워링크,빅포1982 청라점 파워링크,PC,베트남쌀국수,10,0,0,0,23.2
