"플레이스보고서(2025.06.01.~2025.06.30.),rigel8413:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,남도정원한정식,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,명궁관순천,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천1인식당,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천가족모임,3,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천가족외식공간,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천게장정식,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천고급한정식,2,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천고희연,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천근처맛집,2,0,0,0,6
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천남녘들,7,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천남녘들밥상,2,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천남도한정식,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천떡갈비,7,0,0,0,1.4
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천떡갈비맛집,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천맛집,193,0,0,0,8.6
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천맛집추천,37,0,0,0,4.2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천먹거리,8,0,0,0,5.8
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천명가한정식,2,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천명궁관,22,0,0,0,1.4
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천명궁관상견례,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천명궁관주차장,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천명궁관주차정보,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천백반맛집,2,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천백반집,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천보리굴비,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천삼합,2,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천삼합맛집,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천상견례,10,0,0,0,2.3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천상견례식당,3,0,0,0,1.3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천손님모시고가기좋은식당,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천시꼬막한정식,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천시맛집,9,0,0,0,5.2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천시연향동맛집,1,0,0,0,5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천시중앙동맛집,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천시청맛집,6,0,0,0,2.2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천시한정식,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천여행맛집,3,0,0,0,2.7
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천연향동한정식,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천장천동식당,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천저녁맛집,3,0,0,0,1.7
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천저녁외식맛집,1,0,0,0,2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천점심추천,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천정원박람회맛집,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천정원상견례,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천정원한정식,2,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천중앙동맛집,21,0,0,0,1.5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천촬영지,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천탐라,4,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천한상차림,3,0,0,0,1.7
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천한식맛집,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천한정식,79,3,73,220,2.6
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천한정식대원식당,3,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천한정식룸식당,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천한정식맛집,26,0,0,0,2.8
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천한정식신화정,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천현지인맛집,8,0,0,0,5.5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천홍어맛집,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,순천회정식,1,0,0,0,3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,연향동한정식,2,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,장천동맛집,1,0,0,0,2
