"플레이스보고서(2025.06.01.~2025.06.30.),saddoll77:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,"#연안부두맛집#충청도7호",1,1,77,77,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,근처게장맛집,3,0,0,0,3.7
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안맛집충청도7호,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두**호,1,0,0,0,3
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두60첩가격,1,0,0,0,3
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두60첩반상,389,3,62,187,2.2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두60첩반상\,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두60첩반상충청도,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두7호횟집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두게장,12,0,0,0,1.5
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두게장맛집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두노포맛집,2,0,0,0,1.5
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두어시장,351,0,0,0,3.9
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두잡은생선,1,0,0,0,2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두충청7호,5,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두충청7호횟집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두충청도7,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두충청도7호,94,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두충청도7호6인,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두충청도7호\,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두충청도7호메뉴,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두충청도7호집,4,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두충청도7호횟집,95,6,77,462,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두충청도식당,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두충청도집,1,1,77,77,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두충청도횟집,26,12,77,924,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,연안부두횟집충청도7호,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천60첩반상횟집가격,1,0,0,0,2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천공항근교맛집,1,0,0,0,3
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천공항근처맛집,293,0,0,0,5.3
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천국제공항근처맛집,1,0,0,0,2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천근처맛집,2,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천부두맛집,1,0,0,0,2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천연안부두60가지반찬횟집,1,0,0,0,3
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천연안부두60첩,2,0,0,0,1.5
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천연안부두60첩반상,27,2,77,154,2.6
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천연안부두60첩반상횟집,2,1,77,77,3
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천연안부두게장,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천연안부두근처맛집,2,0,0,0,1.5
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천연안부두맛집충청도7호횟집,1,1,77,77,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천연안부두밥집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천연안부두식당,7,1,396,396,1.4
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천연안부두충청도7호,16,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천연안부두충청도7호횟집,20,1,242,242,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천연안부두충청도집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천연안부두충청도횟집,2,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천연안부두충청도횟집7호횟집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천연안부두해물찜맛집,1,0,0,0,2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천연안부두횟집충청도7호,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천중구충청도횟집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천충청도7호횟집,30,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천충청도7호횟집가격,1,1,77,77,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천충청도횟집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천토박이맛집,2,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천횟집충청도,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,인천횟집충청도7호,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,중구연안동충청도횟집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,충청7호,7,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,충청7호횟집,4,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,충청7호횟집예약,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,충청7호횟집주차,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,충청권맛집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,충청도6호횟집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,충청도7호,63,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,충청도7호맛집,1,1,77,77,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,충청도7호식당,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,충청도7호연안부두,61,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,충청도7호횟집2인,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,충청도7호횟집3인식사,1,1,77,77,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,충청도7호횟집가격,24,2,77,154,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,충청도연안부두,2,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,충청도해물,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,충청도횟집,19,5,246,"1,232",1.1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,충청도횟집5호,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,충청도횟집7호,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,충청도횟집연안부두,3,1,77,77,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,충청맛집,4,0,0,0,1.5
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,충청집인천연안부두,1,1,77,77,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),PC,충청횟집,1,0,0,0,2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,60첩맛집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,60첩반상연안부두맛집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,60첩반상연안부두충청도7호,1,1,77,77,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,60첩반상연안부두횟집,1,0,0,0,3
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,60첩반상인천,1,0,0,0,3
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,60첩반상인천연안부두맛집,2,0,0,0,2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,60첩반상인천충청도7호맛집,1,1,77,77,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,60첩반상충청도횟집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,60첩연안부두맛집,3,1,77,77,3
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,7호횟집,8,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,근처게장맛집,52,0,0,0,2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,근처꽃게장맛집,3,0,0,0,2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,근처맛집게장,2,0,0,0,2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,맛집연안부두,1,0,0,0,2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,바다뷰맛집,14,0,0,0,1.8
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,부두맛집,2,0,0,0,2.5
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안맛집,4,0,0,0,2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두.맛집,1,0,0,0,2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두.충청도7호횟집,2,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두2인맛집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두60반상나오는횟집,1,0,0,0,2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두60반찬맛집,1,1,165,165,2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두60첩가격,6,0,0,0,3.3
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두60첩맛집,2,0,0,0,3
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두60첩반상,"1,634",48,82,"3,927",2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두60첩반상쯔양,5,0,0,0,2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두60첩반상충청도,3,2,77,154,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두60첩반상충청도7호,2,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두60첩반찬,1,0,0,0,2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두60첩식당,1,0,0,0,3
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두60첩한상차림,1,0,0,0,2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두60첩횟집,1,0,0,0,2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두7호집충청도,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두7호충청도집,2,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두7호충청도횟집,1,1,77,77,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두7호횟집,31,1,77,77,2.3
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두게장,104,0,0,0,1.9
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두게장맛집,18,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두게장식당,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두게장집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두공주횟집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두근처식당,2,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두꽃게장,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두라떼맛집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두로맛집,3,0,0,0,2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두로충청도7호,1,1,77,77,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두로충청도회집4층,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두맛집.충청도7호집,1,1,77,77,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두맛집3인,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두맛집게장,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두맛집인천,1,0,0,0,3
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두맛집충청7호,3,1,77,77,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두맛집충청도,2,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두맛집충청도7호,31,17,77,"1,309",1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두맛집충청도9호,2,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두빙수맛집,2,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두생선맛집,1,0,0,0,2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두식당맛집,1,0,0,0,2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두식당추천,4,0,0,0,1.5
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두어시장,232,0,0,0,3.1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두어시장충청도7호횟집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두어시장충청도횟집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두인천맛집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두집,1,0,0,0,2
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두짜장맛집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청17호맛집,1,1,77,77,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청7,2,1,77,77,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청7호,28,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청7호점,2,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청7호집,8,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청7호횟집,13,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청7횟집,2,2,77,154,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청도,17,8,77,616,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청도10호,1,1,77,77,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청도17호집,1,1,77,77,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청도2인,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청도5호집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청도60첩,1,1,77,77,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청도60첩반상,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청도6호집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청도6호횟집,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청도7,11,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청도7호,648,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청도7호2인,4,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청도7호금액,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청도7호맛집,1,1,77,77,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청도7호매운탕,1,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청도7호메뉴,16,0,0,0,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청도7호점,6,3,77,231,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청도7호집,40,1,77,77,1
"파워링크",파워링크#3 상위노출,상위노출_#1 (10~19시),모바일,연안부두충청도7호집가격,1,1,77,77,1
