"플레이스보고서(2025.06.01.~2025.06.30.),shako32:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",01. [RD] 지역설정_MO,"01. 사진관,스튜디오KW",모바일,근처사진관,"1,170",38,641,"24,376",1.4
"파워링크",01. [RD] 지역설정_MO,"01. 사진관,스튜디오KW",모바일,근처증명사진관,5,0,0,0,3.2
"파워링크",01. [RD] 지역설정_MO,"01. 사진관,스튜디오KW",모바일,내근처증명사진관,2,0,0,0,2
"파워링크",01. [RD] 지역설정_MO,"01. 사진관,스튜디오KW",모바일,돌사진스튜디오,2,0,0,0,13
"파워링크",01. [RD] 지역설정_MO,"01. 사진관,스튜디오KW",모바일,사진관,"6,887",19,"1,029","19,547",2.6
"파워링크",01. [RD] 지역설정_MO,"01. 사진관,스튜디오KW",모바일,사진관윤슬,53,0,0,0,1
"파워링크",01. [RD] 지역설정_MO,"01. 사진관,스튜디오KW",모바일,사진윤슬,2,0,0,0,2
"파워링크",01. [RD] 지역설정_MO,"01. 사진관,스튜디오KW",모바일,스튜디오,2,0,0,0,2
"파워링크",01. [RD] 지역설정_MO,"01. 사진관,스튜디오KW",모바일,스튜디오촬영가격,1,0,0,0,4
"파워링크",01. [RD] 지역설정_MO,"01. 사진관,스튜디오KW",모바일,윤슬사진,2,0,0,0,2
"파워링크",01. [RD] 지역설정_MO,"01. 사진관,스튜디오KW",모바일,윤슬사진관,27,0,0,0,1
"파워링크",01. [RD] 지역설정_MO,"01. 사진관,스튜디오KW",모바일,호수공원사진관,2,0,0,0,1.5
"파워링크",01. [RD] 지역설정_MO,"01. 사진관,스튜디오KW",모바일,호수사진관,9,1,77,77,1.4
"파워링크",01. [RD] 지역설정_MO,"02. 증명사진,여권KW",모바일,2동탄배경사진,1,0,0,0,2
"파워링크",01. [RD] 지역설정_MO,"02. 증명사진,여권KW",모바일,가족사진,480,0,0,0,1.9
"파워링크",01. [RD] 지역설정_MO,"02. 증명사진,여권KW",모바일,근처사진관인화,2,0,0,0,1.5
"파워링크",01. [RD] 지역설정_MO,"02. 증명사진,여권KW",모바일,근처사진관출력,1,0,0,0,1
"파워링크",01. [RD] 지역설정_MO,"02. 증명사진,여권KW",모바일,근처프린트출력,1,0,0,0,3
"파워링크",01. [RD] 지역설정_MO,"02. 증명사진,여권KW",모바일,남자여권사진,37,0,0,0,2.1
"파워링크",01. [RD] 지역설정_MO,"02. 증명사진,여권KW",모바일,남자증명사진,12,0,0,0,3.9
"파워링크",01. [RD] 지역설정_MO,"02. 증명사진,여권KW",모바일,단체사진,59,0,0,0,2.8
"파워링크",01. [RD] 지역설정_MO,"02. 증명사진,여권KW",모바일,동탄.증명사진.저렴한곳,2,1,704,704,1
"파워링크",01. [RD] 지역설정_MO,"02. 증명사진,여권KW",모바일,동탄반명함사진,1,0,0,0,1
"파워링크",01. [RD] 지역설정_MO,"02. 증명사진,여권KW",모바일,동탄사진관보정,1,0,0,0,2
"파워링크",01. [RD] 지역설정_MO,"02. 증명사진,여권KW",모바일,동탄사진싼곳,1,0,0,0,2
"파워링크",01. [RD] 지역설정_MO,"02. 증명사진,여권KW",모바일,동탄사진출력,2,0,0,0,2.5
"파워링크",01. [RD] 지역설정_MO,"02. 증명사진,여권KW",모바일,동탄사진현상,1,0,0,0,1
"파워링크",01. [RD] 지역설정_MO,"02. 증명사진,여권KW",모바일,동탄여권만드는곳,2,0,0,0,1
"파워링크",01. [RD] 지역설정_MO,"02. 증명사진,여권KW",모바일,동탄증명사진보정,1,0,0,0,3
"파워링크",01. [RD] 지역설정_MO,"02. 증명사진,여권KW",모바일,동탄증명사진저렴,1,0,0,0,1
"파워링크",01. [RD] 지역설정_MO,"02. 증명사진,여권KW",모바일,동탄증명사진저렴한곳,2,0,0,0,2.5
"파워링크",01. [RD] 지역설정_MO,"02. 증명사진,여권KW",모바일,동탄증명사진출력,2,0,0,0,2
"파워링크",01. [RD] 지역설정_MO,"02. 증명사진,여권KW",모바일,동탄포토샵사진관,1,0,0,0,2
"파워링크",01. [RD] 지역설정_MO,"02. 증명사진,여권KW",모바일,동탄프린트싼곳,2,0,0,0,2
"파워링크",01. [RD] 지역설정_MO,"02. 증명사진,여권KW",모바일,동탄프린트하는곳,3,0,0,0,1.7
"파워링크",01. [RD] 지역설정_MO,"02. 증명사진,여권KW",모바일,동탄핸드폰사진인화하는곳,1,0,0,0,1
