"플레이스보고서(2025.06.01.~2025.06.30.),shil4603:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",[RD] 지역설정 KW,메인 KW,PC,근처미용실,1,0,0,0,9
"파워링크",[RD] 지역설정 KW,메인 KW,PC,내근처헤어샵,1,0,0,0,4
"파워링크",[RD] 지역설정 KW,메인 KW,PC,미용실,37,0,0,0,3.2
"파워링크",[RD] 지역설정 KW,메인 KW,PC,미용실예약,17,0,0,0,3.6
"파워링크",[RD] 지역설정 KW,메인 KW,PC,헤어샵,7,0,0,0,1.7
"파워링크",[RD] 지역설정 KW,메인 KW,모바일,내근처미용실,3,0,0,0,3.3
"파워링크",[RD] 지역설정 KW,메인 KW,모바일,내주변미용실,1,0,0,0,3
"파워링크",[RD] 지역설정 KW,메인 KW,모바일,미용실,651,3,367,"1,100",3
"파워링크",[RD] 지역설정 KW,메인 KW,모바일,미용실예약,8,0,0,0,4.8
"파워링크",[RD] 지역설정 KW,메인 KW,모바일,미용실추천,1,0,0,0,4
"파워링크",[RD] 지역설정 KW,메인 KW,모바일,주변미용실,2,0,0,0,4
"파워링크",[RD] 지역설정 KW,메인 KW,모바일,헤어살롱,1,0,0,0,3
"파워링크",[RD] 지역설정 KW,메인 KW,모바일,헤어샵,28,0,0,0,3.1
"파워링크",[RD] 지역설정 KW,메인 KW,모바일,헤어샵예약,1,0,0,0,4
"파워링크",[RD] 지역설정 KW,메인 KW,모바일,헤어스타일추천,2,0,0,0,2.5
"파워링크",[RD] 지역설정 KW,서브 KW,PC,C컬펌,3,0,0,0,3
"파워링크",[RD] 지역설정 KW,서브 KW,PC,MAGIC,1,0,0,0,6
"파워링크",[RD] 지역설정 KW,서브 KW,PC,가르마펌,6,0,0,0,2
"파워링크",[RD] 지역설정 KW,서브 KW,PC,가일컷,3,0,0,0,2.3
"파워링크",[RD] 지역설정 KW,서브 KW,PC,구름펌,2,0,0,0,1
"파워링크",[RD] 지역설정 KW,서브 KW,PC,굵은히피펌,2,0,0,0,1
"파워링크",[RD] 지역설정 KW,서브 KW,PC,긴단발헤어스타일,2,0,0,0,2
"파워링크",[RD] 지역설정 KW,서브 KW,PC,긴머리레이어드컷,2,0,0,0,2.5
"파워링크",[RD] 지역설정 KW,서브 KW,PC,긴머리볼륨매직,1,0,0,0,1
"파워링크",[RD] 지역설정 KW,서브 KW,PC,긴머리스타일,1,0,0,0,3
"파워링크",[RD] 지역설정 KW,서브 KW,PC,긴머리펌,3,0,0,0,3.7
"파워링크",[RD] 지역설정 KW,서브 KW,PC,긴머리히피펌,1,0,0,0,1
"파워링크",[RD] 지역설정 KW,서브 KW,PC,남자볼륨매직,4,0,0,0,5.3
"파워링크",[RD] 지역설정 KW,서브 KW,PC,남자볼륨펌,3,0,0,0,2.7
"파워링크",[RD] 지역설정 KW,서브 KW,PC,다운펌,3,0,0,0,6
"파워링크",[RD] 지역설정 KW,서브 KW,PC,단발,3,0,0,0,3
"파워링크",[RD] 지역설정 KW,서브 KW,PC,단발C컬,1,0,0,0,2
"파워링크",[RD] 지역설정 KW,서브 KW,PC,단발S컬펌,1,0,0,0,5
"파워링크",[RD] 지역설정 KW,서브 KW,PC,단발레이어드컷,3,0,0,0,3.3
"파워링크",[RD] 지역설정 KW,서브 KW,PC,단발머리,6,0,0,0,1.5
"파워링크",[RD] 지역설정 KW,서브 KW,PC,단발머리스타일,3,0,0,0,5
"파워링크",[RD] 지역설정 KW,서브 KW,PC,단발머리스타일링,1,0,0,0,3
"파워링크",[RD] 지역설정 KW,서브 KW,PC,단발머리펌,4,0,0,0,2.8
"파워링크",[RD] 지역설정 KW,서브 KW,PC,단발볼륨매직,2,0,0,0,3
"파워링크",[RD] 지역설정 KW,서브 KW,PC,단발스타일,2,0,0,0,2
"파워링크",[RD] 지역설정 KW,서브 KW,PC,단발컷,2,0,0,0,2
"파워링크",[RD] 지역설정 KW,서브 KW,PC,단발펌,7,0,0,0,1.7
"파워링크",[RD] 지역설정 KW,서브 KW,PC,단발헤어스타일,6,0,0,0,1.5
"파워링크",[RD] 지역설정 KW,서브 KW,PC,단발히피펌,1,0,0,0,2
"파워링크",[RD] 지역설정 KW,서브 KW,PC,댄디컷,3,0,0,0,2.7
"파워링크",[RD] 지역설정 KW,서브 KW,PC,댄디펌,2,0,0,0,1.5
"파워링크",[RD] 지역설정 KW,서브 KW,PC,드랍컷,3,0,0,0,1.3
"파워링크",[RD] 지역설정 KW,서브 KW,PC,드롭컷,6,0,0,0,1.3
"파워링크",[RD] 지역설정 KW,서브 KW,PC,레이어드,1,0,0,0,3
"파워링크",[RD] 지역설정 KW,서브 KW,PC,레이어드C컬펌,2,0,0,0,4
"파워링크",[RD] 지역설정 KW,서브 KW,PC,레이어드컷,5,0,0,0,3.8
