"플레이스보고서(2025.06.01.~2025.06.30.),skot78:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,건물전체도배,1,0,0,0,1
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,단열필름접착면이아닌면으로시공해야되나?,1,0,0,0,3
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,달서구인테리어,8,0,0,0,13.1
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,대구달성군인테리어,1,0,0,0,8
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,대구동구도배봉무동이시아폴리스2차34평도배시공,1,0,0,0,1
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,대구리모델링업체,1,0,0,0,25
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,대구북구인테리어,2,0,0,0,9
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,대구수성구인테리어,5,0,0,0,14.8
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,대구시트,12,0,0,0,2.5
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,대구시트지,19,0,0,0,8.6
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,대구아파트리모델링,95,4,"1,581","6,325",3.2
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,대구아파트리모델링업체,5,1,143,143,5
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,대구아파트인테리어,148,4,"4,054","16,214",6.4
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,대구아파트인테리어업체,3,0,0,0,12.3
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,대구인테리어,9,0,0,0,40.3
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,대구인테리어꼼꼼한곳,1,0,0,0,2
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,대구인테리어업체,3,0,0,0,39
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,대구인테리어잘하는곳,3,0,0,0,10
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,대구인테리어추천,1,0,0,0,10
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,대구인테리어필름,137,1,"2,387","2,387",4.4
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,대구인테리어필름지,1,0,0,0,4
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,대구주택리모델링,6,0,0,0,20.3
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,대구학원인테리어,5,1,143,143,16.8
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,도배걸레받이없이,1,0,0,0,2
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,도배및인테리어필름시공,1,0,0,0,3
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,도배지위에도장,1,0,0,0,1
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,도배지위에필름,1,0,0,0,1
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,도배필름만할경우보양필요,1,0,0,0,1
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,수성구인테리어,2,0,0,0,3
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,월성인테리어,1,0,0,0,7
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,이시아폴리스더샵리모델링,4,0,0,0,2
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,이시아폴리스인테리어,2,0,0,0,2
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,이안동대구인테리어,22,0,0,0,2.5
"파워링크",우 인테리어,우 인테리어 서브키워드,PC,필름도배일하는법,1,0,0,0,1
"파워링크",우 인테리어,우 인테리어 서브키워드,모바일,거실여름인데타일위에뭐깔아야할까요,1,0,0,0,2
"파워링크",우 인테리어,우 인테리어 서브키워드,모바일,거실인테리어필름도배과정,1,0,0,0,3
"파워링크",우 인테리어,우 인테리어 서브키워드,모바일,달서구인테리어,3,0,0,0,18.7
"파워링크",우 인테리어,우 인테리어 서브키워드,모바일,대구더좋은인테리어,1,0,0,0,1
"파워링크",우 인테리어,우 인테리어 서브키워드,모바일,대구도배만하는곳,1,1,946,946,2
"파워링크",우 인테리어,우 인테리어 서브키워드,모바일,대구도배장판볼수있는곳,1,0,0,0,1
