"플레이스보고서(2025.06.01.~2025.06.30.),skykr2109:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",디자인R,디자인R_광고그룹#1,PC,34평롯데캐슬부분인테리어,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,R인테리어,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,강서공간디자인,1,0,0,0,3
"파워링크",디자인R,디자인R_광고그룹#1,PC,강서구명지,76,0,0,0,1.1
"파워링크",디자인R,디자인R_광고그룹#1,PC,강서구명지리모델링,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,강서구인테리어잘하는곳,1,0,0,0,5
"파워링크",디자인R,디자인R_광고그룹#1,PC,강서명지아파트,3,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,강서인테리어업체,1,0,0,0,6
"파워링크",디자인R,디자인R_광고그룹#1,PC,공간인테리어화명,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,금정구인테리어,46,0,0,0,4.1
"파워링크",디자인R,디자인R_광고그룹#1,PC,기장인테리어,21,0,0,0,6.2
"파워링크",디자인R,디자인R_광고그룹#1,PC,다대포몰운대롯데캐슬,4,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,단열잘하는부산인테리어,1,0,0,0,3
"파워링크",디자인R,디자인R_광고그룹#1,PC,대방명지,2,0,0,0,1.5
"파워링크",디자인R,디자인R_광고그룹#1,PC,더샵명지퍼스트월드,13,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,동래구인테리어,20,0,0,0,8
"파워링크",디자인R,디자인R_광고그룹#1,PC,동래인테리어,63,0,0,0,5.6
"파워링크",디자인R,디자인R_광고그룹#1,PC,디자인엔명지,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,디자인하라부산,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,디자인하우스부산,1,0,0,0,2
"파워링크",디자인R,디자인R_광고그룹#1,PC,롯데캐슬명지,6,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,롯데캐슬아파트인테리어,1,0,0,0,5
"파워링크",디자인R,디자인R_광고그룹#1,PC,롯데캐슬전실,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,롯데캐슬카이저화명,5,0,0,0,1.2
"파워링크",디자인R,디자인R_광고그룹#1,PC,마린시티인테리어,1,0,0,0,2
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지1동아파트,3,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지1등아파트,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지1차아파트,6,0,0,0,1.2
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지1차아파트19평리모델링,2,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지1층상가,1,0,0,0,2
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지20평대아파트,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지24평아파트,2,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지2차아파트,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지30평,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지30평아파트,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지34평,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지3차아파트,5,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지40평대,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지55평,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지60평대,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지LX,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지LX시공,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지\중흥S클래스,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지걸레받이,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지국제,47,0,0,0,2
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지국제신도시아파트,143,0,0,0,5
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지국제신도시인테리어,3,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지국제아파트,9,0,0,0,1.7
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지국제인테리어,1,0,0,0,2
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지그린코아,7,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지극동,34,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지극동34리모델링,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지극동리모델링34평,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지극동스타클래스인테리어,8,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지극동인테리어,22,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지대방,2,0,0,0,2.5
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지대방1차,143,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지대방노블랜드1차,52,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지더,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지더뷰클래스,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지더샵2단지,2,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지더샵34평인테리어,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지더샵상가,13,0,0,0,2
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지더웨스턴아파트,21,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지더웨스턴인테리어,2,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지더웨스턴인테리어가격,3,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지더힐,85,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지더힐시그니처40평인테리어,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지동아파트인테리어,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지동엘크루,6,0,0,0,1.2
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지동엘크루블루오션,8,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지동오션시티,5,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지동인테리어,9,0,0,0,2.9
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지디자인,2,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지롯데,12,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지롯데50평인테리어,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지롯데아파트,2,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지롯데캐슬54리모델링,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지롯데캐슬54평,6,1,77,77,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지롯데캐슬54평인테리어,3,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지롯데캐슬도배,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지롯데캐슬상가업체찾기,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지롯데캐슬엘크루,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지롯데캐슬인테리어,13,0,0,0,1.5
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지롯데캐슬현관,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지리모델링,10,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지방음벽인테리어,1,1,77,77,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지복층아파트,2,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지부분도배,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지부분인테리어,1,1,"1,122","1,122",1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지부산,4,0,0,0,1.5
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지부산아파트,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지부영,2,0,0,0,3
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지부영아파트,31,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지뷰좋은아파트,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지블루오션,13,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지블루오션엘크루,3,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지블루오션엘크루월세,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지사무실,7,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지사무실인테리어,1,0,0,0,2
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지삼정,11,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지삼정40평,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지삼정그린,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지삼정그린코아34평,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지삼정그린코아구조도면치수오션시티,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지삼정그린코아베스트,8,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지삼정아파트,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지상가10평,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지상가1층,2,0,0,0,2
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지상가인테리어,9,0,0,0,2.9
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지시그니처,4,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지시티,3,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지시티오션,1,0,0,0,3
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지신도시,767,1,"1,507","1,507",5.2
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지신도시아파트,3,0,0,0,3
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지신도시중흥,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지신혼부부,3,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지신혼집,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지싱크대수전교체,1,0,0,0,3
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지씽크대,1,0,0,0,3
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지아파트25평,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지아파트34평,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지아파트가,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지아파트명지,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지아파트변화,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지아파트분양,1,0,0,0,2
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지아파트비싼곳,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지아파트신축,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지아파트씽크대,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지아파트오션뷰,1,0,0,0,1
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지아파트인테리어,1,0,0,0,3
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지아파트청소,1,0,0,0,3
"파워링크",디자인R,디자인R_광고그룹#1,PC,명지에듀오션,1,0,0,0,1
