"플레이스보고서(2025.06.01.~2025.06.30.),th5605:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",파워링크#1,메인1,PC,KT,28,0,0,0,21.5
"파워링크",파워링크#1,메인1,PC,KT모바일검단,1,1,77,77,1
"파워링크",파워링크#1,메인1,PC,KT아이폰성지,1,0,0,0,8
"파워링크",파워링크#1,메인1,PC,KT핸드폰성지,4,0,0,0,3.8
"파워링크",파워링크#1,메인1,PC,KT휴대폰성지,2,0,0,0,4
"파워링크",파워링크#1,메인1,PC,LG,498,1,77,77,23.1
"파워링크",파워링크#1,메인1,PC,LG핸드폰인터넷성지,1,0,0,0,3
"파워링크",파워링크#1,메인1,PC,LG휴대폰성지,2,0,0,0,5
"파워링크",파워링크#1,메인1,PC,SAMSUNG,7,0,0,0,9.1
"파워링크",파워링크#1,메인1,PC,SK핸드폰성지,4,0,0,0,5.5
"파워링크",파워링크#1,메인1,PC,SK휴대폰성지,2,0,0,0,2.5
"파워링크",파워링크#1,메인1,PC,TV인터넷휴대폰성지,1,0,0,0,2
"파워링크",파워링크#1,메인1,PC,TV휴대폰성지,1,0,0,0,1
"파워링크",파워링크#1,메인1,PC,검단KT모바일,1,0,0,0,1
"파워링크",파워링크#1,메인1,PC,검단동스마트폰,1,0,0,0,2
"파워링크",파워링크#1,메인1,PC,검단리퍼,1,0,0,0,1
"파워링크",파워링크#1,메인1,PC,검단매입,1,0,0,0,1
"파워링크",파워링크#1,메인1,PC,검단서구핸드폰,1,1,66,66,1
"파워링크",파워링크#1,메인1,PC,검단성지,4,1,583,583,1.8
"파워링크",파워링크#1,메인1,PC,검단성지폰,1,1,737,737,1
"파워링크",파워링크#1,메인1,PC,검단신도시,6,0,0,0,26.5
"파워링크",파워링크#1,메인1,PC,검단신도시성지,3,0,0,0,1
"파워링크",파워링크#1,메인1,PC,검단신도시성지핸드폰,1,0,0,0,1
"파워링크",파워링크#1,메인1,PC,검단신도시중고폰,1,1,55,55,1
"파워링크",파워링크#1,메인1,PC,검단신도시핸드폰,6,1,"1,298","1,298",1
"파워링크",파워링크#1,메인1,PC,검단신도시핸드폰매장,1,1,66,66,1
"파워링크",파워링크#1,메인1,PC,검단신도시핸드폰성지,3,1,407,407,1
"파워링크",파워링크#1,메인1,PC,검단신도시휴대폰,11,2,941,"1,881",1
"파워링크",파워링크#1,메인1,PC,검단신도시휴대폰매장,5,0,0,0,1
"파워링크",파워링크#1,메인1,PC,검단신도시휴대폰성지,15,0,0,0,1
"파워링크",파워링크#1,메인1,PC,검단신도시휴대폰싼곳,1,0,0,0,1
"파워링크",파워링크#1,메인1,PC,검단아라동중고폰,2,0,0,0,1
"파워링크",파워링크#1,메인1,PC,검단아라폰성지,1,0,0,0,1
"파워링크",파워링크#1,메인1,PC,검단중고폰,3,1,924,924,2.7
"파워링크",파워링크#1,메인1,PC,검단중고폰판매,1,0,0,0,3
"파워링크",파워링크#1,메인1,PC,검단핸드폰,13,1,"1,144","1,144",1.2
"파워링크",파워링크#1,메인1,PC,검단핸드폰가게,1,0,0,0,1
"파워링크",파워링크#1,메인1,PC,검단핸드폰매장,4,1,539,539,1
