"플레이스보고서(2025.06.01.~2025.06.30.),thankstoto_pangyo:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",판교점_파워링크,관련키워드 ALL,PC,감일동키즈카페,3,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,고마워토토판교,16,1,77,77,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,고마워토토판교점,2,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,고마워토토판교점복숭아,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,놀이의발견키즈라운지판교,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,대장동키즈카페,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당18개월실내놀이터,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당갈만한곳아이,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당구키즈카페,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당놀이,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당놀이터,7,1,77,77,1.6
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당대형키즈카페,5,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당동놀이터,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당동키즈카페,2,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당모래놀이,3,0,0,0,1.7
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당실내놀이터,5,0,0,0,1.2
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당아기놀이터,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당아기랑,1,0,0,0,3
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당아기랑갈만한곳,6,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당아기랑실내,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당아기랑카페,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당아동실내놀이터,2,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당아이랑갈만한곳,6,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당아이랑실내,3,1,77,77,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당아이와,4,1,88,88,1.3
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당어린이놀이,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당어린이놀이터,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당어린이실내놀이터,2,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당유아놀이,2,0,0,0,3
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당키즈카페,94,1,121,121,1.1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당판교아기랑,1,0,0,0,2
"파워링크",판교점_파워링크,관련키워드 ALL,PC,분당판교키즈카페,4,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,서현동키즈카페,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남가볼만한곳,231,0,0,0,2
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남갈만한곳아이,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남관광지,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남놀이,2,0,0,0,1.5
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남놀이터,4,0,0,0,2.5
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남대형키즈카페,13,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남모래놀이,2,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남모래놀이카페,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남분당키즈카페,2,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남시놀이터,7,0,0,0,2.3
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남시놀이터아기랑,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남시명소,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남시모래놀이,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남시실내놀이,1,0,0,0,2
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남시실내어린이놀이터,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남시어린이놀이터,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남시어린이와가볼만한곳,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남시어린이체험,1,0,0,0,2
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남시키즈카페,3,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남실내놀이터,3,0,0,0,2
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남실내아기랑,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남실내키즈,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남아기놀이터,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남아기랑,12,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남아기랑갈만한곳,3,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남아기랑갈만한곳실내,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남아기랑실내,3,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남아기랑카페,7,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남아동실내놀이터,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남아이들체험,1,0,0,0,2
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남아이랑,6,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남아이랑갈만한곳,11,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남아이랑실내,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남아이랑체험,1,0,0,0,2
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남아이와갈만한곳,4,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남어린이,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남어린이가볼만한곳,2,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남어린이갈만한곳,2,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남어린이놀이터,1,1,"1,100","1,100",2
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남어린이체험,5,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남어린이키즈카페,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남유아체험,2,0,0,0,2
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남유아파티룸,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남키즈룸,4,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남키즈카페,30,0,0,0,1.1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남키카,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,성남판교아기놀이터,2,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,수내동키즈카페,5,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,아기랑판교,1,0,0,0,2
"파워링크",판교점_파워링크,관련키워드 ALL,PC,운중동아기랑,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,이매동키즈카페,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,정자동키즈카페,9,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,키즈카페분당,4,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,키즈카페판교,1,0,0,0,3
"파워링크",판교점_파워링크,관련키워드 ALL,PC,판교고마워토토,3,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,판교놀이터,5,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,판교동키즈,1,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,판교동키즈카페,2,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,판교수련관,2,0,0,0,1
"파워링크",판교점_파워링크,관련키워드 ALL,PC,판교실내놀이터삼평,1,0,0,0,1
