"플레이스보고서(2025.06.01.~2025.06.30.),yhchoi1258:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,송도닭갈비,144,0,0,0,1.4
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,송도닭갈비맛집,13,0,0,0,1.5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,송도맛집,"1,229",0,0,0,4.1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,송도부대찌개,105,0,0,0,1.2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,송도부대찌개맛집,19,0,0,0,1.1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,인천닭갈비,116,0,0,0,1.6
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,인천맛집,31,0,0,0,22.2
"파워링크",파워링크#1,파워링크#1_광고그룹#1,PC,인천부대찌개,81,0,0,0,2.1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,모바일,송도닭갈비,"1,415",2,253,506,1.5
"파워링크",파워링크#1,파워링크#1_광고그룹#1,모바일,송도닭갈비맛집,171,1,77,77,1.7
"파워링크",파워링크#1,파워링크#1_광고그룹#1,모바일,송도맛집,"1,180",8,330,"2,640",9.8
"파워링크",파워링크#1,파워링크#1_광고그룹#1,모바일,송도부대찌개,831,1,352,352,1.6
"파워링크",파워링크#1,파워링크#1_광고그룹#1,모바일,송도부대찌개맛집,233,0,0,0,1.3
"파워링크",파워링크#1,파워링크#1_광고그룹#1,모바일,송도부대찌게,1,0,0,0,1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,모바일,인천닭갈비,623,1,99,99,1.6
"파워링크",파워링크#1,파워링크#1_광고그룹#1,모바일,인천맛집,162,2,325,649,26.1
"파워링크",파워링크#1,파워링크#1_광고그룹#1,모바일,인천부대찌개,546,0,0,0,2.1
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,-,33,1,88,88,2.8
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,국제업무지구역맛집,2,0,0,0,1
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,근처김치찌개,3,0,0,0,1.7
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,근처맛집,2,0,0,0,4
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,근처부대찌개,2,1,77,77,1
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,근처식당,5,0,0,0,1
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,김치찌개,33,1,55,55,1.5
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,닭갈비,59,3,77,231,1.1
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,닭갈비맛집,2,0,0,0,1
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,닭갈비송도,3,0,0,0,1
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,닭갈비인천,1,0,0,0,2
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,맛집,34,5,156,781,1.7
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,부대찌개,34,4,74,297,1
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,부대찌개맛집,4,0,0,0,1
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,부대찌개맛집인천,1,0,0,0,3
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,부대찌개송도,2,0,0,0,1
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,부대찌개인천,2,0,0,0,1
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,센트럴파크닭갈비,3,0,0,0,1
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,송도김치찌개,68,1,77,77,1.6
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,송도김치찌개맛집,50,3,81,242,1.6
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,송도닭갈비,234,4,105,418,1
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,송도닭갈비맛집,15,0,0,0,1
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,송도동김치찌개,1,0,0,0,2
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,송도동무한리필,3,0,0,0,1
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,송도맛집,16,4,253,"1,012",2.6
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,송도무한리필,161,4,72,286,1.9
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,송도부대찌개,131,9,122,"1,100",1
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,송도부대찌개맛집,27,2,77,154,1
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,송도센트럴파크닭갈비,3,0,0,0,1
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,송도센트럴파크부대찌개,5,1,77,77,1
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,송도식당,2,0,0,0,1
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,송도신도시닭갈비,7,0,0,0,1.9
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,송도신도시무한리필,5,0,0,0,2.4
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,송도신도시부대찌개,8,1,198,198,1.5
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,송도전골,10,0,0,0,1.9
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,송도전골맛집,11,0,0,0,1.2
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,송도찌개,46,0,0,0,1.5
"플레이스",플레이스#1,플레이스#1_광고그룹#1,PC,송도찌개맛집,14,0,0,0,1.5
