"플레이스보고서(2025.06.01.~2025.06.30.),ywj405040:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",[RD] 지역설정,[RD] 맛집,PC,근처맛집,16,0,0,0,5.8
"파워링크",[RD] 지역설정,[RD] 맛집,PC,내근처맛집,3,0,0,0,5.3
"파워링크",[RD] 지역설정,[RD] 맛집,PC,내주변맛집,1,0,0,0,8
"파워링크",[RD] 지역설정,[RD] 맛집,PC,맛집,33,0,0,0,4.6
"파워링크",[RD] 지역설정,[RD] 맛집,PC,주변맛집,7,0,0,0,6.6
"파워링크",[RD] 지역설정,[RD] 맛집,PC,흑돼지맛집,5,0,0,0,5
"파워링크",[RD] 지역설정,[RD] 맛집,모바일,근처맛집,153,0,0,0,5.8
"파워링크",[RD] 지역설정,[RD] 맛집,모바일,내근처맛집,201,1,627,627,3.1
"파워링크",[RD] 지역설정,[RD] 맛집,모바일,내주변맛집,6,0,0,0,19.8
"파워링크",[RD] 지역설정,[RD] 맛집,모바일,돼지고기맛있는집,2,0,0,0,4
"파워링크",[RD] 지역설정,[RD] 맛집,모바일,돼지고기맛집,6,0,0,0,3.2
"파워링크",[RD] 지역설정,[RD] 맛집,모바일,맛집,"1,128",2,528,"1,056",3.7
"파워링크",[RD] 지역설정,[RD] 맛집,모바일,맛집추천,17,1,649,649,2.9
"파워링크",[RD] 지역설정,[RD] 맛집,모바일,바베큐맛집,1,0,0,0,1
"파워링크",[RD] 지역설정,[RD] 맛집,모바일,삼겹살맛집,15,0,0,0,3
"파워링크",[RD] 지역설정,[RD] 맛집,모바일,소갈비맛집,1,0,0,0,4
"파워링크",[RD] 지역설정,[RD] 맛집,모바일,소고기맛집,5,0,0,0,3.6
"파워링크",[RD] 지역설정,[RD] 맛집,모바일,애견동반맛집,2,0,0,0,2
"파워링크",[RD] 지역설정,[RD] 맛집,모바일,주변맛집,37,1,616,616,8.1
"파워링크",[RD] 지역설정,[RD] 맛집,모바일,한우맛집,2,0,0,0,3
"파워링크",[RD] 지역설정,[RD] 맛집,모바일,흑돼지맛집,27,0,0,0,3.6
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",PC,바베큐장,2,0,0,0,1
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",PC,삼겹,2,0,0,0,3
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",PC,야외고기집,1,0,0,0,1
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",PC,제주발리가든,1,0,0,0,1
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",PC,흑돼지,3,0,0,0,5
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",PC,흑돼지오겹살,2,0,0,0,6.5
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",PC,흙돼지,2,0,0,0,6
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",모바일,고기굽는정원제주,2,0,0,0,2
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",모바일,돼지굽는정원제주,5,0,0,0,3
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",모바일,돼지굽는정원제주협재점,1,0,0,0,1
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",모바일,바베큐식당,2,0,0,0,1
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",모바일,바베큐장,6,0,0,0,1.5
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",모바일,발리가든,76,0,0,0,2.4
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",모바일,발리가든제주,1,0,0,0,1
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",모바일,분위기좋은식당,1,0,0,0,2
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",모바일,삽겹살,2,0,0,0,1.5
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",모바일,소고기,12,0,0,0,1.8
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",모바일,소고기집,3,0,0,0,4
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",모바일,야외고기집,2,0,0,0,1
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",모바일,야외바베큐,2,1,517,517,2.5
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",모바일,야외바베큐식당,4,0,0,0,2.8
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",모바일,야외바베큐장,1,0,0,0,2
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",모바일,야외흑돼지,1,0,0,0,1
"파워링크",[RD] 지역설정,"[RD] 식당,메뉴",모바일,이색음식점,2,0,0,0,2
