"일별보고서(2024.10.28.~2024.12.31.),ablegym32:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2024.10.28.,PC,189,0,0,0,0,0,0
2024.10.28.,모바일,899,1,0.12,"7,546","7,546",0,0
2024.10.29.,PC,182,0,0,0,0,0,0
2024.10.29.,모바일,840,3,0.36,"2,633","7,898",0,0
2024.10.30.,PC,175,1,0.58,77,77,0,0
2024.10.30.,모바일,752,0,0,0,0,0,0
2024.10.31.,PC,169,0,0,0,0,0,0
2024.10.31.,모바일,662,3,0.46,"7,077","21,230",0,0
2024.11.01.,PC,101,0,0,0,0,0,0
2024.11.01.,모바일,580,3,0.52,"1,833","5,500",0,0
2024.11.02.,PC,71,1,1.41,77,77,0,0
2024.11.02.,모바일,781,5,0.65,"3,777","18,887",0,0
2024.11.03.,PC,90,0,0,0,0,0,0
2024.11.03.,모바일,869,3,0.35,"2,622","7,865",0,0
2024.11.04.,PC,160,3,1.88,77,231,0,0
2024.11.04.,모바일,760,3,0.4,"6,912","20,735",0,0
2024.11.05.,PC,180,3,1.67,77,231,0,0
2024.11.05.,모바일,778,3,0.39,"6,758","20,273",0,0
2024.11.06.,PC,200,1,0.5,77,77,0,0
2024.11.06.,모바일,785,4,0.51,"3,154","12,617",0,0
2024.11.07.,PC,184,2,1.09,77,154,0,0
2024.11.07.,모바일,785,3,0.39,"4,774","14,322",0,0
2024.11.08.,PC,178,2,1.13,77,154,0,0
2024.11.08.,모바일,840,4,0.48,"3,424","13,695",0,0
2024.11.09.,PC,171,1,0.59,77,77,0,0
2024.11.09.,모바일,"1,866",4,0.22,"3,330","13,321",0,0
2024.11.10.,PC,133,0,0,0,0,0,0
2024.11.10.,모바일,"1,255",3,0.24,"5,166","15,499",0,0
2024.11.11.,PC,293,1,0.35,77,77,0,0
2024.11.11.,모바일,"1,861",3,0.17,"3,758","11,275",0,0
2024.11.12.,PC,827,1,0.13,77,77,0,0
2024.11.12.,모바일,"3,898",1,0.03,"7,843","7,843",0,0
2024.11.13.,PC,352,0,0,0,0,0,0
2024.11.13.,모바일,"2,739",3,0.11,"2,380","7,139",0,0
2024.11.14.,PC,257,1,0.39,77,77,0,0
2024.11.14.,모바일,"1,662",2,0.13,220,440,0,0
2024.11.15.,PC,197,0,0,0,0,0,0
2024.11.15.,모바일,"1,668",4,0.24,"3,658","14,630",0,0
2024.11.16.,PC,162,0,0,0,0,0,0
2024.11.16.,모바일,"1,846",3,0.17,"4,580","13,739",0,0
2024.11.17.,PC,142,1,0.71,77,77,0,0
2024.11.17.,모바일,"1,869",3,0.17,"6,813","20,438",0,0
2024.11.18.,PC,703,1,0.15,77,77,0,0
2024.11.18.,모바일,"4,051",6,0.15,"1,150","6,897",0,0
2024.11.19.,PC,811,2,0.25,77,154,0,0
2024.11.19.,모바일,"5,240",6,0.12,"4,697","28,182",0,0
2024.11.20.,PC,797,1,0.13,77,77,0,0
