"파워링크보고서(2024.12.01.~2024.12.31.),ablegym32:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구디24시간헬스장,PC,2,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구디24시간헬스장,모바일,1,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구디24시헬스장,PC,3,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구디24시헬스장,모바일,4,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구디PT추천,모바일,1,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구디근처헬스장,모바일,1,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구디역24시간헬스장,모바일,1,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구디역24시헬스장,모바일,2,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구디피트니스,모바일,1,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구디피트니스PT,모바일,18,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구디피트니스추천,모바일,1,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구디헬스장추천,PC,5,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구디헬스장추천,모바일,3,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구로24시간헬스장,모바일,8,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구로24시헬스장,PC,1,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구로24시헬스장,모바일,7,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구로근처헬스장,모바일,1,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구로동바디프로필,모바일,2,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구로동피트니스,PC,58,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구로동피트니스,모바일,4,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구로디지털단지24시간헬스장,PC,2,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구로디지털단지24시헬스장,PC,1,1,77,77,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구로디지털단지24시헬스장,모바일,3,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구로디지털단지근처헬스,PC,2,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구로디지털단지역1대1PT,모바일,1,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구로디지털단지역24시간헬스장,모바일,4,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구로디지털단지역24시헬스장,PC,1,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구로디지털단지역24시헬스장,모바일,2,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구로디지털단지역근처헬스장,PC,5,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구로디지털단지역주변헬스장,모바일,1,0,0,0,0,0,0,0
"파워링크",에이블짐_구디(NEW),에이블짐_세부키워드,구로디지털단지역피트니스,PC,1,0,0,0,0,0,0,0
