"플레이스보고서(2024.12.01.~2024.12.31.),acrogym11:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",아크로짐 돌곶이점,모 3위,모바일,광운대PT,3,0,0,0,3
"파워링크",아크로짐 돌곶이점,모 3위,모바일,광운대역헬스장,7,1,77,77,4
"파워링크",아크로짐 돌곶이점,모 3위,모바일,광운대피티,4,0,0,0,2.8
"파워링크",아크로짐 돌곶이점,모 3위,모바일,광운대헬스장,68,1,594,594,2.2
"파워링크",아크로짐 돌곶이점,모 3위,모바일,돈암아크로짐헬스,1,1,165,165,1
"파워링크",아크로짐 돌곶이점,모 3위,모바일,돈암점아크로짐,1,0,0,0,1
"파워링크",아크로짐 돌곶이점,모 3위,모바일,돌곶이.헬스장,1,0,0,0,1
"파워링크",아크로짐 돌곶이점,모 3위,모바일,돌곶이24시간헬스장,3,1,77,77,1
"파워링크",아크로짐 돌곶이점,모 3위,모바일,돌곶이24시헬스장,4,2,77,154,1
"파워링크",아크로짐 돌곶이점,모 3위,모바일,돌곶이PT,2,0,0,0,3
"파워링크",아크로짐 돌곶이점,모 3위,모바일,돌곶이래미안헬스장,1,0,0,0,1
"파워링크",아크로짐 돌곶이점,모 3위,모바일,돌곶이아크로,1,0,0,0,1
"파워링크",아크로짐 돌곶이점,모 3위,모바일,돌곶이아크로짐,54,6,77,462,1
"파워링크",아크로짐 돌곶이점,모 3위,모바일,돌곶이아크로짐새벽PT,1,0,0,0,1
"파워링크",아크로짐 돌곶이점,모 3위,모바일,돌곶이역아크로짐,20,4,77,308,1
"파워링크",아크로짐 돌곶이점,모 3위,모바일,돌곶이점아크로짐,1,0,0,0,1
"파워링크",아크로짐 돌곶이점,모 3위,모바일,돌곶이피트니스,2,0,0,0,3
"파워링크",아크로짐 돌곶이점,모 3위,모바일,돌곶이피티,2,0,0,0,2.5
"파워링크",아크로짐 돌곶이점,모 3위,모바일,돌곶이헬스,13,0,0,0,1.8
"파워링크",아크로짐 돌곶이점,모 3위,모바일,돌곶이헬스장,114,0,0,0,3
"파워링크",아크로짐 돌곶이점,모 3위,모바일,돌곶이헬스장머신,1,0,0,0,1
"파워링크",아크로짐 돌곶이점,모 3위,모바일,돌곶이휘트니스,1,0,0,0,3
"파워링크",아크로짐 돌곶이점,모 3위,모바일,석계PT,6,0,0,0,2
"파워링크",아크로짐 돌곶이점,모 3위,모바일,석계아크로짐,3,0,0,0,1
"파워링크",아크로짐 돌곶이점,모 3위,모바일,석계역아크로짐,3,0,0,0,1
"파워링크",아크로짐 돌곶이점,모 3위,모바일,석계역피트니스,1,0,0,0,1
"파워링크",아크로짐 돌곶이점,모 3위,모바일,석계역헬스,12,0,0,0,2.5
"파워링크",아크로짐 돌곶이점,모 3위,모바일,석계역헬스장,149,3,359,"1,078",2.5
"파워링크",아크로짐 돌곶이점,모 3위,모바일,석계역휘트니스,2,0,0,0,1
"파워링크",아크로짐 돌곶이점,모 3위,모바일,석계피티,2,0,0,0,3
"파워링크",아크로짐 돌곶이점,모 3위,모바일,석계헬스짐,1,0,0,0,1
"파워링크",아크로짐 돌곶이점,모 3위,모바일,석관동헬스,16,1,561,561,1.6
"파워링크",아크로짐 돌곶이점,모 3위,모바일,성북구PT,9,1,"2,013","2,013",2.4
"파워링크",아크로짐 돌곶이점,모 3위,모바일,성북구피티,2,0,0,0,2
"파워링크",아크로짐 돌곶이점,모 3위,모바일,성북구헬스,2,0,0,0,3
"파워링크",아크로짐 돌곶이점,모 3위,모바일,아크로짐,124,0,0,0,2.6
"파워링크",아크로짐 돌곶이점,모 3위,모바일,아크로짐.돈암점,1,0,0,0,1
"파워링크",아크로짐 돌곶이점,모 3위,모바일,아크로짐.돌곶이,2,0,0,0,1
"파워링크",아크로짐 돌곶이점,모 3위,모바일,아크로짐24시,1,0,0,0,3
"파워링크",아크로짐 돌곶이점,모 3위,모바일,아크로짐24시간,1,0,0,0,1
