"요일별보고서(2024.12.01.~2024.12.31.),handmax:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,14,0.54,4,750,"10,494",2,0
"월요일",01시~02시,8,0.35,3.7,663,"5,302",1,"9,600"
"월요일",02시~03시,9,0.59,4.2,530,"4,774",1,"4,100"
"월요일",03시~04시,5,0.45,3.8,829,"4,147",0,0
"월요일",04시~05시,14,1.39,3.9,818,"11,451",2,"58,000"
"월요일",05시~06시,10,0.77,4.2,926,"9,262",0,0
"월요일",06시~07시,20,0.86,4.3,926,"18,524",0,0
"월요일",07시~08시,28,0.79,3.9,898,"25,146",5,"127,100"
"월요일",08시~09시,41,0.78,4.1,868,"35,596",2,"27,000"
"월요일",09시~10시,48,0.91,4,"1,029","49,368",5,"179,400"
"월요일",10시~11시,46,0.84,4.2,835,"38,423",2,"9,000"
"월요일",11시~12시,50,0.84,3.9,771,"38,555",5,"199,230"
"월요일",12시~13시,42,0.76,4.1,842,"35,376",2,"139,200"
"월요일",13시~14시,63,0.92,4,788,"49,643",2,"60,700"
"월요일",14시~15시,52,0.78,3.9,888,"46,178",1,"203,000"
"월요일",15시~16시,45,0.73,3.8,840,"37,807",2,"146,500"
"월요일",16시~17시,51,0.73,3.7,799,"40,755",3,"25,706"
"월요일",17시~18시,58,0.98,3.6,907,"52,580",0,0
"월요일",18시~19시,40,0.89,3.8,860,"34,419",1,"18,000"
"월요일",19시~20시,33,0.66,3.8,822,"27,115",2,"21,000"
"월요일",20시~21시,22,0.4,3.5,963,"21,186",5,"76,800"
"월요일",21시~22시,18,0.34,3.3,702,"12,628",0,0
"월요일",22시~23시,21,0.47,3.3,"1,005","21,109",0,0
"월요일",23시~00시,9,0.25,3.3,824,"7,414",0,0
"화요일",00시~01시,6,0.35,3.3,906,"5,434",0,0
"화요일",01시~02시,13,0.63,3.9,952,"12,375",0,0
"화요일",02시~03시,8,0.63,4.4,960,"7,678",1,"9,000"
"화요일",03시~04시,6,0.57,3.9,862,"5,170",0,0
"화요일",04시~05시,8,0.81,4.3,"1,068","8,547",0,0
"화요일",05시~06시,13,1.03,4,846,"11,000",0,0
"화요일",06시~07시,17,0.83,3.9,"1,048","17,809",1,"8,900"
"화요일",07시~08시,24,0.76,4.2,849,"20,372",1,"43,800"
"화요일",08시~09시,41,0.85,4.1,916,"37,576",3,"49,500"
"화요일",09시~10시,53,0.95,4.1,854,"45,243",4,"189,100"
"화요일",10시~11시,59,1.13,4.1,887,"52,349",0,0
"화요일",11시~12시,59,0.98,4,850,"50,138",2,"28,000"
"화요일",12시~13시,52,0.97,4,829,"43,098",7,"57,100"
"화요일",13시~14시,38,0.63,4.2,800,"30,393",5,"336,600"
"화요일",14시~15시,52,0.81,4,972,"50,523",1,"35,600"
"화요일",15시~16시,58,0.91,3.9,925,"53,625",1,"46,800"
"화요일",16시~17시,39,0.61,3.9,842,"32,846",4,"106,600"
"화요일",17시~18시,31,0.67,3.5,956,"29,645",2,"41,400"
"화요일",18시~19시,36,0.76,3.4,959,"34,529",0,0
"화요일",19시~20시,30,0.67,3.5,938,"28,127",1,0
"화요일",20시~21시,25,0.53,3.4,923,"23,078",0,0
"화요일",21시~22시,36,0.74,3.3,952,"34,265",0,0
"화요일",22시~23시,20,0.51,3.3,953,"19,063",4,"5,700"
