"요일별보고서(2024.12.01.~2024.12.31.),qkdgksquf5:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",01시~02시,0,0,2,0,0,0,0
"월요일",03시~04시,0,0,2,0,0,0,0
"월요일",05시~06시,0,0,2,0,0,0,0
"월요일",07시~08시,0,0,2,0,0,0,0
"월요일",08시~09시,3,3.85,1.9,"2,970","8,910",2,20
"월요일",09시~10시,32,3.2,2.1,"11,041","353,298",4,40
"월요일",10시~11시,69,3.58,2.2,"15,797","1,090,012",14,140
"월요일",11시~12시,50,3.47,2.2,"15,449","772,431",7,70
"월요일",12시~13시,51,2.9,2.2,"15,632","797,247",6,60
"월요일",13시~14시,89,3.63,2.4,"14,101","1,254,946",15,150
"월요일",14시~15시,63,3.15,2.4,"14,610","920,458",6,60
"월요일",15시~16시,59,2.8,2.4,"15,726","927,817",7,70
"월요일",16시~17시,63,2.77,2.4,"13,455","847,638",11,110
"월요일",17시~18시,47,2.84,2.3,"14,236","669,097",11,110
"월요일",18시~19시,58,3.49,2.1,"11,245","652,223",11,110
"월요일",19시~20시,16,3.12,2.2,"7,810","124,960",0,0
"월요일",20시~21시,4,2.36,2,"9,647","38,588",2,20
"월요일",22시~23시,0,0,2,0,0,1,10
"월요일",23시~00시,0,0,6,0,0,0,0
"화요일",00시~01시,0,0,2,0,0,0,0
"화요일",08시~09시,25,3.57,2.4,"13,017","325,424",2,20
"화요일",09시~10시,75,3.54,2.3,"17,016","1,276,176",12,120
"화요일",10시~11시,70,2.98,2.2,"14,292","1,000,461",6,60
"화요일",11시~12시,71,3.36,2.3,"16,159","1,147,311",16,160
"화요일",12시~13시,56,2.96,2.3,"13,560","759,352",8,80
"화요일",13시~14시,51,2.56,2.2,"15,403","785,576",11,110
"화요일",14시~15시,46,2.82,2.3,"16,139","742,401",6,60
"화요일",15시~16시,62,2.5,2.3,"16,052","995,214",5,50
"화요일",16시~17시,57,2.36,2.4,"15,347","874,753",7,70
"화요일",17시~18시,64,2.71,2.1,"14,665","938,553",7,70
"화요일",18시~19시,42,4.55,1.9,"10,368","435,457",7,70
"화요일",19시~20시,19,4.77,2.1,"7,155","135,938",5,50
"화요일",20시~21시,4,5,2.1,"9,746","38,984",1,10
"화요일",21시~22시,0,0,5,0,0,0,0
