"요일별보고서(2024.12.01.~2024.12.31.),ysing"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,7,3.67,2.3,"1,105","7,737.4",0,0
"월요일",01시~02시,5,4,2,"1,349","6,745.75",0,0
"월요일",02시~03시,2,2.5,1.8,61,121.55,0,0
"월요일",03시~04시,0,0,1.7,0,12.1,0,0
"월요일",04시~05시,2,3.23,2.9,"1,089","2,178",0,0
"월요일",05시~06시,4,5.8,2.1,"1,348","5,390",0,0
"월요일",06시~07시,5,6.33,1.6,288,"1,442.1",0,0
"월요일",07시~08시,7,4.12,2,933,"6,527.95",0,0
"월요일",08시~09시,9,3.97,2.1,275,"2,472.25",0,0
"월요일",09시~10시,16,4.82,2.2,898,"14,373.15",2,101
"월요일",10시~11시,17,4.2,2.4,"1,230","20,905.5",4,4
"월요일",11시~12시,25,6.35,2.1,"2,578","64,453.95",0,0
"월요일",12시~13시,13,3.82,2.4,570,"7,403.55",0,0
"월요일",13시~14시,24,5.63,2.4,"1,317","31,613.45",2,101
"월요일",14시~15시,15,4.38,2.5,"1,582","23,728.65",2,101
"월요일",15시~16시,22,5.12,2.5,"1,962","43,170.6",2,101
"월요일",16시~17시,22,5,2.4,880,"19,359.45",0,0
"월요일",17시~18시,11,3.86,2.5,"3,166","34,826",1,1
"월요일",18시~19시,8,3.89,2,"1,105","8,836.3",0,0
"월요일",19시~20시,8,3.67,2,"1,479","11,832.7",1,1
"월요일",20시~21시,7,3.4,2.5,"1,511","10,575.4",0,0
"월요일",21시~22시,7,3.75,2.4,"2,195","15,361.5",0,0
"월요일",22시~23시,9,4.67,2.3,"1,917","17,254.6",0,0
"월요일",23시~00시,7,4.05,2.4,"2,304","16,130.95",0,0
"화요일",00시~01시,5,3.11,2.1,914,"4,571.6",0,0
"화요일",01시~02시,5,3.36,2.5,"1,222","6,107.75",0,0
"화요일",02시~03시,2,2.99,2.9,68,135.85,0,0
"화요일",03시~04시,2,4.35,2,"1,978","3,956.15",0,0
"화요일",04시~05시,0,0,2.7,0,8.25,0,0
"화요일",05시~06시,1,1.36,1.9,69,68.75,0,0
"화요일",06시~07시,2,1.97,1.9,"5,838","11,676.5",0,0
"화요일",07시~08시,3,2,2,"1,029","3,087.15",0,0
"화요일",08시~09시,10,5.41,2.1,556,"5,559.4",0,0
"화요일",09시~10시,23,6.25,1.9,"1,394","32,059.5",2,2
"화요일",10시~11시,17,4.08,2.1,906,"15,409.35",1,1
"화요일",11시~12시,24,6.16,2.1,"2,040","48,962.1",4,103
"화요일",12시~13시,19,5.22,2,"2,199","41,784.05",0,0
"화요일",13시~14시,13,3.54,2.2,"2,827","36,752.1",0,0
"화요일",14시~15시,26,5.95,2.3,"1,642","42,694.3",2,101
"화요일",15시~16시,11,3.32,2.2,689,"7,575.7",0,0
"화요일",16시~17시,17,5.24,2.2,"1,706","29,004.25",1,1
"화요일",17시~18시,13,4.07,2.2,"1,076","13,990.35",1,100
"화요일",18시~19시,8,3.47,2,"2,053","16,420.25",0,0
"화요일",19시~20시,13,5.68,2.2,"1,797","23,367.3",0,0
"화요일",20시~21시,7,3.47,2.6,"1,759","12,309.55",0,0
"화요일",21시~22시,10,4.72,3.2,"3,049","30,490.9",0,0
"화요일",22시~23시,9,4.64,1.9,"1,898","17,077.5",0,0
"화요일",23시~00시,5,3.97,2.3,"2,116","10,578.7",0,0
"수요일",00시~01시,1,0.62,2.1,105,104.5,0,0
"수요일",01시~02시,2,1.6,1.8,235,469.15,0,0
"수요일",02시~03시,3,4.29,1.6,"2,807","8,419.95",0,0
"수요일",03시~04시,1,1.37,2.1,19,18.7,0,0
"수요일",04시~05시,1,1.62,1.5,"5,738","5,738.15",0,0
"수요일",05시~06시,0,0,1.5,0,17.05,0,0
"수요일",06시~07시,1,1.03,1.6,102,101.75,0,0
"수요일",07시~08시,3,2.1,1.4,769,"2,308.35",0,0
"수요일",08시~09시,11,6.88,1.9,"2,731","30,045.95",0,0
"수요일",09시~10시,13,4.78,1.9,701,"9,117.9",1,100
"수요일",10시~11시,13,4.75,2.2,"1,952","25,377",0,0
"수요일",11시~12시,8,2.7,2.1,"2,167","17,334.9",0,0
"수요일",12시~13시,5,1.99,2,"1,069","5,346.55",0,0
"수요일",13시~14시,12,4.37,2.1,"1,136","13,630.65",0,0
"수요일",14시~15시,6,2.13,2.6,"1,027","6,163.85",0,0
"수요일",15시~16시,13,4.25,2.7,885,"11,509.85",1,1
"수요일",16시~17시,11,4.14,2.2,"2,509","27,602.85",0,0
"수요일",17시~18시,8,2.9,2.3,"2,323","18,585.05",0,0
"수요일",18시~19시,10,4.37,1.8,"1,076","10,759.65",0,0
"수요일",19시~20시,11,4.39,2.1,"1,645","18,098.85",0,0
"수요일",20시~21시,14,5.56,2.4,"1,569","21,965.35",0,0
"수요일",21시~22시,11,5.62,2.3,"1,982","21,797.6",0,0
"수요일",22시~23시,6,2.89,2.1,938,"5,630.9",0,0
"수요일",23시~00시,13,6.29,2.3,"1,613","20,964.35",1,100
"목요일",00시~01시,5,3.05,2.1,"1,645","8,222.5",0,0
"목요일",01시~02시,5,5,2.7,"1,210","6,050.55",1,1
"목요일",02시~03시,0,0,1.7,0,8.25,0,0
"목요일",03시~04시,4,7.41,2.5,425,"1,698.4",0,0
"목요일",04시~05시,2,4.17,2,"5,800","11,599.5",0,0
"목요일",05시~06시,1,2,2,"8,459","8,459",0,0
"목요일",06시~07시,2,2.86,1.7,642,"1,284.25",0,0
"목요일",07시~08시,6,5.22,1.7,"1,200","7,201.7",0,0
"목요일",08시~09시,8,5.52,2.2,"1,182","9,459.45",0,0
"목요일",09시~10시,11,4.69,2,"1,035","11,383.35",0,0
"목요일",10시~11시,9,3.1,2.2,"1,754","15,786.65",0,0
"목요일",11시~12시,10,3.32,2.2,"1,442","14,422.65",0,0
"목요일",12시~13시,15,5.14,2.1,"1,976","29,634.55",2,200
"목요일",13시~14시,14,3.67,2.5,829,"11,600.6",0,0
"목요일",14시~15시,19,4.89,2.3,"1,127","21,405.45",0,0
"목요일",15시~16시,10,2.91,2.2,"2,447","24,473.35",0,0
"목요일",16시~17시,18,5,2.1,"1,563","28,129.2",0,0
"목요일",17시~18시,12,3.9,2.4,964,"11,573.65",0,0
"목요일",18시~19시,6,2.7,2,"1,209","7,253.4",0,0
"목요일",19시~20시,6,2.73,2,"1,821","10,927.95",1,1
"목요일",20시~21시,10,4.12,1.9,"1,345","13,453",0,0
"목요일",21시~22시,17,6.92,2.1,"1,887","32,070.5",0,0
"목요일",22시~23시,10,5.27,2.2,"2,152","21,524.8",0,0
"목요일",23시~00시,4,2.97,2,"1,201","4,803.7",0,0
"금요일",00시~01시,8,6.67,2.2,"1,236","9,890.65",0,0
"금요일",01시~02시,11,9.83,2.2,"1,964","21,599.05",2,200
"금요일",02시~03시,6,8.83,1.6,"1,012","6,069.8",0,0
"금요일",03시~04시,1,2.78,2.3,81,81.4,0,0
"금요일",04시~05시,0,0,1.7,0,7.7,0,0
