"일별보고서(2024.10.28.~2025.01.05.),handmax:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2024.10.28.,PC,"10,105",27,0.27,844,"22,792",4,"121,400"
2024.10.28.,모바일,"7,193",68,0.95,"1,004","68,277",3,"68,300"
2024.10.29.,PC,"10,432",39,0.38,919,"35,827",0,0
2024.10.29.,모바일,"7,030",75,1.07,946,"70,939",2,"38,100"
2024.10.30.,PC,"9,510",40,0.43,868,"34,705",4,"19,637"
2024.10.30.,모바일,"5,830",72,1.24,"1,055","75,944",1,"12,000"
2024.10.31.,PC,"10,341",37,0.36,825,"30,536",2,"33,300"
2024.10.31.,모바일,"6,671",80,1.2,961,"76,857",3,"12,500"
2024.11.01.,PC,"8,429",53,0.63,785,"41,580",1,"264,000"
2024.11.01.,모바일,"5,991",69,1.16,"1,102","76,054",3,"40,940"
2024.11.02.,PC,"3,787",15,0.4,723,"10,846",0,0
2024.11.02.,모바일,"5,943",87,1.47,"1,117","97,218",9,"69,900"
2024.11.03.,PC,"4,303",10,0.24,917,"9,174",0,0
2024.11.03.,모바일,"7,084",75,1.06,"1,014","76,043",0,0
2024.11.04.,PC,"9,326",44,0.48,731,"32,164",1,"9,500"
2024.11.04.,모바일,"5,797",75,1.3,"1,038","77,858",3,"9,310"
2024.11.05.,PC,"10,656",54,0.51,687,"37,114",2,"61,600"
2024.11.05.,모바일,"6,504",79,1.22,926,"73,172",2,"31,700"
2024.11.06.,PC,"11,369",45,0.4,778,"35,024",2,"100,000"
2024.11.06.,모바일,"8,952",79,0.89,964,"76,142",5,"99,200"
2024.11.07.,PC,"9,549",49,0.52,729,"35,728",3,"97,700"
2024.11.07.,모바일,"6,543",78,1.2,"1,027","80,091",9,"146,637"
2024.11.08.,PC,"1,882",3,0.16,781,"2,343",0,0
2024.11.08.,모바일,"2,774",31,1.12,"1,041","32,263",2,"25,137"
2024.11.09.,PC,"4,668",13,0.28,872,"11,341",4,"35,534"
2024.11.09.,모바일,"6,353",78,1.23,934,"72,820",12,"42,147"
2024.11.10.,PC,"4,206",12,0.29,834,"10,010",0,0
2024.11.10.,모바일,"7,191",92,1.28,"1,073","98,736",6,"105,300"
2024.11.11.,PC,"11,127",45,0.41,832,"37,444",0,0
2024.11.11.,모바일,"5,777",71,1.23,"1,015","72,061",2,"21,000"
2024.11.12.,PC,"11,853",46,0.39,797,"36,674",3,"60,679"
2024.11.12.,모바일,"6,843",65,0.95,919,"59,708",3,"60,200"
2024.11.13.,PC,"5,938",40,0.68,661,"26,455",2,"41,400"
2024.11.13.,모바일,"3,609",40,1.11,"1,089","43,549",5,"61,350"
2024.11.14.,PC,"8,192",33,0.41,661,"21,802",0,0
2024.11.14.,모바일,"5,306",73,1.38,869,"63,415",4,"54,000"
2024.11.15.,PC,"8,858",45,0.51,766,"34,452",0,0
2024.11.15.,모바일,"4,848",61,1.26,984,"60,038",5,"74,600"
2024.11.16.,PC,"4,657",10,0.22,771,"7,711",0,0
2024.11.16.,모바일,"5,646",53,0.94,"1,010","53,537",2,"9,400"
2024.11.17.,PC,"4,663",10,0.22,877,"8,767",0,0
2024.11.17.,모바일,"7,892",87,1.11,947,"82,379",3,"28,000"
